"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
1990,8512.1560356280661,858.18044591946989,10.1,72537.731401452053,6325.2349372976705,8.6999999999999993,60578.1755445331,7501.4017683847314,12.4
1991,8235.9383692029751,872.09415079028895,10.6,74150.574782927724,6766.4791488320898,9.1,45022.550052687038,5518.4404636459431,12.2
1992,8235.4529485570893,891.27227101631115,10.8,73714.81912955163,6778.8631000388323,9.1999999999999993,45377.165518680864,5781.0477979544985,12.7
1993,8013.0451042722598,889.43400683010361,11.09982528809042,73358.11318573328,6897.4507196947807,9.4024374675931544,49047.896912229517,5266.2290299051792,10.736910981787899
1994,8187.9929609897281,927.85499251014403,11.3,75389.966249070421,7100.9953663978031,9.4,56394.007490636701,6575.0312109862671,11.7
1995,8117.6554275145827,915.41233935600133,11.3,77279.283916723856,7140.3568977350715,9.1999999999999993,44979.505726341165,6062.6883664858351,13.5
1996,8187.6947040498444,930.221777184394,11.361217177825186,78302.260043101065,7319.2241808034478,9.3473983723772722,42722.420776745297,5698.5942339766498,13.338650128830047
1997,8024.2983875467271,918.08012051553862,11.441251012553931,83876.685329067637,7537.1343692870205,8.9859707017714125,36343.998369675974,5360.3016099449769,14.748794437591117
1998,7930.8114315448556,911.8859536978473,11.49801582812592,84605.685664004326,7505.5367537565999,8.8711966516806395,37888.596656021044,5184.2945707307908,13.682994431800715
1999,8210.1985944808948,916.09130153533386,11.157967630054086,87250.020265340863,7598.6111486395203,8.7090078896611871,35486.278026905828,5025.6502242152474,14.162235386886108
2000,8046.3966269617495,921.66014557505616,11.454321583984198,84080.969995889842,7629.2129058775181,9.0736499665149655,44714.355948869226,6337.7581120943951,14.173877667703877
2001,7953.0373105152421,932.99758213589382,11.731336666839415,87843.909669616318,7976.5309044009255,9.0803459618326485,36372.231037041267,5218.8674542929439,14.348494182218516
2002,8056.879685766944,970.59068809366943,12.046731811178557,84155.833312248564,7843.8883687979151,9.3206710219293463,37834.36815193572,5311.9065010956901,14.039897480946612
2003,8047.1446333037693,964.13427776495314,11.981073060061629,81434.234193210534,7881.8332915917217,9.6787713050647906,NA,NA,NA
2004,8208.2858939959715,1020.9515999331205,12.438060919392504,82519.464127546496,8404.4951284322415,10.184863919428517,NA,NA,NA
2005,8030.8355114776195,1067.9152529828566,13.297685545378171,83793.959570903229,9114.3895380464346,10.877143871372002,NA,NA,NA
2006,8107.9838777523692,1202.2011303928841,14.827374456079317,86292.290697427394,10190.257684872433,11.809001247403705,NA,NA,NA
2007,7965.5828426552744,1209.1701230744889,15.179932805411889,88871.508144147185,10960.798379610094,12.333309750783092,NA,NA,NA
2008,7926.268807838057,1311.6666294418512,16.548349056049958,86717.332892398001,11973.686494977472,13.807719974315694,NA,NA,NA
2009,7658,1370,16.2,77034,10236,13.6,31430,12390,41.64
2010,7670.4,1252.69,16.329999999999998,58995.31,7964.14,13.49,308876.81784148538,48702.811345418173,15.76
2011,7778.9180362062916,1380.9720239308028,17.752751957318356,59843.963512832823,8782.5323480743009,14.675719709291968,310587.44343256799,53903.05880727082,16.313972442906831
2012,7799.4438124130957,1416.8770428156095,18.166385666636877,59457.630030494351,8718.2278915947263,14.662925325350779,326497.82757832151,60085.524811342322,18.403039694629754
2013,7539.7586039921807,1387.0872863573593,18.432503650013533,58114.355179253129,8947.1517840005126,15.251850693817518,302048.06641905179,53126.065108149443,17.489697455431354
2014,7218.4353294033954,1393.8421868930966,19.309478069512579,56595.38548985884,9455.2722019806915,16.706789997348729,286113.19122586062,49306.818667751184,17.233325893327269
2015,7176.1179092325119,1443.8164228195835,20.119742193227147,56767.001151639502,9782.1961474883865,17.232187624915365,266760.23340513022,43619.464194993954,16.351561714503688
2016,6928.6590161194281,1422.2543993915951,20.527123590333137,53284.700954400854,9202.8014006279009,17.271001311433334,277296.20788389881,47095.514613968277,16.983829304181
2017,7080.275959534305,1521.3680476252177,21.487411738189987,52328.98364412137,9865.5532241548462,18.852942551394534,273549.39687678538,48659.334376523206,17.78813440354277
2018,6792.2853731831246,1504.9138767271979,22.15622274453904,50701.830119321428,9354.573406716052,18.450169125455719,262051.4082473868,48957.592535807635,18.682438252569799
2019,6586.4967664678925,1523.055428687195,23.123907635408379,49819.946554284725,9717.6766289177049,19.505594246933097,246262.43163383545,46598.627557042171,18.922345259032074
2020,6462.5143322390268,1495.5033894063913,23.141200352096604,48531.548989425908,9390.1900744710038,19.348630468227885,116890.28074575873,16573.755993689061,14.178899980347962
2021,6956.6904319625546,1602.7581953613317,23.039090369717329,56357.90388939868,10929.61806713724,19.393230253180473,116366.43178264081,17393.735755437338,14.947382581883103
1) Data before 2001 from the Alaska Energy Statistis Report 2003.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a)""Other"" category  for cost/kwh not listed before 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"b) Total sales, revenue, and customers may exceed the the sum of Residential and Commercial/Industrial. This is due to the addition of accounts which do not fit into these two classes. These figures do not include sale for resale.",NA,NA,NA,NA,NA,NA,NA,NA,NA
c) Data from 1996-2000 from EIA historic tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Utility data file,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA
3)Values for 2009 and fordward are based on data from EIA and PCE. Data not consistent with prior years due to changes in methodology.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*Industrial sales, revenue and rates are included under the commercial category unitl 2009; in 2010 they're included under the 'other' category. Averages are weigthed.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"*If 'Other' category is blank, but 'Commercial' category is available, the 'Commercial' category includes both Commercial and Industrial sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA
