Data element,Description
Hydro,Generation from  water at a conventional hydroelectric turbine (EIA type WAT)
Wind,Generation from Wind (EIA type WND)
Utility Solar,"Generation from Solar energy (EIA type SUN). Excludes customer-sited (=""behind-the-meter"" or BTM) solar."
Storage,"Generation by batteries (EIA type BA) and flywheels (EIA type FW). The amount typically shows as negative, reflecting more energy injected while charging than withdrawn while discharging."
Storage,"Generation by other sources, including other biomass liquids (EIA type OBL)"
NA,NA
"Table 1.g   Fuel Use for Power Generation by Operators/Utilities, by AEA Energy Region, 2021",NA
Table 1.g is aggregated from Table 2.3c,NA
Oil (Gallons),"Oil consumed, in U.S. Gallons"
Gas (Mcf),"Natural gas consumed, in thousand cubic feet"
Coal (Short Tons),"Coal consumed, in short tons (1 short ton = 2,000 pounds)"
Total MMBtu,"Total fuel consumed, in million btu"
Conversion Factor,million Btu per physical unit.
0.13900000000000001,the factor 0.139 MMBtu per gallon is a legacy parameter from previous years. The source is unknown.
1.0249999999999999,the factor 1.025 MMBtu per Mcf is a legacy parameter from previous years. The source is unknown.
19.536000000000001,the factor 19.536 MMBtu per short ton is a legacy parameter from previous years. The source is unknown.
NA,NA
"Table 1.h  Electricity Sales by Certificated Utilities (MWh), by AEA Energy Region, 2021",NA
Table 1.h is aggregated from Table 2.5a,Total sales may not equal the sum of amounts for each customer class because some reporters only report totals. In these cases we have generally not made estimated allocations of totals to customer classes.
Residential,Sales to residential customers.
Commercial,Sales to commercial customers. The classification as commercial is self-reported.
Other,"All other sales, including community facilities, government, industrial, harbor, street lights. Data for ""Other"" from the source ""PCE"" includes ""Community Facilities"" and ""Government."" (PCE data is reported as four categories: Residential, Commercial, Community Facilities, and Government.)"
NA,NA
"Table 1.i   Revenue Received by Certificated Utilities ($000), by AEA Energy Region, 2021",NA
Table 1.i is aggregated from Table 2.5a,Total revenue may not equal the sum of amounts for each customer class because some reporters only report totals. In these cases we have generally not made estimated allocations of totals to customer classes.
Residential,"Revenue to the utility from sales to residential customers, in thousands of dollars. Includes PCE payments from the State of Alaska to the utility that reimburse the utility for the PCE-eligible credits applied to the customer's bill."
Commercial,"Revenue to the utility from sales to commercial customers, in thousands of dollars. The classification as commercial is self-reported."
Other,All other revenue from sales of electricity
NA,NA
"Table 1.j   Customers Served by Certificated Utilities (Accounts), by AEA Energy Region, 2021",NA
Table 1.i is aggregated from Table 2.5a,Total customers may not equal the sum of customers in each class because some reporters only report totals. In these cases we have generally not made estimated allocations of totals to customer classes.
Residential,The average of 12 monthly end-of-month residential customer accounts.
Commercial,The average of 12 monthly end-of-month commercial customer accounts. The classification as commercial is self-reported
Other,The average of 12 monthly end-of-month other customer accounts.
NA,NA
"Table 2.1a   Installed Capacity (MW) by plant and prime mover, 2021",NA
AK Plant ID,An unofficial unique identifier for all known plants in Alaska. Developed because EIA does not have an ID for all plants in Alaska.
PCE ID,"The Alaska Energy Authority (AEA) accounting code for PCE reporters, used as the unique identifier for PCE reporters"
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Plant Name,"Unofficial unique names for plants that include a combination of EIA plant names, PCE community names, and/or CPCN holder names, as appropriate"
Intertie Name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
AEA Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Total Capacity,"Nameplate capacity in megawatts (MW). For utilities reporting to EIA on Form 860, calculated as the total of the unit nameplate capacities reported on EIA Form 860 Schedule 3 for all units with a common EIA plant code."
Fossil Fuel Turbines,"Installed capacity fueled by fossil fuels and using prime movers of types: CA=Combined Cycle, steam part; CT=Combined Cycle, turbine part; GT=Gas Turbine, ST=Steam Turbine. See Table 2.3c, below, for complete listing of prime mover codes."
Reciprocating Internal Combustion,Installed capacity using prime mover of type: IC=Internal Combustion Engine
Hydroelectric,"Installed capacity using prime movers of types: HY=Hydraulic Turbine; and [HA, HB, HC]=Hydrokinetic"
Wind Turbine,"Installed capacity using prime movers of type: WT=Wind Turbine, onshore; WS=Wind Turbine, offshore"
Solar PV,Installed capacity using prime movers of type: PV=Photovoltaic. Does not include customer-sited (BTM) PV capacity.
Batteries,"Installed capacity using prime movers of type: BA=Energy Storage, Battery"
Flywheels,"Installed capacity using prime movers of type: FW=Energy Storage, Flywheel"
Data Source,Data source. EIA Form 860 is used where possible.
EIA860,EIA Form 860
AEA PH Assessment,Alaska Energy Authority powerhouse assessments
IES website,"Intelligent Energy Systems, an independent vendor."
ADN,Anchorage Daily News. https://www.adn.com/
NA,NA
"Table 2.2a   Generation and Total Disposition of Electric Energy (MWh), 2021",NA
Table 2.2a shows sources and uses of electric energy,Table 2.2a is modeled on the EIA Form 861 tabulation of sources and uses of electric energy. Form 861 requires the balancing of total sources with total disposition of energy. PCE reporting channels do not require this balancing. Table 2.2a should be used with great care when considering PCE entities.
AK sales reporting ID,An unofficial unique identifier for all known entities that report sales to either PCE or EIA. Developed because EIA and PCE unique identifiers for sales were not compatible
PCE ID,"The Alaska Energy Authority (AEA) accounting code for PCE reporters, used as the unique identifier for PCE reporters"
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Index Community,Unofficial assignment of a community name to associate with the entity reporting sales
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
"Generation (PCE=gross, EIA=net)",Generation is net of station service for EIA data and gross of (includes) station service for PCE data
Purchased Power,Purchased power in MWh
Net Wheeled Power,Data shown only for entities reporting on EIA Form 861. The difference between power received and power delivered across the entity's transmission system. This is accounted for as one source of energy to the entity; it is also included as part of total losses (which is a component of disposition).
Total Disposition (= Total Sources),"Total Disposition equals Generation + Purchased Power + Net Wheeled Power. In this table Net Wheeled Power adds in the EIA reporting category ""Transmission by Other Losses"", which EIA defines as ""the amount of energy losses associated with the wheeling of electricity provided to your system by other utilities."" The inclusion of ""Tranmission by Other Losses"" applies to only one utility, the Alaska Electric & Energy Coop, a subsidiary of Homer Electric Association which generates power and sells it for resale to Homer Electric Association. For AEEC, ""Tranmission by Other Losses"" exactly offsets Net Wheeled Power."
Sales to Consumers,The amount of electricity sold to customers purchasing electricity for their own use and not for resale
Sales for Resale,"The amount of electricity sold for resale purposes. According to EIA Instructions for Form 861, ""This entry should include sales for resale to power marketers (reported separately in previous years), full and partial requirements customers, firm power customers, and non-firm customers."""
Furnished without Payment,"According to EIA Instructions for Form 861, ""The amount of electricity furnished by the electric utility without charge, such as to a municipality under a franchise agreement or for public street and highway lighting."" For entities reporting to the PCE program, the data represent the reporting category ""Unbilled kWh Sold."""
Used by facility,"For entities reporting to the PCE program, these data represent ""Powerhouse Consumption."" For entities reporting on EIA Form 861,  ""The amount of electricity used by the electric utility in its electric and other departments without charge."" Because generation reported to EIA is net of station service, Used by Facility does NOT include station service."
Unaccountable / Energy Loss,"Unnaccountable / Energy Loss is the difference (residual) between Total Disposition and the sum of: Sales to Consumers + Sales for Resale + Furnished without Payment + Used by Facility. For EIA data, this amount is a data point on the Form 861 dataset. For PCE reporting entities, this amount is calculated as the difference between Total Disposition (= Total Sources) and Sales to Consumers + Sales for Resale + Furnished without Payment + Used by facility. For PCE communities that receive (or provide) power over an intertie as part of a single utility, Unaccountable / Energy Loss includes these amounts, because there is no breakout of data showing these transfers as a source (or a use) of energy. For example, when Community A has zero generation, receives 100 MWh over an intertie, and sells 90 MWh, the calculation of Unaccountable / Energy Loss will come out as -90. (minus 90). Similarly, when Community B generates 200 MWh, transfers 100 over to Community A, and sells 90, the calculation of Unaccountable / Energy Loss will come out as 200-90 = 110."
Data Source,Data source. EIA Form 861 is used when possible.
EIA861,EIA Form 861
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Communities reported,The communities served by the reporting utility and reflected in the data for that row of the table
Number of monthly records,"The number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
NA,NA
"Table 2.3a   Generation (MWh) by plant and prime mover, 2021",NA
Table 2.3a aggregates across fuel types and generator units to show generation by prime mover for each plant. There is one row per plant. Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA
AK Plant ID,An unofficial unique identifier for all known plants in Alaska. Developed because EIA does not have an ID for all plants in Alaska.
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Plant Name,"Unofficial unique names for plants that include a combination of EIA plant names, PCE community names, and/or CPCN holder names, as appropriate"
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Fossil Fuel Turbines,"Generation fueled by fossil fuels and using prime movers of types: CA=Combined Cycle, steam part; CT=Combined Cycle, turbine part; GT=Gas Turbine, ST=Steam Turbine. See Table 2.3c, below, for complete listing of prime mover codes."
Internal Combustion,"Generation by internal combustion engines, prime mover type IC=Internal Combustion"
Solar PV,"Generation by prime movers of type: HY=Hydraulic Turbine; [HA, HB, HC]=Hydrokinetic"
Wind Turbine,"Generation by prime movers of type: WT=Wind Turbine, onshore; WS=Wind Turbine, offshore"
Flywheel,Generation by prime movers of type: PV=Photovoltaic. Does not include customer-side (BTM) PV capacity.
Battery,"Generation by prime movers of type: BA=Energy Storage, Battery. The amount typically shows as negative, reflecting more energy injected while charging than withdrawn while discharging."
Total Generation,Sum of all generation listed
Data Source,Data source. EIA Form 861 is used when possible.
EIA923,EIA Form 923
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"The number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities connected to plant,"For PCE communities only, the communities receiving energy from this power plant."
NA,NA
"Table 2.3b   Generation (MWh) and Fuel Use by operator, plant, and fuel type, 2021",NA
Table 2.3b aggregates across primer movers and generator units to show generation by fuel source for each plant. There is one row per plant. Generation is net of station service for EIA data and gross of (includes) station service for PCE data.,NA
AK Plant ID,An unofficial unique identifier for all known plants in Alaska. Developed because EIA does not have an ID for all plants in Alaska.
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Plant Name,"Unofficial unique names for plants that include a combination of EIA plant names, PCE community names, and/or CPCN holder names, as appropriate"
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Oil,"Generation from Diesel/Distillate (EIA type DFO), Naphtha (EIA type WO), and Jet fuel (EIA type JF)"
Gas,Generation from Natural Gas (EIA fuel type NG) and Landfill gas (EIA type LFG)
Coal,"Generation from Subbituminous Coal (EIA type SUB), Lignite (EIA type LIG), Waste Coal (EIA type WC)"
Hydro,Generation from  water at a conventional hydroelectric turbine (EIA type WAT)
Wind,Generation from Wind (EIA type WND)
Utility Solar,"Generation from Solar energy (EIA type SUN). Excludes customer-sited (=""behind-the-meter"" or BTM) solar."
Storage (MWH),"Generation by batteries (EIA type BA) and flywheels (EIA type FW). The amount typically shows as negative, reflecting more energy injected while charging than withdrawn while discharging."
Oil (gallons),"Fuel used, in U.S. gallons, to produce the electricity reported under ""Oil"""
Gas (mcf),"Fuel used, in thousand cubic feet, to product the electricity reported under ""Gas"""
Coal (short tons),"Fuel used, in short tons (1 short ton = 2,000 lbs), to product the electricity reported under ""Coal"""
Data Source,Data source. EIA Form 861 is used when possible.
EIA923,EIA Form 923
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"The number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities connected to plant,"For PCE communities only, the communities receiving energy from this power plant."
NA,NA
"Table 2.3c   Generation, Fuel Use, Fuel Cost, and Efficiency, by operator, plant, fuel, and prime mover, 2021",NA
"Table 2.3c shows generation by prime mover and by fuel for each plant. There is one row per combination of plant, fuel type, and prime mover. Generation is net of station service for EIA data and gross of (includes) station service for PCE data.",NA
AK Plant ID,An unofficial unique identifier for all known plants in Alaska. Developed because EIA does not have an ID for all plants in Alaska.
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Plant Name,"Unofficial unique names for plants that include a combination of EIA plant names, PCE community names, and/or CPCN holder names, as appropriate"
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Fuel Type,The fuel code reported to EIA.Two or three letter alphanumeric:
AB,Agricultural By-Products
DFO,"Distillate Fuel Oil. Including diesel, No. 1, No. 2, and No. 4 fuel oils."
GEO,Geothermal
JF,Jet Fuel
KER,Kerosene
LFG,Landfill Gas
LIG,Lignite Coal
MWH,Electricity used for energy storage
NG,Natural Gas
OBL,Other Biomass Liquids
OTH,Other Fuel
RFO,Residual Fuel Oil. Including No. 5 & 6 fuel oils and bunker C fuel oil.
SUB,Subbituminous Coal
SUN,Solar
WAT,"Water at a Conventional Hydroelectric Turbine and water used in Wave Buoy Hydrokinetic Technology, current Hydrokinetic Technology, Tidal Hydrokinetic Technology, and Pumping Energy for Reversible (Pumped Storage) Hydroelectric Turbines."
WC,"Waste/Other Coal. Including anthracite culm, bituminous gob, fine coal, lignite waste, waste coal."
WDS,"Wood/Wood Waste Solids. Including paper pellets, railroad ties, utility polies, wood chips, bark, and other wood waste solids."
WND,Wind
WO,"Waste/Other Oil. Including crude oil, liquid butane, liquid propane, naphtha, oil waste, re-refined moto oil, sludge oil, tar oil, or other petroleum-based liquid wastes."
Prime Mover,Reported prime mover:
BA,"Energy Storage, Battery"
CA,Combined-Cycle -- Steam Part
CS,Combined-Cycle Single-Shaft Combustion Turbine and Steam Turbine share of single generator
CT,Combined-Cycle Combustion Turbine Part
ES,"Energy Storage, Other (Specify on Schedule 9, Comments)"
FW,"Energy Storage, Flywheel"
GT,Combustion (Gas) Turbine. Including Jet Engine design
HA,"Hydrokinetic, Axial Flow Turbine"
HB,"Hydrokinetic, Wave Buoy"
HK,"Hydrokinetic, Other"
HY,Hydraulic Turbine. Including turbines associated with delivery of water by pipeline.
IC,"Internal Combustion (diesel, piston, reciprocating) Engine"
PS,"Energy Storage, Reversible Hydraulic Turbine (Pumped Storage)"
OTH,Other
ST,"Steam Turbine. Including Nuclear, Geothermal, and Solar Steam (does not include Combined Cycle)."
PV,Photovoltaic
WT,"Wind Turbine, Onshore"
WS,"Wind Turbine, Offshore"
"Generation (PCE=gross, EIA=net)  MWh","Generation, in MWh. Generation is net of station service for EIA data and gross of (includes) station service for PCE data."
Fuel Use,"Amount of fuel used, in physical units"
Fuel Unit,Units for the amount of fuel used
Estimated Fuel Consumption MMBtu,"For EIA data, fuel consumption in million Btu is reported as data on Form 923 (although the respondents report physical units and heat content on the Form 923 that they submit). For PCE data, fuel consumption in million Btu is estimated as gallons times the estimated heat content of the fuel."
Avg. Cost ($) per Gallon (PCE only),"The average cost of fuel reported by PCE-eligible utilities to the PCE program. There is no data in this table for entities reporting to EIA. (However, fuel receipts and costs are reported on EIA Form 923)"
kWh per Gallon-Mcf-Short tons,Generation efficiency calculated as Generation divided by Fuel Use
Fuel Cost ($) per kWh,"For PCE data only, Fuel cost per kWh generated, calculated as Avg. Cost ($) per Gallon divided by kWh per Gallon-Mcf-Short tons."
"Estimated Heat Content, MMBtu per unit","Heat content of the fuel used, in estimated million Btu per unit. For EIA data, heat content is calculated as Estimated Fuel Consumption MMBtu divided by Fuel Use. For PCE data, the assumed heat rate is 0.138 MMBtu per gallon."
Data Source,Data source
EIA923,EIA Form 923
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"The number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities connected to plant,"For PCE communities only, the communities receiving energy from this power plant."
NA,NA
"Table 2.4a   Generation, Fuel Use, CO2 Emissions, and Efficiency, by plant, fuel, and prime mover, 2021",NA
"Table 2.4a shows generation and estimated CO2 emissions by prime mover and by fuel for each plant. There is one row per combination of plant, fuel type, and prime mover. Generation is net of station service for EIA data and gross of (includes) station service for PCE data. CO2 emission factors are from EPA data shown and documented in the tab ""LOOKUP emission factors"".",NA
AK Plant ID,An unofficial unique identifier for all known plants in Alaska. Developed because EIA does not have an ID for all plants in Alaska.
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Plant Name,"Unofficial unique names for plants that include a combination of EIA plant names, PCE community names, and/or CPCN holder names, as appropriate"
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Fuel Type,The fuel code reported to EIA. See list of codes under Table 2.3c
Prime Mover,Reported prime mover. See list of codes under Table 2.3c
"Generation (PCE=gross, EIA=net)  MWh","Generation, in MWh. Generation is net of station service for EIA data and gross of (includes) station service for PCE data."
Generation MMBtu,"Generation, in MMBtu of electricity. Calculated as Generation in MWH multiplied by 3.412 MMBtu per MWh."
Fuel Use,"Amount of fuel used, in physical units"
Fuel Unit,Name of physical unit for the amount of fuel used
"Estimated Heat Content, MMBtu per unit","Heat content of the fuel used, in million Btu per unit. For EIA data, heat content is calculated as Estimated Fuel Consumption MMBtu divided by Fuel Use. For PCE data, the assumed heat rate is 0.138 MMBtu per gallon."
Total Fuel MMBtu,"Fuel consumption in million Btu. For EIA data, fuel consumption in million Btu is reported as data on Form 923 reports (although the respondents report physical units and heat content on the Form 923 that they submit). For PCE data, fuel consumption in million Btu is estimated as gallons times the estimated heat content of the fuel. For hydrolectric generation, EIA Form 923 reports what EIA calls the ""fossil equivalent"" of hydro output: ""[prior to September 2023] we used the fossil fuel equivalency approach to convert the data that we collected in kWh to Btu. For this method, we used the average annual heat rate in Btu/kWh of the nation’s fossil fuel-fired power plants (natural gas, coal, petroleum). The resulting Btu value is the equivalent amount of fossil fuels that would need to be consumed to produce the same amount of electricity from these noncombustible energy sources."" (This methodology has been changed beginning in September 2023 to convert from renewables output to renewables fuel consumption using the direct conversion factor of 3,412 Btu/kWh.) See Appendix E of the DOE Monthly Energy Review and also:"
NA,https://www.eia.gov/totalenergy/data/monthly/change/
Emission Factor kgCO2 per MMBtu,"Emission factors are taken from the Environmental Protection Agency's GHG Emissions Factors Hub (https://www.epa.gov/climateleadership/ghg-emission-factors-hub) Emissions Hub. See the tab ""LOOKUP emissions factors"""
CO2 Metric Tons from Fuel,Calculated emissions equal to Total Fuel MMBtu multiplied by  Emission Factor kgCO2 per MMBtu
Efficiency (Max = 1.00),Calculated efficiency equal to Generation MMBtu / Total Fuel MMBtu. This calculation is applied directly to the combustion turbine (CT) component of combined cycle plants without regard for the generation from the steam turbine (ST) component. Hence this efficiency  number should be used with caution when considering combined cycle power plants.
Data Source,Data source
EIA923,EIA Form 923
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"The number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities connected to plant,"For PCE communities only, the communities receiving energy from this power plant."
NA,NA
"Table 2.5a   Revenue, Sales and Customers by customer type for certificated utilities ($000, MWh, Accounts), 2021",NA
"Table 2.5a shows sales, revenues, and customers . The data are for certificated utilities, both those reporting on EIA Form 861 and Form 861S, and those reporting to the State of Alaska Power Cost Equalization program (PCE).",NA
AEA Sales Reporting ID,An unofficial unique identifier for all known entities that report sales to either PCE or EIA. Developed because EIA and PCE unique identifiers for sales were not compatible.
PCE ID,"Alaska Energy Authority (AEA) accounting code for PCE reporters, used as the unique identifier for PCE reporters."
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Reporting Name,"For PCE reporting entities, this variable is the name of a community (or a group of communities) that is separately reimbursed by the PCE program and is treated as a distinct utility entity by the Regulatory Commission of Alaska when determining allowable PCE reimbursements. In particular, when multiple communities are served by one utility (e.g. Alaska Village Electric Cooperative (AVEC)), each community will have a different name in this field. In the PCE raw data these names are listed as, for example, ""Lime Village PCE"" or ""Eagle; Eagle Village PCE"". For utilities not in the PCE program, Reporting Name is generally the same as Utility Name."
Intertie name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
AEA Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Residential Revenue $000,"Revenue from sales to residential customers, in thousands of dollars. For EIA data, this reported directly. For PCE data, the residential rate is reported and revenue is calculated as Residential Sales x Residential $/kWh"
Residential Sales MWh,"Sales to residential customers, in megawatt-hours (MWh)"
Residential Customers,The average of the 12 monthly close-of-month residential customer counts.
Residential $/kWh,"Average revenue per kWh for residential customers. For EIA data, calculated as Residential Revenue $000 / Residential Sales MWh. For PCE data, equal to the reported residential rate."
Commercial Revenue $000,"Revenue from sales to residential customers, in thousands of dollars. For EIA data, this reported directly. For PCE data, the residential rate is utilized to estimate commercical revenue, calculated as Commercial Sales x Residential $/kWh"
Commercial Sales MWh,"Sales to commercial customers, in megawatt-hours (MWh)"
Commercial Customers,The average of the 12 monthly close-of-month commercial customer counts.
