PCE reporting ID...1,AEA Plant ID,AK Plant ID,CPCN,eia_plant_id,PCE reporting ID...6,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes
331240,P45,P045,169,57053,331240,Alakanuk,AEA-006,221,Alaska Village Electric Cooperative,218-0000,Alakanuk_grid,1,1,FALSE,0.8,1,Electric Utility,1,13.47,NA,NA,62.6833,-164.6544,NA,NA
331250,P46,P046,169,6556,331250,Ambler,AEA-006,221,Alaska Village Electric Cooperative,035-0000,Ambler_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,67.08798,-157.856719,OP,NA
331250,P46,P046,169,60243,331250,Ambler,AEA-006,221,Alaska Village Electric Cooperative,035-0000,Ambler_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,67.08798,-157.856719,OP,NA
331800,P47,P047,169,6566,331800,Bethel,AEA-006,221,Alaska Village Electric Cooperative,034-1988,Bethel_grid,1,1,FALSE,12.6,1,Electric Utility,1,2.4,NA,NA,60.7897,-161.787778,OP,NA
331270,P48,P048,169,7374,331270,Brevig Mission,AEA-006,221,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,0,1,FALSE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,65.331716,-166.479506,OP,NA
331270,P48,P048,169,60260,331270,Brevig Mission,AEA-006,221,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,65.331716,-166.479506,OP,NA
331280,P49,P049,169,6311,331280,Chevak,AEA-006,221,Alaska Village Electric Cooperative,040-0000,Chevak_grid,1,1,TRUE,1.8,1,Electric Utility,1,12.5,NA,NA,61.525297,-165.590152,OP,NA
331300,P50,P050,169,6313,331300,Elim,AEA-006,221,Alaska Village Electric Cooperative,043-0000,Elim_grid,0,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.616558,-162.263717,OP,NA
331300,P50,P050,169,57060,331300,Elim,AEA-006,221,Alaska Village Electric Cooperative,043-0000,Elim_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.616558,-162.263717,OP,NA
331310,P51,P051,169,6314,331310,Emmonak,AEA-006,221,Alaska Village Electric Cooperative,045-0000,Emmonak_grid,1,1,TRUE,3.2,1,Electric Utility,1,12.5,NA,NA,62.777694,-164.531517,OP,NA
331320,P52,P052,169,6315,331320,Gambell,AEA-006,221,Alaska Village Electric Cooperative,046-0000,Gambell_grid,0,1,TRUE,1.6,1,Electric Utility,1,13.47,NA,NA,63.777058,-171.712439,OP,NA
331320,P52,P052,169,57062,331320,Gambell,AEA-006,221,Alaska Village Electric Cooperative,046-0000,Gambell_grid,1,1,TRUE,1.6,1,Electric Utility,1,13.47,NA,NA,63.777058,-171.712439,OP,NA
331360,P53,P053,169,6319,331360,Hooper Bay,AEA-006,221,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,1,1,TRUE,2.1,1,Electric Utility,1,12.5,NA,NA,61.530858,-166.101944,OP,NA
331390,P54,P054,169,57066,331390,Kasigluk,AEA-006,221,Alaska Village Electric Cooperative,055-0000,Kasigluk_grid,1,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,60.8731,-162.5197,OP,NA
331400,P55,P055,169,6323,331400,Kiana,AEA-006,221,Alaska Village Electric Cooperative,057-0000,Kiana_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,66.973889,-160.428592,OP,NA
331410,P56,P056,169,6324,331410,Kivalina,AEA-006,221,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,67.726644,-164.538447,OP,NA
331410,P56,P056,169,57065,331410,Kivalina,AEA-006,221,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,67.726644,-164.538447,OP,NA
332120,P57,P057,169,57064,332120,Kotlik,AEA-006,221,Alaska Village Electric Cooperative,059-0000,Kotlik_grid,1,1,TRUE,1.4,1,Electric Utility,1,13.47,NA,NA,63.03215,-163.553106,OP,NA
331420,P58,P058,169,6325,331420,Koyuk,AEA-006,221,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.932089,-161.167103,OP,NA
331420,P58,P058,169,57059,331420,Koyuk,AEA-006,221,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,64.932089,-161.167103,OP,NA
331440,P59,P059,169,6326,331440,Marshall,AEA-006,221,Alaska Village Electric Cooperative,061-0000,Marshall_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,61.878186,-162.085147,OP,NA
331440,P59,P059,169,60244,331440,Marshall,AEA-006,221,Alaska Village Electric Cooperative,061-0000,Marshall_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,12.5,NA,NA,61.878186,-162.085147,OP,NA
331470,P60,P060,169,6329,331470,Mountain Village,AEA-006,221,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,1,1,FALSE,2.2999999999999998,1,Electric Utility,1,12.5,NA,NA,62.085569,-163.729072,SB?,NA
331480,P61,P061,169,6334,331480,New Stuyahok,AEA-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,0,1,TRUE,1.4,1,Electric Utility,1,12.5,NA,NA,59.448358,-157.325528,OP,NA
331480,P61,P061,169,60245,331480,New Stuyahok,AEA-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,1,1,TRUE,1.4,1,Electric Utility,1,12.5,NA,NA,59.448358,-157.325528,OP,NA
331500,P62,P062,169,6331,331500,Noatak,AEA-006,221,Alaska Village Electric Cooperative,066-0000,Noatak_grid,0,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,67.570931,-162.965728,OP,NA
331500,P62,P062,169,57051,331500,Noatak,AEA-006,221,Alaska Village Electric Cooperative,066-0000,Noatak_grid,1,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,67.570931,-162.965728,OP,NA
331510,P63,P063,169,6330,331510,Noorvik,AEA-006,221,Alaska Village Electric Cooperative,067-0000,Noorvik_grid,1,1,TRUE,1.5,1,Electric Utility,1,12.5,NA,NA,66.834519,-161.038717,OP,NA
331530,P64,P064,169,6333,331530,Nunapitchuk,AEA-006,221,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,0,1,FALSE,0.5,1,Electric Utility,1,12.5,NA,NA,60.89588,-162.459756,OP,NA
331550,P65,P065,169,6335,331550,Pilot Station,AEA-006,221,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,0,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,61.936456,-162.880706,OP,NA
331550,P65,P065,169,57058,331550,Pilot Station,AEA-006,221,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,1,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,61.936456,-162.880706,OP,NA
331570,P66,P066,169,6337,331570,Quinhagak,AEA-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,0,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,59.747436,-161.910647,OP,NA
331570,P66,P066,169,57057,331570,Quinhagak,AEA-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,1,1,TRUE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,59.747436,-161.910647,OP,NA
331660,P67,P067,169,6338,331660,Saint Mary's,AEA-006,221,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,1,1,TRUE,2.0180000000000002,1,Electric Utility,1,12.5,NA,NA,62.051525,-163.172567,OP,NA
331590,P68,P068,169,6340,331590,Savoonga,AEA-006,221,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,0,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,63.695267,-170.475661,OP,NA
331590,P68,P068,169,57052,331590,Savoonga,AEA-006,221,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,1,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,63.695267,-170.475661,OP,NA
331600,P69,P069,169,6342,331600,Scammon Bay,AEA-006,221,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,0,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,61.843036,-165.581497,OP,NA
331600,P69,P069,169,57056,331600,Scammon Bay,AEA-006,221,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,1,1,TRUE,1.3,1,Electric Utility,1,13.47,NA,NA,61.843036,-165.581497,OP,NA
331610,P70,P070,169,6341,331610,Selawik,AEA-006,221,Alaska Village Electric Cooperative,078-0000,Selawik_grid,1,1,TRUE,1.7,1,Electric Utility,1,12.5,NA,NA,66.606778,-160.014808,OP,NA
331640,P71,P071,169,6345,331640,Shishmaref,AEA-006,221,Alaska Village Electric Cooperative,081-0000,Shishmaref_grid,1,1,FALSE,1.5,1,Electric Utility,1,12.5,NA,NA,66.255072,-166.073589,OP,NA
331650,P72,P072,169,6346,331650,Shungnak,AEA-006,221,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,0,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,66.888114,-157.140206,OP,NA
331650,P72,P072,169,57063,331650,Shungnak,AEA-006,221,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,1,1,TRUE,1.2,1,Electric Utility,1,13.47,NA,NA,66.888114,-157.140206,OP,NA
331670,P73,P073,169,6339,331670,Saint Michael,AEA-006,221,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,0,1,FALSE,0.7,1,Electric Utility,1,13.47,NA,NA,63.4775,-162.0383,NA,NA
331670,P73,P073,169,57061,331670,Saint Michael,AEA-006,221,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,0,1,FALSE,0.7,1,Electric Utility,1,13.47,NA,NA,63.4775,-162.0383,NA,NA
331680,P74,P074,169,6347,331680,Stebbins,AEA-006,221,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,0,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,63.521047,-162.286322,OP,NA
331680,P74,P074,169,57055,331680,Stebbins,AEA-006,221,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,1,1,TRUE,2,1,Electric Utility,1,13.47,NA,NA,63.521047,-162.286322,OP,NA
331690,P75,P075,169,6348,331690,Togiak,AEA-006,221,Alaska Village Electric Cooperative,086-0000,Togiak_grid,1,1,TRUE,2.4,1,Electric Utility,1,12.5,NA,NA,59.059744,-160.380278,OP,NA
331700,P76,P076,169,6349,331700,Toksook Bay,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,0,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,60.530142,-165.108575,OP,NA
331700,P76,P076,169,57067,331700,Toksook Bay,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,1,1,TRUE,1.7,1,Electric Utility,1,13.47,NA,NA,60.530142,-165.108575,OP,NA
331720,P77,P077,169,57054,331720,Upper Kalskag,AEA-006,221,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,1,1,FALSE,1.1000000000000001,1,Electric Utility,1,13.47,NA,NA,61.526858,-160.348128,OP,NA
332900,P78,P078,169,6637,332900,Yakutat,AEA-006,221,Alaska Village Electric Cooperative,091-0000,Yakutat_grid,1,1,TRUE,4.16,1,Electric Utility,1,4.16,NA,NA,59.544553,-139.724306,OP,NA
331260,P79,P079,169,6310,331260,Anvik,AEA-006,221,Alaska Village Electric Cooperative,036-0000,Anvik_grid,0,1,TRUE,0.503,1,Electric Utility,1,7.2,NA,NA,62.65611,-160.20667,OP,NA
331290,P80,P080,169,6312,331290,Eek,AEA-006,221,Alaska Village Electric Cooperative,041-0000,Eek_grid,0,1,TRUE,0.57899999999999996,1,Electric Utility,1,7.2,NA,NA,60.21889,-162.02444,OP,NA
331950,P81,P081,169,NA,331950,Ekwok,AEA-006,221,Alaska Village Electric Cooperative,208-0000,Ekwok_grid,0,1,FALSE,NA,1,Electric Utility,1,7.2,NA,NA,NA,NA,OP,NA
331330,P82,P082,169,6316,331330,Goodnews Bay,AEA-006,221,Alaska Village Electric Cooperative,047-0000,Goodnews Bay_grid,0,1,TRUE,0.66100000000000003,1,Electric Utility,1,7.2,NA,NA,59.11889,-161.5875,OP,NA
331340,P83,P083,169,6317,331340,Grayling,AEA-006,221,Alaska Village Electric Cooperative,048-0000,Grayling_grid,0,1,FALSE,0.60699999999999998,1,Electric Utility,1,7.2,NA,NA,62.90361,-160.06472,OP,NA
331350,P84,P084,169,6318,331350,Holy Cross,AEA-006,221,Alaska Village Electric Cooperative,049-0000,Holy Cross_grid,0,1,FALSE,0.69300000000000006,1,Electric Utility,1,7.2,NA,NA,62.19944,-159.77139,OP,NA
331370,P85,P085,169,6320,331370,Huslia,AEA-006,221,Alaska Village Electric Cooperative,051-0000,Huslia_grid,0,1,TRUE,0.8,1,Electric Utility,1,7.2,NA,NA,65.69861,-156.39972,OP,NA
331380,P86,P086,169,6322,331380,Kaltag,AEA-006,221,Alaska Village Electric Cooperative,054-0000,Kaltag_grid,0,1,TRUE,0.83499999999999996,1,Electric Utility,1,7.2,NA,NA,64.32722,-158.72194,OP,NA
331450,P87,P087,169,6327,331450,Mekoryuk,AEA-006,221,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,0,1,TRUE,0.84899999999999998,1,Electric Utility,1,7.2,NA,NA,60.38806,-166.185,OP,NA
331460,P88,P088,169,6328,331460,Minto,AEA-006,221,Alaska Village Electric Cooperative,063-0000,Minto_grid,0,1,TRUE,0.64700000000000002,1,Electric Utility,1,7.2,NA,NA,65.15333,-149.33694,OP,NA
331490,P89,P089,169,NA,331490,Nightmute,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,0,1,FALSE,0.34400000000000003,1,Electric Utility,1,7.2,NA,NA,60.47944,-164.72389,NA,NA
331520,P90,P090,169,6332,331520,Nulato,AEA-006,221,Alaska Village Electric Cooperative,068-0000,Nulato_grid,0,1,FALSE,0.98899999999999999,1,Electric Utility,1,7.2,NA,NA,64.71944,-158.10306,OP,NA
331540,P91,P091,169,6557,331540,Old Harbor,AEA-006,221,Alaska Village Electric Cooperative,069-0000,Old Harbor_grid,0,1,FALSE,0.70599999999999996,1,Electric Utility,1,7.2,NA,NA,57.20278,-153.30389,OP,NA
331560,P92,P092,169,NA,331560,Pitkas Point,AEA-006,221,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,0,1,FALSE,NA,1,Electric Utility,1,7.2,NA,NA,NA,NA,NA,NA
331580,P93,P093,169,7049,331580,Russian Mission,AEA-006,221,Alaska Village Electric Cooperative,072-0000,Russian Mission_grid,0,1,TRUE,0.84199999999999997,1,Electric Utility,1,7.2,NA,NA,61.785,-161.32028,NA,NA
331620,P94,P094,169,6343,331620,Shageluk,AEA-006,221,Alaska Village Electric Cooperative,079-0000,Shageluk_grid,0,1,FALSE,0.41000000000000003,1,Electric Utility,1,7.2,NA,NA,62.68222,-159.56194,OP,NA
331630,P95,P095,169,6344,331630,Shaktoolik,AEA-006,221,Alaska Village Electric Cooperative,080-0000,Shaktoolik_grid,0,1,TRUE,0.8,1,Electric Utility,1,7.2,NA,NA,64.33389,-161.15389,OP,NA
331685,P96,P096,169,NA,331685,Teller,AEA-006,221,Alaska Village Electric Cooperative,085-0000,Teller_grid,0,1,FALSE,0.75,1,Electric Utility,1,7.2,NA,NA,65.26361,-166.36083,OP,NA
332620,P96,P096,169,NA,332620,Teller,AEA-006,221,Alaska Village Electric Cooperative,085-0000,Teller_grid,0,1,FALSE,0.75,1,Electric Utility,1,7.2,NA,NA,65.26361,-166.36083,OP,NA
331710,P97,P097,169,6350,331710,Tununak,AEA-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,0,1,FALSE,0.34400000000000003,1,Electric Utility,1,7.2,NA,NA,60.58513,-165.25549,NA,NA
331730,P98,P098,169,6351,331730,Wales,AEA-006,221,Alaska Village Electric Cooperative,090-0000,Wales_grid,0,1,FALSE,0.57200000000000006,1,Electric Utility,1,7.2,NA,NA,65.60917,-168.0875,OP,NA
331430,P99,P099,169,6321,331430,Lower Kalskag,AEA-006,221,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,0,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
