Note:  This information cannot be updated annually because of data availability.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15
NA,NA,"Icicle Seafoods, Inc.",3,4500,NA,NA,NA,10120.954314339118,NA,749366,NA,NA,AIRTOOLS,2011
NA,NA,Peter Pan Seafoods,3,3410,NA,NA,NA,10759.00584552416,NA,796608,NA,NA,AIRTOOLS,2011
NA,NA,Trident Seafoods,15,18335,NA,NA,NA,55756.090238512304,NA,4128239,NA,NA,AIRTOOLS,2011
NA,NA,Unisea Inc,8,17500,NA,NA,NA,28532,NA,2696484,NA,NA,EIA,2012
NA,NA,Westward Seafoods Inc.,3,6600,NA,NA,NA,18891,NA,1271550,NA,NA,EIA,2012
NA,Mining,Hecla Greens Creek Mining Company (HGCMC),5,13470,15650.635709162552,NA,NA,16755.342337583726,NA,2299809,NA,NA,AIRTOOLS,2011
3 of 7,NA,"Nixon Fork Mine, McGrath",3,2760.5814,NA,NA,NA,6817.6782592573127,NA,504788,NA,NA,AIRTOOLS,2011
NA,NA,Red Dog Mine,18,45610,NA,NA,NA,188125.64880520545,NA,13929019,NA,NA,AIRTOOLS,2011
NA,Other,Providence Alaska Medical Center,9,5928.4250000000002,NA,NA,NA,872.32700343294869,NA,64588,NA,NA,AIRTOOLS,2011
NA,NA,University of Alaska Fairbanks,4,22600,4885.0110000000004,2683.5230000000001,46073.824999999997,1871.8,NA,344652,18151,20503,NA,NA
NA,NA,TOTAL,471,1460241.7987800001,660852.83380067931,4096878.7223038427,268244.005,401013.09869453229,924925.59071559971,34310785.855289996,53239774.671107493,105118,NA,NA
NA,NA,CO2 Emissions (Metric Tons),NA,NA,NA,NA,NA,NA,NA,348088.87542326294,2884225.3953739917,200026.95140297996,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NOTES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,The non-utility electric generation table is a summary of available data from public sources that includes only the largest producers. It does not represent a comprehensive list of non-utility self generators or total energy used by these sectors.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DATA SOURCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"U.S. Energy Information Administration. Electric data files 2012, forms 860 and 923.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Alaska Department of Environmental Conservation, Division of Air Quality. Selected data from AIRTOOLS database.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Note: The Alaska Departement of Environmental Conservation permits facilities that fall below the EPA Air Emission Reporting Requirements (http://www.epa.gov/ttn/chief/aerr/) . The emmission inventory data is stored in the AIRTOOLS database does not contain specific data on fuel use and electricity generation. However, it records related data such as design capacity, thruput amounts and materials of emmiting units that allows fuel use and electricitity net generation to be estimated. The data presented in this table are derived estimates by the authors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"The AIRTOOLS database contains information on all stationary facilities that are required to register for an emissions permit, under Title V of the 1990 federal Clean Air Act. This Act is administered by the U.S. Environmental Protection Agency (EPA), which has responsibility for protecting and improving the nation’s air quality and stratospheric ozone layer. This responsibility is administered in Alaska via DEC. The AIRTOOLS database provided an additional list of facilities not required to report to either the DOE or the RCA, mostly industry generators. Facilities requiring an air emissions permit meet at least one of the following criteria: 1) a potential to emit greater than 100 tons per year of a regulated air contaminant and/or greater than 25 tpy HAP's; 2) a combustion source with a rated capacity greater than 100 MMBtu/hour; or 3) a combustion source with emission control equipment with a rated capacity greater than 50 MMBtu/hour. DEC collects data for larger facilities (Type A) every year, and data for smaller facilities (Type B) every three years. The latest data year available is 2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"U.S. Environmental Protection Agency, Air Emissions Reporting Requirements (AERR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,http://www.epa.gov/ttn/chief/aerr/final_published_aerr.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Definition for a Type A or B facility category dependens upon the facility's annual potential to emit a primary pollutant.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
