Bradley Lake generation - Reporting to EIA is based on ownership of the generating plant or who operates the plant depending on the survey form. The Alaska Energy Authority owns Bradley Lake; however it is operated by Homer Electric Association.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Alaska Village Electric Cooperative,Gambell,Gambell,1495.8810000000001,0,0,0,387.20400000000001,125869,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,773.07299999999998,0,0,0,0,58888,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,Grayling,569.04700000000003,0,0,0,0,48789,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,594.37199999999996,0,0,0,0,47496,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,2711.4679999999998,0,0,0,543.096,205933,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,Huslia,1005.8,0,0,0,0,75045,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",1472.2059999999999,0,0,0,0,107113,0,0,PCE,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,Kaltag,727.03800000000001,0,0,0,0,53499,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",2286.42,0,0,0,496.85,168858,0,0,PCE,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,Kiana,1511.732,0,0,0,0,120902.09,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,Kivalina,1212.085,0,0,0,0,94027,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,Kotlik,1966.4570000000001,0,0,0,0,151421,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,Koyuk,1315.9179999999999,0,0,0,0,96030.999999999985,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,0,0,0,0,0,0,0,0,PCE,"Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Marshall,Marshall,1644.1759999999999,0,0,0,0,123515,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,708.83100000000002,0,0,0,238.70599999999999,58222,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,Minto,652.66300000000001,0,0,0,0,48155,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,2796.866,0,0,0,0,205079,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,1466.3779999999999,0,0,0,0,114321,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,Nightmute,0,0,0,0,0,0,0,0,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,Noatak,1800.64,0,0,0,0,127333,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,Noorvik,2001.4739999999999,0,0,0,0,153358,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,Nulato,1110.2139999999999,0,0,0,0,83771,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,0,0,0,0,0,0,0,0,PCE,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,788.01900000000001,0,0,0,0,56390,0,0,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,1750.671,0,0,0,0,133531,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,Pitkas Point,0,0,0,0,0,0,0,0,PCE,"Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.",Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,1415.165,0,0,0,409.24,113432,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,1123.7860000000001,0,0,0,0,80202,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",3172.4340000000002,0,0,0,0,241899,0,0,PCE,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,1734.962,0,0,0,0,126431,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,Savoonga,1753.6369999999999,0,0,0,359.92399999999998,141602,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,1735.5519999999999,0,0,0,0,132746,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,Selawik,2745.7550000000001,0,0,0,107.907,206729,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,Shageluk,369.01499999999999,0,0,0,0,31328,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,903.83900000000006,0,0,0,8.2000000000000003E-2,70025,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,1593.91,0,0,0,0,116751,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",1527.3440000000001,0,0,0,0,113831,0,0,PCE,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,Stebbins,1354.2349999999999,0,0,0,0,102124,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,Teller,837.98900000000003,0,0,0,0,72035,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,Togiak,3044.7559999999999,0,0,0,0,225519,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",2592.1080000000002,0,0,0,559.97299999999996,200398,0,0,PCE,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,Tununak,0,0,0,0,0,0,0,0,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,Wales,582.09500000000003,0,0,0,0,47325,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,Karluk,252.608,0,0,0,0,22089,0,0,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,48.344999999999999,91290.654999999999,0,0,0,4242,1089173,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,0,0,0,66088,0,0,0,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,328,1082675,0,0,0,19110,10551686,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,Aniak,2618.598,0,0,0,0,204154,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Atka, City of",Atka,Atka,444.322,0,0,0,0,49036.000000000007,0,0,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,796.81399999999996,0,0,0,0,54344.999999999993,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,0,0,209150,0,0,0,0,222349,EIA,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Fairbanks North Star,Doyon,YU
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,0,0,0,0,955,0,0,0,PCE,"Banner Wind, LLC. is an independent power proucer, who sells all its power to Nome Joint Utility Systems.",Bering Straits,Nome (CA),Bering Straits,AN
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,0,50211,0,0,0,0,745980,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,Beaver,318.02999999999997,0,0,0,0,30506,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",41800,0,0,0,0,3094125,0,0,PCE,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Buckland, City of",Buckland,Buckland,1592.204,0,0,0,0,116056,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,304.16500000000002,0,0,0,0,30609.000000000004,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Chenega Ira Council,Chenega Bay,Chenega Bay,308.27600000000001,0,0,0,0,29631,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,506.53100000000001,0,0,0,0,43418,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,199.04300000000001,0,0,0,0,17351,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Chignik, City of",Chignik,Chignik,868.08199999999999,0,0,0,0,68013.455000000002,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chitina Electric Inc,Chitina,Chitina,519.23599999999999,0,0,0,0,41918,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Chugach Electric Assn Inc,Beluga,NA,0,2281306,0,0,0,0,24008970,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,Bernice Lake,NA,41995,0,0,0,0,0,601772,0,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Chugach Electric Assn Inc,Cooper Lake,NA,0,0,0,28759,0,0,0,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,International,NA,21789,0,0,0,0,0,352079,0,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Circle Electric Utility,Circle,Circle,389.51,0,0,0,0,36322,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Copper Valley Elec Assn Inc,Glennallen,Glennallen,15113,0,0,0,0,1136226,0,0,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Copper Valley Elec Assn Inc,Solomon Gulch,"Glennallen, Valdez",0,0,0,46189,0,0,0,0,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez,Valdez,7338,0,0,0,0,643230,0,0,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,17519,0,0,0,0,1869252,0,0,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Orca,"Cordova, Eyak",9068,0,0,0,0,781015,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",0,0,0,16759.928,0,0,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Diomede Joint Utilities,Diomede,Diomede,438.73590000000002,0,0,0,0,45572,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Egegik Light & Power Co,Egegik,Egegik,281.745,0,0,0,0,27601,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,277.4572,0,0,0,0,25097,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"False Pass, City of",False Pass,False Pass,461.351,0,0,0,0,45211.999999999993,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
G & K Inc,Cold Bay,Cold Bay,2566.9209999999998,0,0,0,0,205710,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
"Galena, City of",Galena,Galena,2907.3449999999998,NA,NA,0,0,232400,NA,NA,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Gold Country Energy,Central,Central,474.60300000000001,0,0,0,0,45258.000000000007,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Golden Valley Elec Assn Inc,Delta Power,NA,-170,0,0,0,0,1806,0,0,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Fairbanks,NA,8529,0,0,0,0,1495746,0,0,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Healy,NA,178,0,178010,0,0,24192,0,175018,EIA,0,Railbelt,Denali,Doyon,YU
Golden Valley Elec Assn Inc,North Pole,NA,486542,0,0,0,0,32928882,0,0,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golovin Power Utilities,Golovin,Golovin,755.70100000000002,0,0,0,0,60975,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Gustavus Electric Co,Falls Creek,Gustavus,0,0,0,1955,0,0,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gustavus Electric Co,Gustavus,Gustavus,98.196960000000004,0,0,0,0,12625.089,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,3061.62,0,0,0,0,238873,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Homer Electric Assn Inc,Nikiski Co-Generation,NA,0,276289,0,0,0,0,3577770,0,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Homer Electric Assn Inc,Seldovia,NA,143,0,0,0,0,10206,0,0,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Homer Electric Assn Inc,Bradley Lake,NA,0,0,0,303900,0,0,0,0,EIA,"Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA",Railbelt,Anchorage,Cook Inlet,SC
Hughes Power & Light,Hughes,Hughes,372.29500000000002,0,0,0,0,40992,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Igiugig Electric Company,Igiugig,Igiugig,307.71845500000001,0,0,0,0,27001.090199999999,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
