"Source: Mathematical estimates based on EIA Form 861 or rates reported by the utility to the PCE program.
If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Larsen Bay Utility Company,Larsen Bay,1,0.41499999999999998,0.1041,0.31089999999999995,0.2508433734939759,PCE,YES,NA,NA,NA,Chalkyitsik Village Council,1
"Saint George, City of",Saint George,1,0.83250000000000002,0.52456250000000004,0.30793749999999998,0.63010510510510509,PCE,YES,NA,NA,NA,Chenega Ira Council,1
Pelican Utility,Pelican,1,0.68623332999999997,0.37854167,0.30769165999999998,0.55162239059417295,PCE,YES,NA,NA,NA,Chignik Lagoon Power Utility,1
Naterkaq Light Plant,Chefornak,1,0.57833332999999998,0.27195000000000003,0.30638332999999995,0.47023055026069488,PCE,YES,NA,NA,NA,Chignik Lake Electric Utility,1
Chignik Lagoon Power Utility,Chignik Lagoon,1,0.69174999999999998,0.38758333,0.30416666999999997,0.5602939356704012,PCE,YES,NA,NA,NA,"Chignik, City of",1
Levelock Electrical Coop,Levelock,1,0.7,0.39930832999999999,0.30069166999999997,0.57044047142857146,PCE,YES,NA,NA,NA,Chitina Electric Inc,1
Tanana Power Company Inc,Tanana,1,0.71367499999999995,0.41390832999999999,0.29976666999999996,0.57996753424177672,PCE,YES,NA,NA,NA,Chugach Electric Assn Inc,9
Akiak City Council,Akiak,1,0.63,0.33463333000000001,0.29536667,0.53116401587301587,PCE,YES,NA,NA,NA,Circle Electric Utility,1
TDX Adak Generating LLC,Adak,1,0.81163333000000004,0.52908332999999996,0.28255000000000008,0.65187481889143206,PCE,YES,NA,NA,NA,"Clark's Point, City of",1
Cordova Electric Cooperative,"Cordova, Eyak",2,0.42116667000000002,0.13869999999999999,0.28246667000000003,0.32932330566423973,PCE,YES,NA,NA,NA,Copper Valley Elec Assn Inc,15
Aniak Light & Power,Aniak,1,0.71872499999999995,0.43711666999999998,0.28160832999999996,0.60818347768618042,PCE,YES,NA,NA,NA,Cordova Electric Cooperative,2
Gustavus Electric Co,Gustavus,1,0.44628332999999998,0.17078333000000001,0.27549999999999997,0.38267916034416977,PCE,YES,NA,NA,NA,Diomede Joint Utilities,1
Tuluksak Traditional,Tuluksak,1,0.6,0.33045000000000002,0.26954999999999996,0.55075000000000007,PCE,YES,NA,NA,NA,Egegik Light & Power Co,1
"False Pass, City of",False Pass,1,0.51319166999999999,0.24496667,0.26822499999999999,0.47733952891324211,PCE,YES,NA,NA,NA,Elfin Cove Utility Commission,1
Manokotak Power Company,Manokotak,1,0.55000000000000004,0.28505833000000003,0.26494167000000002,0.51828787272727272,PCE,YES,NA,NA,NA,"False Pass, City of",1
Circle Electric Utility,Circle,1,0.77449166999999997,0.51212500000000005,0.26236666999999991,0.66124016543651154,PCE,YES,NA,NA,NA,G & K Inc,1
Alaska Power & Telephone Company,Whale Pass,1,0.59952499999999997,0.3377,0.26182499999999997,0.56327926274967688,PCE,YES,NA,NA,NA,"Galena, City of",1
Chitina Electric Inc,Chitina,1,0.62916667000000004,0.36809999999999998,0.26106667000000006,0.58505959954935305,PCE,YES,NA,NA,NA,Gold Country Energy,1
Kipnuk Light Plant,Kipnuk,1,0.57383333000000003,0.31459166999999999,0.25924166000000004,0.54822829827608655,PCE,YES,NA,NA,NA,Golden Valley Elec Assn Inc,25
Nunam Iqua Electric Company,Nunam Iqua,1,0.53,0.27150000000000002,0.25850000000000001,0.51226415094339628,PCE,YES,NA,NA,NA,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena",1
Alutiiq Power Company,Karluk,1,0.6,0.34909167000000002,0.25090832999999996,0.58181945000000002,PCE,YES,NA,NA,NA,Golovin Power Utilities,1
Napakiak Ircinraq,Napakiak,1,0.82538332999999997,0.57527499999999998,0.25010832999999999,0.69697918420523464,PCE,YES,NA,NA,NA,Gustavus Electric Co,1
Golovin Power Utilities,Golovin,1,0.57750000000000001,0.33065,0.24685000000000001,0.57255411255411259,PCE,YES,NA,NA,NA,Gwitchyaa Zhee Utilities Company,1
Kwethluk Incorporated,Kwethluk,1,0.52,0.2742,0.24580000000000002,0.52730769230769226,PCE,YES,NA,NA,NA,Homer Electric Assn Inc,25
Naknek Electric Association,"Naknek, King Salmon, South Naknek",3,0.50455833000000005,0.26014999999999999,0.24440833000000006,0.51559945507192395,PCE,YES,NA,NA,NA,Hughes Power & Light,1
"Unalaska, City of",Unalaska,1,0.44580832999999997,0.20428333000000001,0.24152499999999996,0.45823129863903628,PCE,YES,NA,NA,NA,Igiugig Electric Company,1
Gold Country Energy,Central,1,0.77562500000000001,0.53647500000000004,0.23914999999999997,0.69166800966962128,PCE,YES,NA,NA,NA,"I-N-N Electric Coop, Inc",3
"Koyukuk, City of",Koyukuk,1,0.49166666999999997,0.25533333000000002,0.23633333999999995,0.51932202359781687,PCE,YES,NA,NA,NA,Inside Passage Electric,5
Alaska Village Electric Cooperative,Elim,1,0.58745000000000003,0.35848332999999999,0.22896667000000004,0.61023632649587189,PCE,YES,NA,NA,NA,Ipnatchiaq Electric Company,1
Chignik Lake Electric Utility,Chignik Lake,1,0.67300000000000004,0.44423332999999998,0.22876667000000006,0.66007924219910841,PCE,YES,NA,NA,NA,Ketchikan Public Utilities,1
Alaska Power & Telephone Company,Healy Lake,1,0.82661667000000005,0.59830000000000005,0.22831667,0.72379377493076691,PCE,YES,NA,NA,NA,"King Cove, City of",1
G & K Inc,Cold Bay,1,0.71516667,0.48702499999999999,0.22814167000000002,0.68099510286182663,PCE,YES,NA,NA,NA,Kipnuk Light Plant,1
Napaskiak Electric Utility,Napaskiak,1,0.63749999999999996,0.41102499999999997,0.22647499999999998,0.64474509803921565,PCE,YES,NA,NA,NA,Kobuk Valley Electric Company,1
"Nikolai, City of",Nikolai,1,0.80417499999999997,0.57782500000000003,0.22634999999999994,0.71853141418223654,PCE,YES,NA,NA,NA,Kodiak Electric Assn Inc,5
Inside Passage Electric,Angoon,1,0.62529999999999997,0.39946667000000002,0.22583332999999994,0.63884002878618273,PCE,YES,NA,NA,NA,Kokhanok Village Council,1
Akiachak Native Community,Akiachak,1,0.60499999999999998,0.38092500000000001,0.22407499999999997,0.62962809917355378,PCE,YES,NA,NA,NA,Kotzebue Electric Association,1
Inside Passage Electric,Klukwan,1,0.62294167,0.39946667000000002,0.22347499999999998,0.64125854672717597,PCE,YES,NA,NA,NA,"Koyukuk, City of",1
Inside Passage Electric,Hoonah,1,0.62158332999999999,0.39946667000000002,0.22211665999999997,0.64265988278675368,PCE,YES,NA,NA,NA,Kwethluk Incorporated,1
Alaska Village Electric Cooperative,Ekwok,1,0.74070000000000003,0.51876,0.22194000000000003,0.70036452004860261,PCE,YES,NA,NA,NA,Kwigillingok Power Company,1
Inside Passage Electric,Chilkat Valley,1,0.62075833000000002,0.39946667000000002,0.22129166,0.64351399038012103,PCE,YES,NA,NA,NA,Larsen Bay Utility Company,1
Inside Passage Electric,Kake,1,0.62041667,0.39946667000000002,0.22094999999999998,0.64386836994563668,PCE,YES,NA,NA,NA,Levelock Electrical Coop,1
Alaska Village Electric Cooperative,Noatak,1,0.73998333000000005,0.51951667000000001,0.22046666000000004,0.70206536949960752,PCE,YES,NA,NA,NA,Lime Village Electric Utility,1
Alaska Village Electric Cooperative,"Shungnak, Kobuk",2,0.72724999999999995,0.50739999999999996,0.21984999999999999,0.69769680302509451,PCE,YES,NA,NA,NA,Manokotak Power Company,1
Alaska Village Electric Cooperative,Kiana,1,0.65162500000000001,0.43556666999999999,0.21605833000000002,0.6684314905045079,PCE,YES,NA,NA,NA,Matanuska Electric Association,29
Alaska Village Electric Cooperative,Wales,1,0.64396666999999996,0.42826667000000002,0.21569999999999995,0.6650447763080658,PCE,YES,NA,NA,NA,Mcgrath Light & Power,1
Alaska Village Electric Cooperative,Kivalina,1,0.63886666999999997,0.42344166999999999,0.21542499999999998,0.66280131658770058,PCE,YES,NA,NA,NA,Metlakatla Power & Light,1
Alaska Village Electric Cooperative,Ambler,1,0.63168332999999999,0.41661667000000002,0.21506665999999997,0.65953405799073406,PCE,YES,NA,NA,NA,Middle Kuskokwim Electric,5
Alaska Village Electric Cooperative,Teller,1,0.62324166999999997,0.40858333000000002,0.21465833999999995,0.65557768305190511,PCE,YES,NA,NA,NA,Minchumina Power Company,1
Alaska Village Electric Cooperative,New Stuyahok,1,0.62085833000000001,0.40630833,0.21455000000000002,0.65443002109676129,PCE,YES,NA,NA,NA,Naknek Electric Association,3
Alaska Village Electric Cooperative,Noorvik,1,0.61409166999999998,0.39989166999999998,0.2142,0.65119214204615405,PCE,YES,NA,NA,NA,Napakiak Ircinraq,1
Alaska Village Electric Cooperative,Eek,1,0.60357499999999997,0.38990833000000003,0.21366666999999995,0.64599814438967829,PCE,YES,NA,NA,NA,Napaskiak Electric Utility,1
Alaska Village Electric Cooperative,Shageluk,1,0.60007500000000003,0.38659167,0.21348333000000003,0.64423892013498307,PCE,YES,NA,NA,NA,Naterkaq Light Plant,1
Alaska Village Electric Cooperative,Nunapitchuk,1,0.53463000000000005,0.32116666999999999,0.21346333000000006,0.60072698875858066,PCE,YES,NA,NA,NA,Native Village of Perryville,1
Alaska Village Electric Cooperative,Alakanuk,1,0.59294999999999998,0.37985000000000002,0.21309999999999996,0.6406105067880935,PCE,YES,NA,NA,NA,Nelson Lagoon Electrical Coop,1
Alaska Village Electric Cooperative,Anvik,1,0.59096667000000003,0.37790833000000001,0.21305834000000001,0.639474862431751,PCE,YES,NA,NA,NA,New Koliganek Village Council,1
Alaska Village Electric Cooperative,Shishmaref,1,0.591275,0.37822499999999998,0.21305000000000002,0.63967696926134199,PCE,YES,NA,NA,NA,"Nikolai, City of",1
Alaska Village Electric Cooperative,Goodnews Bay,1,0.58979999999999999,0.37681667000000002,0.21298332999999997,0.63888889454052222,PCE,YES,NA,NA,NA,"Nome Joint Utility Systems, Banner Wind LLC",1
Alaska Village Electric Cooperative,Minto,1,0.58937499999999998,0.37645000000000001,0.21292499999999998,0.63872746553552495,PCE,YES,NA,NA,NA,North Slope Borough Power & Light,7
Alaska Village Electric Cooperative,Kotlik,1,0.58574999999999999,0.372975,0.21277499999999999,0.63674775928297056,PCE,YES,NA,NA,NA,Nunam Iqua Electric Company,1
Alaska Village Electric Cooperative,"Kalskag, Lower Kalskag",1,0.57994999999999997,0.36745833,0.21249166999999997,0.63360346581601867,PCE,YES,NA,NA,NA,Nushagak Electric Cooperative,2
Alaska Village Electric Cooperative,Lower Kalskag,1,0.57994999999999997,0.36745833,0.21249166999999997,0.63360346581601867,PCE,YES,NA,NA,NA,"Ouzinkie, City of",1
Alaska Village Electric Cooperative,Old Harbor,1,0.57622499999999999,0.36396666999999999,0.21225833,0.63163984554644448,PCE,YES,NA,NA,NA,Pedro Bay Village Council,1
Alaska Village Electric Cooperative,Shaktoolik,1,0.57519167000000004,0.36294999999999999,0.21224167000000005,0.63100705196234841,PCE,YES,NA,NA,NA,Pelican Utility,1
Alaska Village Electric Cooperative,Selawik,1,0.57445833000000002,0.36225833000000002,0.2122,0.63060854213742534,PCE,YES,NA,NA,NA,"Petersburg, City of",1
Gwitchyaa Zhee Utilities Company,Fort Yukon,1,0.59759167000000002,0.38570832999999999,0.21188334000000003,0.64543792921343768,PCE,YES,NA,NA,NA,Pilot Point Electric Utility,1
Alaska Village Electric Cooperative,Togiak,1,0.56834167000000002,0.35647499999999999,0.21186667000000003,0.62721953855679802,PCE,YES,NA,NA,NA,"Platinum, City of",1
Alaska Village Electric Cooperative,Scammon Bay,1,0.56645000000000001,0.35464167000000002,0.21180832999999999,0.62607762379733434,PCE,YES,NA,NA,NA,Port Heiden Utilities,1
Alaska Village Electric Cooperative,Stebbins,1,0.55827499999999997,0.34686666999999999,0.21140832999999998,0.6213186512023644,PCE,YES,NA,NA,NA,Puvurnaq Power Company,1
Alaska Village Electric Cooperative,Grayling,1,0.55513332999999998,0.34387499999999999,0.21125832999999999,0.61944578251138338,PCE,YES,NA,NA,NA,Rampart Village Council,1
Alaska Village Electric Cooperative,Saint Michael,1,0.55336666999999995,0.34223333,0.21113333999999995,0.61845670972557854,PCE,YES,NA,NA,NA,"Ruby, City of",1
Alaska Village Electric Cooperative,Emmonak,1,0.55097499999999999,0.33993332999999998,0.21104167000000001,0.61696688597486271,PCE,YES,NA,NA,NA,"Saint George, City of",1
Alaska Village Electric Cooperative,Koyuk,1,0.55073333000000002,0.33969167,0.21104166000000002,0.61679882348867465,PCE,YES,NA,NA,NA,Saint Paul Municipal Electric,1
Alaska Village Electric Cooperative,Pitkas Point,1,0.49639,0.28547499999999998,0.21091500000000002,0.57510223815951167,PCE,YES,NA,NA,NA,"Seward, City of",5
Alaska Village Electric Cooperative,Russian Mission,1,0.54639167,0.33558333000000001,0.21080833999999998,0.61418090433186878,PCE,YES,NA,NA,NA,"Sitka, City & Borough Of",1
Alaska Village Electric Cooperative,Mekoryuk,1,0.54693333,0.33612500000000001,0.21080832999999999,0.61456302178548894,PCE,YES,NA,NA,NA,Stevens Village Ira Council,1
Alaska Village Electric Cooperative,Mountain Village,1,0.54399167000000004,0.33329999999999999,0.21069167000000005,0.61269320539411931,PCE,YES,NA,NA,NA,Takotna Community Assoc Inc,1
Alaska Village Electric Cooperative,Huslia,1,0.54396666999999999,0.33329166999999998,0.210675,0.6127060505379861,PCE,YES,NA,NA,NA,Tanalian Electric Cooperative,1
Alaska Village Electric Cooperative,Quinhagak,1,0.53666667000000001,0.32635832999999997,0.21030834000000004,0.60812110802409247,PCE,YES,NA,NA,NA,Tanana Power Company Inc,1
Alaska Village Electric Cooperative,Brevig Mission,1,0.53576667,0.32549167000000001,0.21027499999999999,0.60752504443772137,PCE,YES,NA,NA,NA,Tatitlek Village Ira Council,1
Alaska Village Electric Cooperative,Pilot Station,1,0.53568333000000001,0.32542500000000002,0.21025832999999999,0.60749510349706048,PCE,YES,NA,NA,NA,TDX Adak Generating Llc,1
Alaska Village Electric Cooperative,Nightmute,1,0.51793999999999996,0.30769999999999997,0.21023999999999998,0.59408425686372934,PCE,YES,NA,NA,NA,TDX Corporation,1
Alaska Village Electric Cooperative,Tununak,1,0.51793999999999996,0.30769999999999997,0.21023999999999998,0.59408425686372934,PCE,YES,NA,NA,NA,TDX Manley Generating LLC,1
Alaska Village Electric Cooperative,Holy Cross,1,0.53326667000000005,0.323125,0.21014167000000006,0.60593511310204318,PCE,YES,NA,NA,NA,TDX North Slope Generating Company,1
Alaska Village Electric Cooperative,Nulato,1,0.53249999999999997,0.32240833000000002,0.21009166999999995,0.60546165258215967,PCE,YES,NA,NA,NA,"Tenakee Springs, City of",1
Alaska Village Electric Cooperative,"Kasigluk, Nunapitchuk",2,0.53120833000000001,0.32116666999999999,0.21004166000000002,0.60459644900523302,PCE,YES,NA,NA,NA,Tuluksak Traditional,1
Alaska Village Electric Cooperative,Gambell,1,0.52198332999999997,0.31240833000000001,0.20957499999999996,0.59850250390180093,PCE,YES,NA,NA,NA,Tuntutuliak Community,1
Alaska Village Electric Cooperative,Kaltag,1,0.51991666999999997,0.31046667,0.20944999999999997,0.59714698126528631,PCE,YES,NA,NA,NA,Twin Hills Village Council,1
Alaska Village Electric Cooperative,"Toksook Bay, Nightmute, Tununak",3,0.51705000000000001,0.30769999999999997,0.20935000000000004,0.59510685620346193,PCE,YES,NA,NA,NA,Umnak Power Company,1
Alaska Village Electric Cooperative,Hooper Bay,1,0.51734999999999998,0.30801666999999999,0.20933332999999998,0.59537386682130089,PCE,YES,NA,NA,NA,Unalakleet Valley Electric Cooperative,1
Tatitlek Village Ira Council,Tatitlek,1,0.62490000000000001,0.41562500000000002,0.20927499999999999,0.66510641702672435,PCE,YES,NA,NA,NA,"Unalaska, City of",2
Alaska Village Electric Cooperative,Marshall,1,0.50402499999999995,0.295325,0.20869999999999994,0.58593323743861914,PCE,YES,NA,NA,NA,Ungusraq Power Company,1
Saint Paul Municipal Electric,Saint Paul,1,0.51916667000000005,0.31095,0.20821667000000005,0.59894060610632027,PCE,YES,NA,NA,NA,Venetie Village Electric,1
Alaska Village Electric Cooperative,"Saint Mary's, Andreafsky, Pitkas Point",3,0.49364166999999998,0.28547499999999998,0.20816667,0.57830409657272241,PCE,YES,NA,NA,NA,"White Mountain, City of",1
Alaska Village Electric Cooperative,Savoonga,1,0.49088333000000001,0.28286666999999999,0.20801666000000002,0.57624012206729447,PCE,YES,NA,NA,NA,"Wrangell, City of",1
Alaska Village Electric Cooperative,Chevak,1,0.48440833,0.2767,0.20770833,0.5712123076000778,PCE,YES,NA,NA,NA,Yakutat Power Inc,1
Puvurnaq Power Company,Kongiganak,1,0.55844167,0.35175000000000001,0.20669166999999999,0.62987778114767112,PCE,YES,NA,NA,NA,Grand Total,328
Hughes Power & Light,Hughes,1,0.71,0.50509166999999999,0.20490832999999997,0.71139671830985918,PCE,YES,NA,NA,NA,NA,NA
Kwigillingok Power Company,Kwigillingok,1,0.59750000000000003,0.39340000000000003,0.2041,0.65841004184100416,PCE,YES,NA,NA,NA,NA,NA
"Atka, City of",Atka,1,0.70166667000000005,0.49935000000000002,0.20231667000000003,0.71166270445765933,PCE,YES,NA,NA,NA,NA,NA
Umnak Power Company,Nikolski,1,0.6,0.4002,0.19979999999999998,0.66700000000000004,PCE,YES,NA,NA,NA,NA,NA
Nushagak Electric Cooperative,"Dillingham, Aleknagik",2,0.40021667,0.20178333000000001,0.19843333999999999,0.50418522047070158,PCE,YES,NA,NA,NA,NA,NA
"Ouzinkie, City of",Ouzinkie,1,0.41422500000000001,0.21595,0.19827500000000001,0.52133502323616387,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Allakaket, Alatna",1,0.85897500000000004,0.66300000000000003,0.19597500000000001,0.77185017026106695,PCE,YES,NA,NA,NA,NA,NA
Unalakleet Valley Electric Cooperative,Unalakleet,1,0.39138332999999997,0.197325,0.19405832999999997,0.50417323599346964,PCE,YES,NA,NA,NA,NA,NA
"Buckland, City of",Buckland,1,0.47410000000000002,0.280225,0.19387500000000002,0.5910672853828306,PCE,YES,NA,NA,NA,NA,NA
TDX Corporation,Sand Point,1,0.58409166999999995,0.39076666999999998,0.19332499999999997,0.66901599538305356,PCE,YES,NA,NA,NA,NA,NA
Nome Joint Utility Systems,Nome,1,0.36220000000000002,0.16927500000000001,0.19292500000000001,0.46735229155162894,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Mentasta Lake,1,0.67206666999999998,0.47995832999999999,0.19210833999999999,0.71415285331736511,PCE,YES,NA,NA,NA,NA,NA
Tanalian Electric Cooperative,Port Alsworth,1,0.68272500000000003,0.49322500000000002,0.1895,0.72243582701673437,PCE,YES,NA,NA,NA,NA,NA
Middle Kuskokwim Electric,Stony River,1,0.84950000000000003,0.66042500000000004,0.18907499999999999,0.77742789876397878,PCE,YES,NA,NA,NA,NA,NA
Middle Kuskokwim Electric,Sleetmute,1,0.84948332999999998,0.66042500000000004,0.18905832999999994,0.77744315477032377,PCE,YES,NA,NA,NA,NA,NA
Middle Kuskokwim Electric,Chuathbaluk,1,0.84947499999999998,0.66042500000000004,0.18904999999999994,0.77745077842196653,PCE,YES,NA,NA,NA,NA,NA
Middle Kuskokwim Electric,Crooked Creek,1,0.84946666999999998,0.66042500000000004,0.18904166999999994,0.77745840222312668,PCE,YES,NA,NA,NA,NA,NA
Middle Kuskokwim Electric,Red Devil,1,0.84931667,0.66042500000000004,0.18889166999999996,0.77759571114976467,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Slana, Chistochina",1,0.67160832999999998,0.48381667,0.18779165999999997,0.72038515365049149,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Chistochina,1,0.67158333000000003,0.48381667,0.18776666000000003,0.72041197032094284,PCE,YES,NA,NA,NA,NA,NA
Twin Hills Village Council,Twin Hills,1,0.55467500000000003,0.36836667000000001,0.18630833000000002,0.66411262450984809,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Northway, Northway Village",2,0.66501666999999998,0.47889166999999999,0.18612499999999998,0.72011979789920155,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Bettles, Evansville",2,0.63519999999999999,0.45052500000000001,0.18467499999999998,0.70926479848866497,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Naukati Bay,1,0.55281667000000001,0.37011666999999998,0.18270000000000003,0.66951068968307337,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Eagle, Eagle Village",2,0.59460000000000002,0.41197499999999998,0.18262500000000004,0.69286074672048426,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Coffman Cove,1,0.46661667000000001,0.28821667000000001,0.1784,0.61767332487285553,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Tetlin,1,0.49043333,0.31230000000000002,0.17813332999999998,0.63678380097046017,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Dot Lake, Dot Lake Village",2,0.49041667,0.31230000000000002,0.17811666999999998,0.6368054332247719,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Tok, Tanacross",2,0.49040833,0.31230000000000002,0.17810832999999998,0.63681626288851989,PCE,YES,NA,NA,NA,NA,NA
Mcgrath Light & Power,McGrath,1,0.50934999999999997,0.33663333000000001,0.17271666999999996,0.66090768626681073,PCE,YES,NA,NA,NA,NA,NA
Yakutat Power Inc,Yakutat,1,0.50305833,0.33380832999999999,0.16925000000000001,0.66355790192361985,PCE,YES,NA,NA,NA,NA,NA
Bethel Utilities Corporation,"Bethel, Oscarville",2,0.51338333000000003,0.34568333000000001,0.16770000000000002,0.67334350338177129,PCE,YES,NA,NA,NA,NA,NA
"King Cove, City of",King Cove,1,0.28012500000000001,0.12025833,0.15986667000000002,0.4293023828647925,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Craig,1,0.24024166999999999,8.4058330000000001E-2,0.15618334,0.34989071629413832,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Hydaburg,1,0.24023332999999999,8.4058330000000001E-2,0.15617500000000001,0.34990286318721886,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Klawock,1,0.24023332999999999,8.4058330000000001E-2,0.15617500000000001,0.34990286318721886,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,Hollis,1,0.24022499999999999,8.4058330000000001E-2,0.15616667000000001,0.34991499635758144,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Thorne Bay, Kasaan",2,0.2402,8.4058330000000001E-2,0.15614167000000001,0.34995141548709408,PCE,YES,NA,NA,NA,NA,NA
Alaska Power & Telephone Company,"Haines, Skagway",2,0.22019167000000001,6.6233330000000007E-2,0.15395834,0.30079852702874732,PCE,YES,NA,NA,NA,NA,NA
Beaver Joint Utilities,Beaver,1,0.65,0.49825000000000003,0.15175,0.7665384615384615,PCE,YES,NA,NA,NA,NA,NA
Kotzebue Electric Association,Kotzebue,1,0.41756666999999997,0.26684999999999998,0.15071667,0.63905962609515743,PCE,YES,NA,NA,NA,NA,NA
"Chignik, City of",Chignik,1,0.47556667000000002,0.32815833,0.14740834000000003,0.6900364359007749,PCE,YES,NA,NA,NA,NA,NA
New Koliganek Village Council,Koliganek,1,0.505,0.36094999999999999,0.14405000000000001,0.71475247524752472,PCE,YES,NA,NA,NA,NA,NA
Chenega Ira Council,Chenega Bay,1,0.435,0.29594999999999999,0.13905000000000001,0.68034482758620685,PCE,YES,NA,NA,NA,NA,NA
"Akutan, City of",Akutan,1,0.32300000000000001,0.18395,0.13905000000000001,0.56950464396284828,PCE,YES,NA,NA,NA,NA,NA
