"Table 1.a   Communities Participating in Power Cost Equalization Program, 2011",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,"Table 1.c   Average Consumption per Residential Customer per Month in PCE communities, 2011",...14,...15,...16,...17
"Some utilities, both in urban and rural Alaska, serve multiple communities. Compared to previous reports, we were able to better identify the communities served by these utilities. Hence, we now present PCE program participation solely by community and not utility; this is the reason the number of communities is significantly higher than in previous reports. Please refer to the ‘Community List’ table in the accompanying workbook for detail information regarding communities served by each utility.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.30 - $0.39,75.902439024390247,375.77109546346531,618.40755208333337,0.73447434264992062
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.40 - $0.49,114.73684210526316,297.70157600406714,504.70454545454544,0.78097062906968995
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.50 - $0.59,228.34693877551021,422.4362895005097,542.73394495412845,0.71978716729808645
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More than $0.60,82.07692307692308,215.92051630434781,290.531914893617,0.79174414397407455
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Note: All averages are weighted. Percentages of residential consumption may seem lower than expected because some communities eligible to receive PCE participated in the program for only a portion of the year. If during a given month a utility did not participate and did not receive a PCE payment, then their eligible PCE consumption is 0% of sales for that month. For example, during the summer of 2011, communities with effective rates of more than $0.60/kWh had an average residential consumption eligible for PCE of 50% because some eligible communities did not participate for a number of months; had they participated the entire year the PCE eligible kWh would have been about 90%.",NA,NA,NA,NA
"Table 1.d   Installed Capacity by Certified Utilities (kW), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion Engine,Hydroelectric,Wind,Region Total,Percent of Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,0,34945,800,1740,37490,1.7063867749335469E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,0,36833,0,2400,39230,1.785584240614645E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,0,27479,824,44,28320,1.2890070276371846E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,8100,30044,19200,0,57340,2.6098751046863052E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,0,35232,22875,4500,62610,2.8497432909733094E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,0,53209,0,2750,55960,2.547063321559917E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,17300,23300,0,0,40600,1.8479408658922915E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,0,21959,0,1400,25120,1.1433565160397625E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,1198900,26200,184375,1012,1416780,0.64485853694061102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,70900,130922,210085,0,414360,0.18859920620471179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,0,29715.5,0,0,29720,1.3527291264610566E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,1295200,449838.5,438159,13846,2197040,1.0047746058333029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.e   Net Generation by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Region Total,Percent of Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,63860,9.7462703651417446E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,55090,8.4077988477240639E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,54520,8.3208058300583768E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,114670,1.7500858483726962E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,150270,2.2934106604601472E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,96150,1.4674348506238315E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,80330,1.2259910717692396E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,35920,5.4820863062306838E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,5078290,0.77504521347628674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,790080,0.12058147964439696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,33070,5.0471212179022474E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,6552250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.f   Net Generation by Fuel Type by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Regional Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,60717.303499999995,0,0,3140,0.66,63860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,52469.839900000006,0,0,0,2623.5770000000002,55090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,50864.982055,0,0,3566.2379999999998,87.764999999999986,54520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,51723.133999999998,0,0,62948.928,0,114670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,23380.62055,0,0,114528.38499999999,12364,150270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,93034.6927,0,0,0,3113.8190000000004,96150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,28640,51686,0,0,0,80330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,34305.354999999996,0,0,0,1610.444,35920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,559426.34499999997,3731560.6550000003,387160,398747,1394,5078290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,32648.500249999997,0,0,757432.65999999992,0,790080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,33070.758699999998,0,0,0,0,33070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,1020280,3783250,387160,1340360,21190,6552250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Percent of Total,0.15571444923499561,0.57739707733984513,5.9088099507802666E-2,0.20456484413751003,3.2340035865542371E-3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.11016037780433964,0.73480653034781396,7.6238261304494223E-2,7.8519934859962698E-2,2.7450185003219586E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.g   Fuel Use for Power Generation by Certified Utilities, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,(Gallons),(Mcf),(Short Tons),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,4221440,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,3548340,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,3628030,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,4658330,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,1772550,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,7129680,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,2162790,756310,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,2471750,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,34486410,40181450,397370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,2687200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,2557160,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (Physical Units),69323680,40937760,397370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conversion Factor,0.13900000000000001,1.0249999999999999,19.536000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total MMBtu,9635990,41961200,7763020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.h   Electricity Sales by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of  Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,8760,41420,9500,59680,9.5248735177234783E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,17090,22160,13220,52480,8.375760090652282E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,14800,24880,11190,50880,8.1204015513031257E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,24270,78930,5290,108480,1.7313308967872705E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,35080,22240,86910,144230,2.3018976331455384E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,31740,36330,21760,89840,1.4338381984455049E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,17260,59040,1650,77950,1.2440748838916641E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,12800,13500,8210,34510,5.5077644955870853E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,1640130,2125760,1050830,4816720,0.76874411478366345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,325050,319380,159200,803630,0.12825861436072586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,11390,7710,8200,27300,4.3570550776449559E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,2138370,2751350,1375960,6265700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Percent of  Total,0.34128189986753277,0.43911294827393588,0.21960195987678952,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.i   Revenue by Certified Utilities ($000), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,4290,19270,4930,28490,2.787071276241905E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,7490,8790,5910,22190,2.170765588620845E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,7550,12020,5940,25510,2.4955489033671813E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,7950,22540,2360,32850,3.2135939425955273E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,6970,4310,15290,26570,2.5992447809669153E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,17600,19440,11910,48950,4.7885973665160141E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,2140,6700,240,9080,8.8826280057130551E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,6520,6270,4620,17410,1.7031558764258183E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,271220,261740,165170,698130,0.68295474555379465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,41370,38220,17630,97220,9.5106728492888024E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,6520,4500,4800,15820,1.5476120600262174E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,379620,403800,238800,1022220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Percent of  Total,0.37136819862651876,0.39502259787521277,0.23360920349826847,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1.j   Customers by Certified Utilities (Accounts), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by AEA Energy Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of  Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,1580,750,370,2700,8.2995204721504987E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,3360,530,400,4290,1.318701586130579E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,3100,1000,520,4620,1.4201401696790851E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,4110,1510,150,5770,1.7736382638632732E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,4920,1090,140,6150,1.8904463297676134E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,6400,1640,740,8780,2.6988811016844954E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,2170,820,40,3030,9.3139063076355597E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,1880,230,240,2350,7.2236567072421001E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,212790,29950,640,243380,0.74812492315258827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,31620,7870,720,40210,0.12360137710561908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,2960,600,480,4040,1.2418541743514078E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,274890,45990,4440,325320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Percent of  Total,0.84498340095905566,0.14136849870896348,1.3648100331980819E-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
