"(1) The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine.
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a electricity generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.  

If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
Alaska Power & Telephone Company,Viking,Craig,1000,0,1000,0,0,EIA-F860,PCE Eligible Active,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,"Craig, Klawock",4400,0,4400,0,0,EIA-F860,PCE Eligible Active,"Part of the Alaska Power Company's grid on Prince of Wales Island. Provides to Hollis, Hydaburg, Klawock, Thorne Bay and Kaasan.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Black Bear Lake,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",4500,0,0,4500,0,EIA-F860,PCE Eligible Active,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,South Fork,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",2000,0,0,2000,0,EIA-F860,PCE Eligible Active,Receives power from Craig via intertie.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",450,0,450,0,0,AEA Village Assessment,PCE Eligible Active,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Goat Lake,"Haines, Covenant Life, Skagway",4000,0,0,4000,0,EIA-F860,PCE Eligible Active,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Haines,Haines,6485,0,6200,285,0,AEA Hydro Program Manager,PCE Eligible Active,Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Skagway,Skagway,4400,0,3400,1000,0,EIA-F860,PCE Eligible Active,Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,Healy Lake,83,0,83,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,Hollis,450,0,450,0,0,AEA Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Hydaburg,Hydaburg,1000,0,1000,0,0,EIA-F860,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,488,0,488,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",1100,0,1100,0,0,EIA-F860,PCE Eligible Active,Provides power to Northway Village via intertie. Data includes Northway Village's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,3000,0,0,3000,0,EIA-F860,PCE Eligible Active,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",730,0,730,0,0,AEA Village Assessment,PCE Eligible Active,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",1300,0,1300,0,0,EIA-F860,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",1000,0,1000,0,0,EIA-F860,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",345,0,345,0,0,AEA Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",7600,0,7600,0,0,EIA-F860,PCE Eligible Active,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,Whale Pass,250,0,250,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,1300,0,1300,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,Ambler,1115,0,1115,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,Anvik,375,0,375,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,1025,0,1025,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,Chevak,400,0,0,0,400,AEA Wind Program Manager,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Chevak,Chevak,1615,0,1615,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,Eek,595,0,595,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Ekwok,Ekwok,370,0,370,0,0,AEA Village Assessment,PCE Eligible Active,0,EKWO,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Elim,Elim,1600,0,1600,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,Emmonak,2300,0,1900,0,400,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Gambell,Gambell,1900,0,1600,0,300,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,480,0,480,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,Grayling,260,0,260,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,455,0,455,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,1900,0,1600,0,300,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,Huslia,796,0,796,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",1100,0,1100,0,0,EIA-F860,PCE Eligible Active,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,Kaltag,549,0,549,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",1900,0,1600,0,300,EIA-F860,PCE Eligible Active,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,Kiana,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,Kivalina,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,Kotlik,1400,0,1400,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,Koyuk,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Marshall,Marshall,1085,0,1085,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,904,0,704,0,200,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,Minto,708,0,708,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,1700,0,1700,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,1331,0,1331,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,Nightmute,325,0,325,0,0,AEA Village Assessment,PCE Eligible Active,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,Noatak,1200,0,1200,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,Noorvik,1000,0,1000,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,Nulato,1002,0,1002,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,500,0,500,0,0,AEA Village Assessment,PCE Eligible Active,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,703,0,703,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,1200,0,1200,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,1400,0,1100,0,300,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,904,0,904,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",6500,0,6500,0,0,EIA-F860,PCE Eligible Active,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,1000,0,1000,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,Savoonga,1900,0,1700,0,200,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,1300,0,1300,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,Selawik,1860,0,1600,0,260,EIA-F860,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,Shageluk,407.5,0,407.5,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,998,0,998,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,1400,0,1400,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",1200,0,1200,0,0,EIA-F860,PCE Eligible Active,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,Stebbins,1200,0,1200,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,Teller,1050,0,1050,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,Togiak,1300,0,1300,0,0,EIA-F860,PCE Eligible Active,0,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",2100,0,1700,0,400,EIA-F860,PCE Eligible Active,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,Tununak,325,0,325,0,0,AEA Village Assessment,PCE Eligible Active,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,Wales,495,0,495,0,0,AEA Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Wales,Wales,130,0,0,0,130,AEA Wind Program Manager,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,Karluk,140,0,140,0,0,AEA Village Assessment,PCE Eligible Active,0,ALUTPC,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,100900,100900,0,0,0,EIA-F860,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,AWWU Conduit,Anchorage,750,0,0,750,0,AEA Hydro Program Manager,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,44400,0,0,44400,0,EIA-F860,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,266300,266300,0,0,0,EIA-F860,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,Aniak,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,0,ANIALPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Arctic Village Electric Company,Arctic Village,Arctic Village,395,0,395,0,0,AEA Village Assessment,PCE Eligible Inactive,0,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Atka, City of",Atka,Atka,257,0,257,0,0,AEA Village Assessment,PCE Eligible Active,0,ATKA,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,547,0,547,0,0,AEA Village Assessment,PCE Eligible Active,0,ATMATU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,27500,27500,0,0,0,EIA-F860,PCE Ineligible,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.,AURORA,Railbelt,Fairbanks North Star,Doyon,YU
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,1170,0,0,0,1170,AEA Wind Program Manager,PCE Eligible Active,"Banner Wind, LLC. is an independent power proucer, who sells all its power to Nome Joint Utility Systems.",0,Bering Straits,Nome (CA),Bering Straits,AN
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,20300,17300,3000,0,0,EIA-F860,PCE Ineligible,0,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,Beaver,244,0,244,0,0,AEA Village Assessment,PCE Eligible Active,0,BEAVJU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",12600,0,12600,0,0,EIA-F860,PCE Eligible Active,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.,BETHUC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Birch Creek Village Electric,Birch Creek,Birch Creek,28,0,28,0,0,AEA Village Assessment,PCE Eligible Inactive,0,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Buckland, City of",Buckland,Buckland,1152,0,1152,0,0,AEA Village Assessment,PCE Eligible Active,0,BUCK,Northwest Arctic,Northwest Arctic,NANA,AN
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,307,0,307,0,0,AEA Village Assessment,PCE Eligible Active,0,CHALVC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Chenega Ira Council,Chenega Bay,Chenega Bay,198,0,198,0,0,AEA Village Assessment,PCE Eligible Active,0,CHENVC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,453,0,453,0,0,AEA Village Assessment,PCE Eligible Active,0,CHIGLPU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,442,0,442,0,0,AEA Village Assessment,PCE Eligible Active,0,CHIGLEU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Chignik, City of",Chignik,Chignik,575,0,575,0,0,AEA Village Assessment,PCE Eligible Active,0,CHIG,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chitina Electric Inc,Chitina,Chitina,301,0,301,0,0,AEA Village Assessment,PCE Eligible Active,0,CHITE,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Chugach Electric Assn Inc,Beluga,NA,374400,374400,0,0,0,EIA-F860,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,Bernice Lake,NA,76700,76700,0,0,0,EIA-F860,PCE Ineligible,0,CEA,Railbelt,Kenai Peninsula,Cook Inlet,SC
Chugach Electric Assn Inc,Cooper Lake,NA,19400,0,0,19400,0,EIA-F860,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,International,NA,46300,46300,0,0,0,EIA-F860,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Circle Electric Utility,Circle,Circle,188,0,188,0,0,AEA Village Assessment,PCE Eligible Active,0,CIRCU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Clark's Point, City of",Clark's Point,Clark's Point,446,0,446,0,0,AEA Village Assessment,PCE Eligible Inactive,0,CLARKS POI,Bristol Bay,Dillingham (CA),Bristol Bay,YU
Copper Valley Elec Assn Inc,Glennallen,Glennallen,10700,0,10700,0,0,EIA-F860,PCE Ineligible,0,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
