Note: this table only includes net generation from fossil fuels. Hydroelectric and wind generation are not included.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
Alaska Power & Telephone Company,Hydaburg,Hydaburg,DFO,IC,23,3864,540.96,NA,5.9523809523809526,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,Klawock,DFO,IC,-27.4,0,0,3.5558333000000002,NA,NA,0.14000000000000001,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,DFO,IC,237.108,19779,2769.0600000000004,3.7,11.987865918398301,0.30864542740017209,0.14000000000000001,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,DFO,IC,449.90800000000002,37322,5225.0800000000008,3.6041666999999999,12.054766625582767,0.29898270219111461,0.14000000000000001,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",DFO,IC,4752,331170,46363.8,3.8746809999999998,14.349125826614729,0.27002906287247475,0.14000000000000001,EIA,Provides power to Northway Village via intertie. Data includes Northway Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",DFO,IC,1150.4580000000001,94630,13248.2,3.7124999999999999,12.157434217478601,0.30536870967910174,0.14000000000000001,PCE,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Tok,Tetlin,DFO,IC,0,0,0,3.9375,NA,NA,0.14000000000000001,PCE,Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",DFO,IC,929,67956,9513.84,NA,13.670610394961445,NA,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",DFO,IC,119,13692,1916.88,3.5558329999999998,8.6912065439672794,0.40912996164705884,0.14000000000000001,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",DFO,IC,10400,751919,105268.66,3.9375,13.831277039149164,0.28468087139423076,0.14000000000000001,PCE,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,Whale Pass,DFO,IC,267.04199999999997,23384.000000000004,3273.7600000000007,3.4750000000000001,11.41985973315087,0.30429445555380807,0.14000000000000001,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,DFO,IC,1946.2080000000001,152732,21382.480000000003,3.3300667000000002,12.74263415656182,0.26133267730088461,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,Ambler,DFO,IC,1277.7739999999999,95531.000000000015,13374.340000000004,5.6824000000000003,13.375490678418522,0.42483675078691546,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,Anvik,DFO,IC,405.42,33807,4732.9800000000005,2.7342,11.992190966367913,0.22799837057865915,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,DFO,IC,1176.3320000000001,89023,12463.220000000001,2.4157999999999999,13.21379868123968,0.18282403556138913,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,Chevak,DFO,IC,1657.2670000000001,132277,18518.780000000002,3.0063,12.528761613886012,0.23995188771634263,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,Eek,DFO,IC,800.57799999999997,58323,8165.2200000000012,2.7899332999999999,13.726625859437958,0.20324975187414593,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Ekwok,Ekwok,DFO,IC,261.51549999999997,23205.817999999999,3248.8145200000004,4.8301356000000002,11.269393735657152,0.4286065172003985,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Elim,Elim,DFO,IC,1159.4449999999999,81625,11427.500000000002,3.0799333,14.204532924961715,0.2168274955797817,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,Emmonak,DFO,IC,3089.884,226911,31767.540000000005,3.2986667000000001,13.617162676115305,0.2422433203200185,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Gambell,Gambell,DFO,IC,1495.8810000000001,125869,17621.660000000003,3.0799333,11.884427460296022,0.25915706164975688,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,DFO,IC,773.07299999999998,58888,8244.3200000000015,3.0612667,13.127852873250918,0.23318868131418377,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,Grayling,DFO,IC,569.04700000000003,48789,6830.4600000000009,2.7342,11.663428231773555,0.2344250717427559,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,DFO,IC,594.37199999999996,47496,6649.4400000000005,2.7342,12.514148559878727,0.21848869596818155,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,DFO,IC,2711.4679999999998,205933,28830.620000000003,3.0265667000000001,13.166748408462947,0.22986439826363431,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,Huslia,DFO,IC,1005.8,75045,10506.300000000001,3.0566333000000001,13.4026250916117,0.2280622847469676,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",DFO,IC,1472.2059999999999,107113,14995.820000000002,3.0444333000000001,13.744419444885308,0.22150322988963503,0.14000000000000001,PCE,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,Kaltag,DFO,IC,727.03800000000001,53499,7489.8600000000006,2.7211333,13.589749341109179,0.20023425242793361,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",DFO,IC,2286.42,168858,23640.120000000003,3.45,13.540489642184557,0.2547913769123783,0.14000000000000001,PCE,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,Kiana,DFO,IC,1511.732,120902.09,16926.292600000001,3.6971333,12.503770613063844,0.29568147196632538,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,Kivalina,DFO,IC,1212.085,94027,13163.78,3.3707666999999999,12.890818594658981,0.26148585330310992,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,Kotlik,DFO,IC,1966.4570000000001,151421,21198.940000000002,3.0814667,12.986686126759167,0.23727890779239008,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,Koyuk,DFO,IC,1315.9179999999999,96030.999999999985,13444.34,3.0799333,13.703054222074124,0.22476254199144624,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,DFO,IC,0,0,0,3.0444333000000001,NA,NA,0.14000000000000001,PCE,"Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Marshall,Marshall,DFO,IC,1644.1759999999999,123515,17292.100000000002,2.9537333000000001,13.311549204550055,0.2218925276548861,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,DFO,IC,708.83100000000002,58222,8151.0800000000008,3.0558333000000002,12.174624712308063,0.25100020511602905,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,Minto,DFO,IC,652.66300000000001,48155,6741.7000000000007,2.9676667000000001,13.55337971134877,0.21896137813618974,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,DFO,IC,2796.866,205079,28711.06,3.3750667000000001,13.637993163610121,0.24747531836323228,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,DFO,IC,1466.3779999999999,114321,16004.940000000002,5.0526333000000001,12.826847210923628,0.39391077299939031,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,Nightmute,DFO,IC,0,0,0,3.0348332999999998,NA,NA,0.14000000000000001,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,Noatak,DFO,IC,1800.64,127333,17826.620000000003,6.7892000000000001,14.141188851279715,0.4801010771725609,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,Noorvik,DFO,IC,2001.4739999999999,153358,21470.120000000003,3.6521333,13.050991796971791,0.27983569040687012,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,Nulato,DFO,IC,1110.2139999999999,83771,11727.94,2.5381999999999998,13.25296343603395,0.19151942976759434,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,DFO,IC,0,0,0,3.45,NA,NA,0.14000000000000001,PCE,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,DFO,IC,788.01900000000001,56390,7894.6,3.51,13.974445823727612,0.25117275091082825,0.14000000000000001,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,DFO,IC,1750.671,133531,18694.34,2.6819332999999999,13.110596041368671,0.20456227097055926,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,Pitkas Point,DFO,IC,0,0,0,2.5708666999999998,NA,NA,0.14000000000000001,PCE,"Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.",Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,DFO,IC,1415.165,113432,15880.480000000001,2.8051667,12.475888638126808,0.22484704547837178,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,DFO,IC,1123.7860000000001,80202,11228.28,2.9341333000000001,14.011944839280815,0.20940228738087147,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",DFO,IC,3172.4340000000002,241899,33865.86,2.5708666999999998,13.114704897498543,0.19602932129188502,0.14000000000000001,PCE,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,DFO,IC,1734.962,126431,17700.34,3.0548666999999998,13.722599678876225,0.22261574129444908,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,Savoonga,DFO,IC,1753.6369999999999,141602,19824.280000000002,3.0799333,12.384267171367636,0.24869725898039333,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,DFO,IC,1735.5519999999999,132746,18584.440000000002,3.0453000000000001,13.074231991924426,0.232923815477727,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,Selawik,DFO,IC,2745.7550000000001,206729,28942.06,3.3809,13.281905296305792,0.25454932290025872,0.14000000000000001,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,Shageluk,DFO,IC,369.01499999999999,31328,4385.92,3.0595667,11.779079417773238,0.25974582490576265,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,DFO,IC,903.83900000000006,70025,9803.5000000000018,3.0799333,12.907375937165298,0.23861808279184676,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,DFO,IC,1593.91,116751,16345.140000000001,3.5921666999999999,13.652217111630735,0.26311965819381272,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",DFO,IC,1527.3440000000001,113831,15936.340000000002,6.0893332999999998,13.417645456861488,0.45383024313599291,0.14000000000000001,PCE,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,Stebbins,DFO,IC,1354.2349999999999,102124,14297.36,3.0496667,13.260692883161646,0.22997793002750633,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,Teller,DFO,IC,837.98900000000003,72035,10084.900000000001,2.9009,11.63308114111196,0.24936643738760292,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,Togiak,DFO,IC,3044.7559999999999,225519,31572.660000000003,3.7189999999999999,13.501106336938351,0.27545890738042716,0.14000000000000001,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",DFO,IC,2592.1080000000002,200398,28055.72,3.0348332999999998,12.934799748500485,0.23462545683027095,0.14000000000000001,PCE,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,Tununak,DFO,IC,0,0,0,3.0348332999999998,NA,NA,0.14000000000000001,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,Wales,DFO,IC,582.09500000000003,47325,6625.5000000000009,3.5921666999999999,12.299947173798204,0.29204732745943529,0.14000000000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,Karluk,DFO,IC,252.608,22089,3092.4600000000005,3.1650833,11.435918330390692,0.27676686808691731,0.14000000000000001,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,GT,46,4242,593.88000000000011,NA,10.843941537010844,NA,0.14000000000000001,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,NG,GT,90425.61,1089173,1113134.8060000001,NA,83.022265517048254,NA,1.022,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,IC,NA,0,0,NA,NA,NA,0.14000000000000001,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,DFO,CT,187,19110,2675.4,NA,9.7854526425954997,NA,0.14000000000000001,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CT,732618.01399445999,9716234,9929991.148,NA,75.401437840469882,NA,1.022,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,GT,127212,1635452,1671431.9440000001,NA,77.784000997889265,NA,1.022,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CA,222845,NA,0,NA,NA,NA,1.022,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,Aniak,DFO,IC,2618.598,204154,28581.56,3.4676833,12.826581894060366,0.27035131640221216,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Atka, City of",Atka,Atka,DFO,IC,444.322,49036.000000000007,6865.0400000000018,4.5640166999999998,9.0611387552002594,0.5036912934790535,0.14000000000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,DFO,IC,796.81399999999996,54344.999999999993,7608.2999999999993,3.8496332999999998,14.662140031281629,0.26255603150609796,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,SUB,ST,209150,234347,3555043.9899999998,NA,892.47995493861663,NA,15.17,EIA,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Fairbanks North Star,Doyon,YU
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,NG,GT,50211,745980,762391.56,NA,67.308775034183228,NA,1.022,EIA,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,Beaver,DFO,IC,318.02999999999997,30506,4270.84,4.6794250000000002,10.425162263161345,0.44885872103260699,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
