"Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10
Chistochina,Alaska Power & Telephone Company,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,1400333,62.571782800000001,-144.6541704
Chitina,Chitina Electric Inc,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC,1400337,61.515833299999997,-144.43694439999999
Chuathbaluk,Middle Kuskokwim Electric,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400376,61.5719444,-159.245
Chugiak,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1400378,61.388888899999998,-149.4819444
Circle,Circle Electric Utility,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400404,65.825555600000001,-144.06055559999999
Clark's Point,"Clark's Point, City of",PCE Eligible Inactive,Bristol Bay,Dillingham (CA),Bristol Bay,YU,1400426,58.844166700000002,-158.55083329999999
College,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1400578,64.856944400000003,-147.8027778
Copper Center,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1400669,61.976959800000003,-145.32972939999999
Crooked Creek,Middle Kuskokwim Electric,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400824,61.87,-158.1108333
Delta Junction,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Southeast Fairbanks (CA),Doyon,SC,1401104,64.037777800000001,-145.7322222
Dillingham,Nushagak Electric Cooperative,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1401203,59.0397222,-158.45750000000001
Diomede,Diomede Joint Utilities,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1401213,65.753765200000004,-168.92314999999999
Dot Lake,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1401364,63.661388899999999,-144.06444440000001
Douglas,Alaska Electric Light & Power Company,PCE Ineligible,Southeast,Juneau,Sealaska,SE,1401374,58.275555599999997,-134.39250000000001
Eagle,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1401499,64.788055600000007,-141.19999999999999
Eagle River,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1401545,61.321388900000002,-149.56777779999999
Eagle Village,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1401553,64.7805556,-141.11361110000001
Eek,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1401666,60.218888900000003,-162.02444439999999
Egegik,Egegik Light & Power Co,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1401686,58.215555600000002,-157.37583330000001
Eklutna,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1401727,61.458055600000002,-149.36222219999999
Ekwok,Alaska Village Electric Cooperative,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1401738,59.349722200000002,-157.47527779999999
Elfin Cove,Elfin Cove Utility Commission,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1401787,58.194444400000002,-136.34333330000001
Elim,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1401788,64.617500000000007,-162.2605556
Emmonak,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1401837,62.777777800000003,-164.52305559999999
Evansville,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1401936,66.922777800000006,-151.50805560000001
Fairbanks,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,1401958,64.837777799999998,-147.7163889
Fort Yukon,Gwitchyaa Zhee Utilities Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402276,66.564722200000006,-145.2738889
Fox,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1402342,64.958055599999994,-147.61833329999999
Gakona,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1402448,62.301944399999996,-145.3019444
Galena,"Galena, City of",PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402457,64.733333299999998,-156.92750000000001
Gambell,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1402463,63.779722200000002,-171.74111110000001
Glennallen,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1402643,62.109166700000003,-145.54638890000001
Golovin,Golovin Power Utilities,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1402760,64.5433333,-163.02916669999999
Grayling,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402921,62.903611099999999,-160.06472220000001
Gulkana,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1403046,62.271388899999998,-145.3822222
Gustavus,Gustavus Electric Co,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1403078,58.413333299999998,-135.7369444
Healy,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Denali,Doyon,YU,1403275,63.856944400000003,-148.96611110000001
Holy Cross,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403447,62.199444399999997,-159.77138890000001
Hoonah,Inside Passage Electric,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1403488,58.11,-135.4436111
Hooper Bay,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1403493,61.531111099999997,-166.09666669999999
Hughes,Hughes Power & Light,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403596,66.048888899999994,-154.25555560000001
Huslia,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403644,65.698611099999994,-156.39972220000001
Igiugig,Igiugig Electric Company,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1403706,59.3277778,-155.89472219999999
Iliamna,"I-N-N Electric Coop, Inc",PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1403763,59.7567965,-154.91108370000001
Juneau,Alaska Electric Light & Power Company,PCE Ineligible,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222
Kokhanok,Kokhanok Village Council,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1404333,59.439444399999999,-154.77611110000001
Kaktovik,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1404349,70.131944399999995,-143.6238889
Kalskag,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404378,61.537222200000002,-160.3052778
Kaltag,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1404379,64.327222199999994,-158.72194440000001
Karluk,Alutiiq Power Company,PCE Eligible Active,Kodiak,Kodiak Island,Koniag,SC,1404456,57.5719444,-154.4555556
Kasaan,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1404468,55.538888900000003,-132.40083329999999
Kasigluk,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404483,60.895555600000002,-162.5180556
King Salmon,Naknek Electric Association,PCE Eligible Active,Bristol Bay,Bristol Bay,Bristol Bay,SW,1404738,58.688333299999996,-156.66138889999999
Wales,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1404755,65.609166700000003,-168.08750000000001
Kipnuk,Kipnuk Light Plant,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404781,59.938888900000002,-164.04138889999999
"Knik, Fairview","Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1404853,NA,NA
Kodiak,Kodiak Electric Assn Inc,PCE Ineligible,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001
Koliganek,New Koliganek Village Council,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1404914,59.728611100000002,-157.28444440000001
Kongiganak,Puvurnaq Power Company,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404934,59.953273099999997,-162.8951327
Kotlik,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1404964,63.0341667,-163.55333329999999
Koyuk,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1404981,64.931944400000006,-161.15694439999999
Koyukuk,"Koyukuk, City of",PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1404984,64.880277800000002,-157.7008333
Kwethluk,Kwethluk Incorporated,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405119,60.812222200000001,-161.43583330000001
Kwigillingok,Kwigillingok Power Company,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405122,59.864444399999996,-163.13416670000001
Lake Minchumina,Minchumina Power Company,PCE Ineligible,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1405185,63.8827778,-152.31222220000001
Larsen Bay,Larsen Bay Utility Company,PCE Eligible Active,Kodiak,Kodiak Island,Koniag,SC,1405216,57.54,-153.97861109999999
Levelock,Levelock Electrical Coop,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1405300,59.114166699999998,-156.85888890000001
Lime Village,Lime Village Electric Utility,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405351,61.356388899999999,-155.43555559999999
Lower Kalskag,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405763,61.512222199999997,-160.3580556
Manley Hot Springs,TDX Manley Generating LLC,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1405922,65.001111100000003,-150.63388889999999
Manokotak,Manokotak Power Company,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1405927,58.981388899999999,-159.05833329999999
Marshall,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1405984,61.877777799999997,-162.08111109999999
McGrath,Mcgrath Light & Power,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1406131,62.9563889,-155.59583330000001
Atqasuk,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1406178,70.469166700000002,-157.39944439999999
Mekoryuk,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406211,60.388055600000001,-166.185
Mentasta Lake,Alaska Power & Telephone Company,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,1406241,62.921111099999997,-143.7691667
Minto,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1406419,65.150411000000005,-149.34970799999999
Moose Creek,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1406548,64.709999999999994,-147.14361109999999
Mountain Village,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1406655,62.085555599999999,-163.72944440000001
Nabesna,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1406770,62.371944399999997,-143.0086111
Naknek,Naknek Electric Association,PCE Eligible Active,Bristol Bay,Bristol Bay,Bristol Bay,SW,1406798,58.728333300000003,-157.01388890000001
Napakiak,Napakiak Ircinraq,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406829,60.696666700000002,-161.9519444
Napaskiak,Napaskiak Electric Utility,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406834,60.708055600000002,-161.76611109999999
Nenana,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Yukon-Koyukuk (CA),Doyon,SC,1406940,64.563888899999995,-149.09305560000001
New Stuyahok,Alaska Village Electric Cooperative,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1406972,59.4527778,-157.31194439999999
Newhalen,"I-N-N Electric Coop, Inc",PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1406978,59.72,-154.89722219999999
Newtok,Ungusraq Power Company,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406985,60.942777800000002,-164.62944440000001
Nightmute,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1407008,60.479444399999998,-164.72388889999999
Nikolai,"Nikolai, City of",PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1407022,63.013333299999999,-154.375
Nome,"Nome Joint Utility Systems, Banner Wind LLC",PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1407125,64.501111100000003,-165.4063889
Nondalton,"I-N-N Electric Coop, Inc",PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407129,59.973611099999999,-154.84583330000001
North Pole,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,1407230,64.751111100000003,-147.34944440000001
Northway,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1407253,62.961666700000002,-141.93722220000001
Northway Village,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1407254,62.982222200000002,-141.9516667
Nulato,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1407321,64.7194444,-158.1030556
Nunapitchuk,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1407339,60.896944400000002,-162.4594444
Old Harbor,Alaska Village Electric Cooperative,PCE Eligible Active,Kodiak,Kodiak Island,Koniag,SC,1407483,57.2027778,-153.3038889
Oscarville,Bethel Utilities Corporation,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1407624,60.722777800000003,-161.77000000000001
Ouzinkie,"Ouzinkie, City of",PCE Eligible Active,Kodiak,Kodiak Island,Koniag,SC,1407684,57.923611100000002,-152.50222220000001
Palmer,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1407737,61.599722200000002,-149.1127778
Pedro Bay,Pedro Bay Village Council,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407862,59.787222200000002,-154.10611109999999
Perryville,Native Village of Perryville,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407902,55.913984599999999,-159.16327670000001
Petersville,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1407927,62.496388899999999,-150.7655556
Pilot Point,Pilot Point Electric Utility,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407992,57.564166700000001,-157.5791667
Pilot Station,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1407993,61.938888900000002,-162.875
Pitkas Point,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1408054,62.032777799999998,-163.28777779999999
Platinum,"Platinum, City of",PCE Eligible Inactive,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408072,59.013055600000001,-161.81638889999999
Point Hope,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1408110,68.348611099999999,-166.73472219999999
Point Lay,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1408115,69.743857000000006,-163.008442
Port Alsworth,Tanalian Electric Cooperative,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Cook Inlet,SW,1408208,60.202500000000001,-154.31277779999999
Port Lions,Kodiak Electric Assn Inc,PCE Ineligible,Kodiak,Kodiak Island,Koniag,SC,1408218,57.8675,-152.8822222
Quinhagak,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408462,59.748888899999997,-161.9158333
Rampart,Rampart Village Council,PCE Eligible Inactive,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1408519,65.504999999999995,-150.16999999999999
Red Devil,Middle Kuskokwim Electric,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408580,61.761111100000001,-157.3125
Ruby,"Ruby, City of",PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1408878,64.739444399999996,-155.4869444
Russian Mission,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1408925,61.784999999999997,-161.32027780000001
Saint Michael,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1408977,63.478055599999998,-162.03916670000001
Savoonga,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1409106,63.694166699999997,-170.47888889999999
Scammon Bay,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1409133,61.8427778,-165.5816667
Shageluk,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1409306,62.682222199999998,-159.56194439999999
Nunam Iqua,Nunam Iqua Electric Company,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1409405,62.533611100000002,-164.84111110000001
Shishmaref,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1409434,66.256666699999997,-166.07194440000001
Slana,Alaska Power & Telephone Company,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,1409698,62.706944399999998,-143.96111110000001
Sleetmute,Middle Kuskokwim Electric,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1409747,61.702500000000001,-157.1697222
South Naknek,Naknek Electric Association,PCE Eligible Active,Bristol Bay,Bristol Bay,Bristol Bay,SW,1409961,58.715555600000002,-156.99805559999999
Stebbins,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1410158,63.522222200000002,-162.28805560000001
Stevens Village,Stevens Village Ira Council,PCE Eligible Inactive,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1410198,66.006388900000005,-149.09083330000001
Stony River,Middle Kuskokwim Electric,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1410241,61.783055599999997,-156.58805559999999
Sutton-Alpine,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1410456,NA,NA
Takotna,Takotna Community Assoc Inc,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1410562,62.9886111,-156.06416669999999
Talkeetna,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1410591,62.3238889,-150.1094444
Tanacross,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1410618,63.385277799999997,-143.34638889999999
Tanana,Tanana Power Company Inc,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1410629,65.171944400000001,-152.07888890000001
Tununak,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1410644,60.585555599999999,-165.25583330000001
Tazlina,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1410694,62.0588695,-145.4284212
Teller,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1410730,65.263611100000006,-166.3608333
