"(1) For communities that have PCE listed as data source, the value listed is gross generation.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Inside Passage Electric,Kake,2831.3879999999999,0,0,2831.3879999999999,2534.9490000000001,0,0,61.9,234.53899999999976,PCE,0,Southeast,Petersburg (CA),Sealaska,SE
Inside Passage Electric,Klukwan,0,0,0,0,374.74799999999999,0,0,0,-374.74799999999999,PCE,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Ketchikan Public Utilities,Ketchikan,84777,88081,0,172858,164714,0,2363,115,5666,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
"King Cove, City of",King Cove,4893.26,0,0,4893.26,3957.3429999999998,0,146.50899999999999,78.450091,710.95790900000065,PCE,0,Aleutians,Aleutians East,Aleut,SW
Kipnuk Light Plant,Kipnuk,1606.4490000000001,0,0,1606.4490000000001,1365.0619999999999,0,78.245999999999995,23.241,139.90000000000009,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kobuk Valley Electric Company,Kobuk,0,557.471,0,557.471,499.97699999999998,0,0,0,57.494000000000028,PCE,"Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk.",Northwest Arctic,Northwest Arctic,NANA,AN
Kodiak Electric Assn Inc,Kodiak,148379,0,0,148379,141970,0,0,574,5835,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kokhanok Village Council,Kokhanok,502.36399999999998,0,0,502.36399999999998,404.24,0,9.2249999999999996,28.992999999999999,59.905999999999949,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Kotzebue Electric Association,Kotzebue,22800,0,0,22800,20900,0,0,988.65899999999999,911.34100000000035,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
"Koyukuk, City of",Koyukuk,333.24200000000002,0,0,333.24200000000002,267.39499999999998,0,1.155,19.094999999999999,45.597000000000037,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Kwethluk Incorporated,Kwethluk,1411.925,0,0,1411.925,1009.794,0,132.91999999999999,34.332000000000001,234.87899999999991,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kwigillingok Power Company,Kwigillingok,1209.067,0,0,1209.067,915.52700000000004,0,24.381,40.801000000000002,228.35799999999995,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Larsen Bay Utility Company,Larsen Bay,428.74979999999999,0,0,428.74979999999999,610.45140000000004,0,65.766363999999996,21.806172,-269.27413599999994,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Levelock Electrical Coop,Levelock,506.65899999999999,0,0,506.65899999999999,358.04700000000003,0,11.609,34.540999999999997,102.46199999999999,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Manokotak Power Company,Manokotak,1410.76,0,0,1410.76,1222.854,0,66.894000000000005,45.040999999999997,75.971000000000004,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Matanuska Electric Association,NA,0,763686,0,763686,717195,0,0,3104,43387,EIA,0,Railbelt,Matanuska Susitna,Cook Inlet,SC
Mcgrath Light & Power,McGrath,2902.627,0,0,2902.627,2539.9490000000001,0,4.5670000000000002,61.923000000000002,296.18799999999965,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Metlakatla Power & Light,Metlakatla,20068,0,0,20068,18396,0,0,315,1357,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Middle Kuskokwim Electric,Chuathbaluk,233.102,0,0,233.102,253.88800000000001,0,0.77300000000000002,12.117167,-33.676166999999992,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Crooked Creek,310.089,0,0,310.089,258.005,0,0,7.4366000999999997,44.647399899999982,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Red Devil,108.91969999999999,0,0,108.91969999999999,94.233999999999995,0,0,2.4900000000000002,12.195700000000002,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Sleetmute,275.46699999999998,0,0,275.46699999999998,252.33500000000001,0,0.48299999999999998,16.330272999999998,6.3187269999999671,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Stony River,143.24700000000001,0,0,143.24700000000001,111.319,0,6.0000000000000001E-3,15.175000000000001,16.747000000000014,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naknek Electric Association,"Naknek, King Salmon, South Naknek",20600,0,0,20600,18400,0,0,621.00199999999995,1578.9979999999996,PCE,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.,Bristol Bay,Bristol Bay,Bristol Bay,SW
Napakiak Ircinraq,Napakiak,0,638.88,0,638.88,601.88199999999995,0,1.6,0,35.398000000000025,PCE,Purchases power from Bethel Utilities Corporation,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Napaskiak Electric Utility,Napaskiak,1015.901,0,0,1015.901,749.67200000000003,0,51.968000000000004,36.451000000000001,177.80999999999995,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naterkaq Light Plant,Chefornak,1660.501,0,0,1660.501,1093.0630000000001,0,46.411000000000001,29.876999999999999,491.14999999999986,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Native Village of Perryville,Perryville,198.20599999999999,0,0,198.20599999999999,341.99,0,18.068000000000001,5.9757273,-167.82772730000002,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Nelson Lagoon Electrical Coop,Nelson Lagoon,397.81190000000004,0,0,397.81190000000004,373.25099999999998,0,0,5.58,18.980900000000076,PCE,0,Aleutians,Aleutians East,Aleut,SW
New Koliganek Village Council,Koliganek,670.35500000000002,0,0,670.35500000000002,610.08000000000004,0,0,21.914999999999999,38.360000000000014,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Nikolai, City of",Nikolai,416.33,0,0,416.33,334.14299999999997,0,0,17.118908999999999,65.068091000000038,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Nome Joint Utility Systems,Nome,35000,955.14800000000002,0,35955.148000000001,32800,0,0,1544.691,1610.4570000000022,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
North Slope Borough Power & Light,Anaktuvuk Pass,3769,0,NA,3769,3292.8,NA,32.064,204.21,239.92599999999993,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Atqasuk,3350.88,0,NA,3350.88,2993.9850000000001,NA,17.856000000000002,100.032,239.00699999999961,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Kaktovik,4830.2,0,NA,4830.2,4846.4340000000002,NA,18.053999999999998,200.87899999999999,-235.16700000000037,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,5697.3209999999999,0,NA,5697.3209999999999,4567.0110000000004,NA,31.544,376.57400000000001,722.19200000000001,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Hope,6464.915,0,NA,6464.915,5163.1660000000002,NA,53.792999999999999,363.327,884.62899999999991,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Lay,3430.08,0,NA,3430.08,2356.8580000000002,NA,10.6,243.536,819.08599999999979,PCE,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Wainwright,6210.6,0,NA,6210.6,4679.9120000000003,NA,27.55,324.96499999999997,1178.1729999999998,PCE,0,North Slope,North Slope,Arctic Slope,AN
Nunam Iqua Electric Company,Nunam Iqua,854.47299999999996,0,0,854.47299999999996,770.65099999999995,0,11.358000000000001,25.224,47.240000000000009,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Nushagak Electric Cooperative,"Dillingham, Aleknagik",18900,0,0,18900,18000,0,0,90,810,PCE,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Ouzinkie, City of",Ouzinkie,334.95,366.053,0,701.00299999999993,673.83900000000006,0,0.6,6.13,20.433999999999855,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Pedro Bay Village Council,Pedro Bay,223.505,0,0,223.505,200.94200000000001,0,0,11.718,10.844999999999999,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Pelican Utility,Pelican,839.03499999999997,0,0,839.03499999999997,711.16,0,7.3310000000000004,40.533000000000001,80.010999999999967,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Petersburg, City of",Petersburg,11504,44540,0,56044,50675,0,0,1257,4112,EIA,0,Southeast,Petersburg (CA),Sealaska,SE
Pilot Point Electric Utility,Pilot Point,469.101,0,0,469.101,396.40600000000001,0,0,20.5,52.194999999999993,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Port Heiden Utilities,Port Heiden,130.6,0,0,130.6,587.10799999999995,0,0,25.917999999999999,-482.42599999999993,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Puvurnaq Power Company,Kongiganak,1141.7239999999999,0,0,1141.7239999999999,778.66899999999998,0,9.0150000000000006,871.3156899999999,-517.27568999999994,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Ruby, City of",Ruby,743.14700000000005,0,0,743.14700000000005,660.61199999999997,0,0,10.570556,71.964444000000071,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Saint George, City of",Saint George,450.80500000000001,0,0,450.80500000000001,392.34,0,3.5390000000000001,30.073,24.853000000000065,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
"Seward, City of",Seward,0,64034,0,64034,57254,0,0,0,6780,EIA,0,Railbelt,Kenai Peninsula,Chugach,SC
"Sitka, City & Borough of",Sitka,118321,0,0,118321,112282,0,0,NA,6039,EIA,0,Southeast,Sitka,Sealaska,SE
Saint Paul Municipal Electric,Saint Paul,4455.16,0,0,4455.16,3660.84,0,0,159.185,635.13499999999976,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Takotna Community Assoc Inc,Takotna,218.4845,0,0,218.4845,173.34100000000001,0,0,23.914000000000001,21.229500000000002,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Tanalian Electric Cooperative,Port Alsworth,664.08,0,0,664.08,606.09699999999998,0,0,15.766999999999999,42.216000000000008,PCE,0,Bristol Bay,Lake and Peninsula,Cook Inlet,SW
Tanana Power Company Inc,Tanana,1179.7650000000001,0,0,1179.7650000000001,1068.596,0,0,33.168999999999997,78,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Tatitlek Village Ira Council,Tatitlek,516.29999999999995,0,0,516.29999999999995,387.74099999999999,0,16.539000000000001,44.095999999999997,67.923999999999978,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
TDX Adak Generating LLC,Adak,1908.4159999999999,0,0,1908.4159999999999,1981.7329999999999,0,0,0,-73.317000000000007,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
TDX Corporation,Sand Point,4457.2349999999997,0,0,4457.2349999999997,3859.6370000000002,0,0,143.44,454.15799999999945,PCE,0,Aleutians,Aleutians East,Aleut,SW
TDX Manley Generating LLC,Manley Hot Springs,444.78070000000002,0,0,444.78070000000002,340.90300000000002,0,0,10.619,93.258699999999976,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Tenakee Springs, City of",Tenakee Springs,419.65699999999998,0,0,419.65699999999998,359.80599999999998,0,0,3.3439999999999999,56.507000000000005,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Tuluksak Traditional,Tuluksak,651.04509999999993,0,0,651.04509999999993,496.59500000000003,0,13.321,44.322000000000003,96.807099999999878,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Tuntutuliak Community,Tuntutuliak,1004.009,0,0,1004.009,892.81899999999996,0,10.875999999999999,33.058,67.256000000000085,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Twin Hills Village Council,Twin Hills,312.488,0,0,312.488,203.47900000000001,0,3.895,30.246200000000002,74.867799999999988,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Umnak Power Company,Nikolski,237.30199999999999,0,0,237.30199999999999,197.976,0,0,24.998999999999999,14.326999999999998,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Unalakleet Valley Electric Cooperative,Unalakleet,4499.1289999999999,0,0,4499.1289999999999,4126.8720000000003,0,14.090999999999999,79.817999999999998,278.34799999999905,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Unalaska, City of",Unalaska,44700,27.079000000000001,0,44727.078999999998,41600,0,0,1234.8869999999999,1892.1919999999955,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Ungusraq Power Company,Newtok,430.96,0,0,430.96,403.59800000000001,0,5.3780000000000001,3.976,18.007999999999981,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"White Mountain, City of",White Mountain,381.7,0,0,381.7,345.32299999999998,0,0,12.484,23.893000000000029,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Wrangell, City of",Wrangell,490,35685,0,36175,33768,0,0,645,1762,EIA,0,Southeast,Wrangell,Sealaska,SE
Yakutat Power Inc,Yakutat,6682.3819999999996,0,0,6682.3819999999996,5965.9679999999998,0,0,170.673,545.74099999999999,PCE,0,Southeast,Yakutat,Sealaska,SE
