1) Data before 2001 from the Alaska Energy Statistis Report 2003.,...2,...3,...4,...5,...6,...7,...8,...9,...10
1975,10149.324595425973,343.15233382372611,NA,NA,NA,NA,NA,NA,NA
1976,10238.357693869264,394.37677628907835,3.8,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,10309.272442571875,529.17009701841903,5.0999999999999996,77312.32935381979,3830.8260613523207,5,NA,NA,NA
1981,9943.4955121537805,590.96267190569745,5.9,77705.590062111791,4651.5010351966866,6,NA,NA,NA
1982,10372.901704210444,711.57712280402643,6.9,80722.280434368455,5336.8260621070685,6.6,NA,NA,NA
1983,9807.3189816281792,786.92955852016632,8,80701.02856093306,5793.8745523004873,7.2,NA,NA,NA
1984,9319.9037953892184,788.53170645861439,8.5,77067.955263797718,5986.4251560094017,7.8,NA,NA,NA
1985,9654.6375858839128,828.7575121153767,14.3,73573,5714,9.1999999999999993,NA,NA,NA
1986,8460.9272010126006,781.78160828987245,14.8,72749,5776,9.5,64153.033652665188,7495.4556619995083,18.600000000000001
1987,8016.4913411363586,784.78617908151591,10.6,72104.43992654774,5901.4952780692556,9.6999999999999993,51530.947255113024,6780.6781485468246,18.100000000000001
1988,8236.5648050579566,803.74338803743387,10.6,71538.648517258145,5843.3641225085075,9.6,52191.627490485786,7152.227445713007,19.100000000000001
1989,8478.9631271951184,826.55587903150604,10.7,71919.111739563581,6050.968923739435,9.9,61323.924425221943,7757.3412246756207,16.3
1990,8512.1560356280661,858.18044591946989,10.1,72537.731401452053,6325.2349372976705,8.6999999999999993,60578.1755445331,7501.4017683847314,12.4
1991,8235.9383692029751,872.09415079028895,10.6,74150.574782927724,6766.4791488320898,9.1,45022.550052687038,5518.4404636459431,12.2
1992,8235.4529485570893,891.27227101631115,10.8,73714.81912955163,6778.8631000388323,9.1999999999999993,45377.165518680864,5781.0477979544985,12.7
1993,8013.0451042722598,889.43400683010361,11.09982528809042,73358.11318573328,6897.4507196947807,9.4024374675931544,49047.896912229517,5266.2290299051792,10.736910981787899
1994,8187.9929609897281,927.85499251014403,11.3,75389.966249070421,7100.9953663978031,9.4,56394.007490636701,6575.0312109862671,11.7
1995,8117.6554275145827,915.41233935600133,11.3,77279.283916723856,7140.3568977350715,9.1999999999999993,44979.505726341165,6062.6883664858351,13.5
1996,8187.6947040498444,930.221777184394,11.361217177825186,78302.260043101065,7319.2241808034478,9.3473983723772722,42722.420776745297,5698.5942339766498,13.338650128830047
1997,8024.2983875467271,918.08012051553862,11.441251012553931,83876.685329067637,7537.1343692870205,8.9859707017714125,36343.998369675974,5360.3016099449769,14.748794437591117
1998,7930.8114315448556,911.8859536978473,11.49801582812592,84605.685664004326,7505.5367537565999,8.8711966516806395,37888.596656021044,5184.2945707307908,13.682994431800715
1999,8210.1985944808948,916.09130153533386,11.157967630054086,87250.020265340863,7598.6111486395203,8.7090078896611871,35486.278026905828,5025.6502242152474,14.162235386886108
2000,8046.3966269617495,921.66014557505616,11.454321583984198,84080.969995889842,7629.2129058775181,9.0736499665149655,44714.355948869226,6337.7581120943951,14.173877667703877
2001,7953.0373105152421,932.99758213589382,11.731336666839415,87843.909669616318,7976.5309044009255,9.0803459618326485,36372.231037041267,5218.8674542929439,14.348494182218516
2002,8056.879685766944,970.59068809366943,12.046731811178557,84155.833312248564,7843.8883687979151,9.3206710219293463,37834.36815193572,5311.9065010956901,14.039897480946612
2003,8047.1446333037693,964.13427776495314,11.981073060061629,81434.234193210534,7881.8332915917217,9.6787713050647906,NA,NA,NA
2004,8208.2858939959715,1020.9515999331205,12.438060919392504,82519.464127546496,8404.4951284322415,10.184863919428517,NA,NA,NA
2005,8030.8355114776195,1067.9152529828566,13.297685545378171,83793.959570903229,9114.3895380464346,10.877143871372002,NA,NA,NA
2006,8107.9838777523692,1202.2011303928841,14.827374456079317,86292.290697427394,10190.257684872433,11.809001247403705,NA,NA,NA
2007,7965.5828426552744,1209.1701230744889,15.179932805411889,88871.508144147185,10960.798379610094,12.333309750783092,NA,NA,NA
2008,7926.268807838057,1311.6666294418512,16.548349056049958,86717.332892398001,11973.686494977472,13.807719974315694,NA,NA,NA
2009,7658,1370,16.2,77034,10236,13.6,31430,12390,41.64
2010,7670.4,1252.69,16.329999999999998,58995.31,7964.14,13.49,308876.81784148538,48702.811345418173,15.76
2011,7778.9180362062916,1380.9720239308028,17.752751957318356,59843.963512832823,8782.5323480743009,14.675719709291968,310587.44343256799,53903.05880727082,16.313972442906831
