"Sources: Regulatory Commision of Alaska, U.S. Department of Energy - Energy Information Admisnistration and ISER.
Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,BETHUC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,NA,NA,NA,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.
Birch Creek Village Electric,Birch Creek,Birch Creek,NA,NA,Private Electric Utility,No,PCE Eligible Inactive,NA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1399049,66.259035499999996,-145.81901680000001,NA
"Buckland, City of",Buckland,Buckland,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,BUCK,Northwest Arctic,Northwest Arctic,NANA,AN,1412684,65.979722199999998,-161.12305559999999,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,CHALVC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400128,66.654444400000003,-143.7222222,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,CHENVC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421254,60.063333299999996,-148.01138889999999,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,CHIGLPU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1400274,56.308439300000003,-158.53023909999999,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,CHIGLEU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1893911,56.255555600000001,-158.76249999999999,NA
"Chignik, City of",Chignik,Chignik,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,CHIG,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1400269,56.295277800000001,-158.40222220000001,NA
Chitina Electric Inc,Chitina,Chitina,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,CHITE,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC,1400337,61.515833299999997,-144.43694439999999,NA
Chugach Electric Assn Inc,Beluga,NA,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,CEA,Railbelt,Anchorage,Cook Inlet,SC,NA,NA,NA,NA
Chugach Electric Assn Inc,Bernice Lake,NA,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,CEA,Railbelt,Kenai Peninsula,Cook Inlet,SC,NA,NA,NA,NA
Chugach Electric Assn Inc,Cooper Lake,NA,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,CEA,Railbelt,Anchorage,Cook Inlet,SC,NA,NA,NA,NA
Chugach Electric Assn Inc,International,NA,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,CEA,Railbelt,Anchorage,Cook Inlet,SC,NA,NA,NA,NA
Circle Electric Utility,Circle,Circle,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,CIRCU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400404,65.825555600000001,-144.06055559999999,NA
"Clark's Point, City of",Clark's Point,Clark's Point,Not regulated,Active,Public Electric Utility,No,PCE Eligible Inactive,CLARKS POI,Bristol Bay,Dillingham (CA),Bristol Bay,YU,1400426,58.844166700000002,-158.55083329999999,NA
Copper Valley Elec Assn Inc,Glennallen,Glennallen,Not regulated,Active,Private Electric Utility,Yes,PCE Ineligible,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC,1402643,62.109166700000003,-145.54638890000001,NA
Copper Valley Elec Assn Inc,Solomon Gulch,"Glennallen, Valdez",Not regulated,Active,Private Electric Utility,Yes,PCE Ineligible,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,NA,NA,NA,NA
Copper Valley Elec Assn Inc,Valdez,Valdez,Not regulated,Active,Private Electric Utility,Yes,PCE Ineligible,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1412465,61.130833299999999,-146.34833330000001,NA
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,Not regulated,Active,Private Electric Utility,Yes,PCE Ineligible,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1412465,61.130833299999999,-146.34833330000001,NA
Cordova Electric Cooperative,Humpback Creek,"Cordova, Eyak",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421215,60.542777800000003,-145.75749999999999,New plant
Cordova Electric Cooperative,Orca,"Cordova, Eyak",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421215,60.542777800000003,-145.75749999999999,NA
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421215,60.542777800000003,-145.75749999999999,NA
Diomede Joint Utilities,Diomede,Diomede,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,DIOMJU,Bering Straits,Nome (CA),Bering Straits,AN,1401213,65.753765200000004,-168.92314999999999,NA
Egegik Light & Power Co,Egegik,Egegik,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,EGEGLP,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1401686,58.215555600000002,-157.37583330000001,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ELFICEU,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1401787,58.194444400000002,-136.34333330000001,NA
"Enerdyne, LLC",McRoberts Creek,NA,NA,NA,Independent Power Producer,Yes,PCE Ineligible,NA,Railbelt,Matanuska Susitna,Cook Inlet,SC,NA,NA,NA,Sells all its power to Matanuska Electric Association
"False Pass, City of",False Pass,False Pass,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,FALSPE,Aleutians,Aleutians East,Aleut,SW,1418574,54.850833299999998,-163.41499999999999,NA
G & K Inc,Cold Bay,Cold Bay,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,G&K,Aleutians,Aleutians East,Aleut,SW,1418448,55.185833299999999,-162.7211111,NA
"Galena, City of",Galena,Galena,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,GALE,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402457,64.733333299999998,-156.92750000000001,NA
Gold Country Energy,Central,Central,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,CENTEI,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400106,65.572500000000005,-144.80305559999999,NA
Golden Valley Elec Assn Inc,Delta Power,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,GVEA,Railbelt,Fairbanks North Star,Doyon,YU,NA,NA,NA,NA
Golden Valley Elec Assn Inc,Fairbanks,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,GVEA,Railbelt,Fairbanks North Star,Doyon,YU,NA,NA,NA,NA
Golden Valley Elec Assn Inc,Healy,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,GVEA,Railbelt,Denali,Doyon,YU,NA,NA,NA,NA
Golden Valley Elec Assn Inc,North Pole,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,GVEA,Railbelt,Fairbanks North Star,Doyon,YU,NA,NA,NA,NA
Golovin Power Utilities,Golovin,Golovin,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,GOLOPU,Bering Straits,Nome (CA),Bering Straits,AN,1402760,64.5433333,-163.02916669999999,NA
Gustavus Electric Co,Falls Creek,Gustavus,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,GUSTE,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1403078,58.413333299999998,-135.7369444,NA
Gustavus Electric Co,Gustavus,Gustavus,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,GUSTE,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1403078,58.413333299999998,-135.7369444,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,GWITZU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402276,66.564722200000006,-145.2738889,NA
Homer Electric Assn Inc,Bradley Lake,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,HEA,Railbelt,Anchorage,Cook Inlet,SC,NA,NA,NA,"Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA"
Homer Electric Assn Inc,Homer,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,HEA,Railbelt,Kenai Peninsula,Cook Inlet,SC,NA,NA,NA,NA
Homer Electric Assn Inc,Nikiski Co-Generation,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,HEA,Railbelt,Kenai Peninsula,Cook Inlet,SC,NA,NA,NA,NA
Homer Electric Assn Inc,Seldovia,NA,Regulated,Active,Private Electric Utility,Yes,PCE Ineligible,HEA,Railbelt,Kenai Peninsula,Cook Inlet,SC,NA,NA,NA,NA
Hughes Power & Light,Hughes,Hughes,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,HUGHPL,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403596,66.048888899999994,-154.25555560000001,NA
Igiugig Electric Company,Igiugig,Igiugig,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,IGIUEC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1403706,59.3277778,-155.89472219999999,NA
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,INN,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,NA,NA,NA,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data."
"I-N-N Electric Coop, Inc",Tazimina,"Iliamna, Newhalen, Nondalton",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,INN,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,NA,NA,NA,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Iliamna's information is included in Nondalton's data."
Inside Passage Electric,10 Mile,"Haines, Skagway",Regulated,Active,Electric Co-op,Yes,PCE Ineligible,NA,Southeast,Haines,Sealaska,SE,NA,NA,NA,"Southern Energy Inc (SEI) owned this facility for most of 2011. IPEC bought the 10 Mile plant in October, 2011. Prior to t he purchase SEI wholesale all power to IPEC. All IPEC comminities have a postage stamp rate. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area."
Inside Passage Electric,Angoon,Angoon,Regulated,Active,Electric Co-op,No,PCE Eligible Active,INSIPEC,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1420113,57.503333300000001,-134.58388890000001,NA
Inside Passage Electric,Chilkat Valley,Chilkat Valley,Regulated,Active,Electric Co-op,Yes,PCE Eligible Active,INSIPEC,Southeast,Haines,Sealaska,SE,1421022,59.399701999999998,-135.89640890000001,Provides power to Klukwan via intertie. Power is purchased from AP&T.
Inside Passage Electric,Hoonah,Hoonah,Regulated,Active,Electric Co-op,No,PCE Eligible Active,INSIPEC,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1403488,58.11,-135.4436111,NA
Inside Passage Electric,Kake,Kake,Regulated,Active,Electric Co-op,No,PCE Eligible Active,INSIPEC,Southeast,Petersburg (CA),Sealaska,SE,1422926,56.975833299999998,-133.9472222,NA
Inside Passage Electric,Klukwan,Klukwan,Regulated,Active,Electric Co-op,Yes,PCE Eligible Active,INSIPEC,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1866956,59.403888899999998,-135.88444440000001,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.
Ipnatchiaq Electric Company,Deering,Deering,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,IPNAEC,Northwest Arctic,Northwest Arctic,NANA,AN,1412894,66.075555600000001,-162.71722220000001,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,KPU,Southeast,Ketchikan Gateway,Sealaska,SE,1423039,55.342222200000002,-131.64611110000001,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,KPU,Southeast,Ketchikan Gateway,Sealaska,SE,1423039,55.342222200000002,-131.64611110000001,NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,KPU,Southeast,Ketchikan Gateway,Sealaska,SE,1423039,55.342222200000002,-131.64611110000001,NA
Ketchikan Public Utilities,Silvis,Ketchikan,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,KPU,Southeast,Ketchikan Gateway,Sealaska,SE,1423039,55.342222200000002,-131.64611110000001,NA
Ketchikan Public Utilities,Swan Lake,"Wrangell, Petersburg, Ketchikan",Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,KPU,Southeast,Ketchikan Gateway,Sealaska,SE,NA,NA,NA,NA
"King Cove, City of",King Cove,King Cove,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,KINGC,Aleutians,Aleutians East,Aleut,SW,1418792,55.061666700000004,-162.31027779999999,NA
Kipnuk Light Plant,Kipnuk,Kipnuk,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,KIPNLP,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404781,59.938888900000002,-164.04138889999999,NA
Kobuk Valley Electric Company,Kobuk,Kobuk,NA,Active,Electric Co-op,Yes,PCE Eligible Active,KOBUVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413362,66.907222200000007,-156.8811111,"Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk."
Kodiak Electric Assn Inc,Kodiak,Kodiak,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,KEA,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001,NA
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,KEA,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001,NA
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,KEA,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001,NA
Kodiak Electric Assn Inc,Port Lions,Kodiak,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,KEA,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001,NA
Kodiak Electric Assn Inc,Terror Lake,Kodiak,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,KEA,Kodiak,Kodiak Island,Koniag,SC,1404875,57.79,-152.40722220000001,NA
Kokhanok Village Council,Kokhanok,Kokhanok,"Regulated, rate exemption",Active,Public Electric Utility,No,PCE Eligible Active,KOKHVC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1404333,59.439444399999999,-154.77611110000001,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,KOTZEA,Northwest Arctic,Northwest Arctic,NANA,AN,1413378,66.898333300000004,-162.59666669999999,NA
"Koyukuk, City of",Koyukuk,Koyukuk,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,KOYU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1404984,64.880277800000002,-157.7008333,NA
Kwethluk Incorporated,Kwethluk,Kwethluk,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,KWET,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405119,60.812222200000001,-161.43583330000001,NA
Kwigillingok Power Company,Kwigillingok,Kwigillingok,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,KWIGPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405122,59.864444399999996,-163.13416670000001,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,LARSBUC,Kodiak,Kodiak Island,Koniag,SC,1405216,57.54,-153.97861109999999,NA
Levelock Electrical Coop,Levelock,Levelock,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,LEVEEC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1405300,59.114166699999998,-156.85888890000001,NA
Lime Village Electric Utility,Lime Village,Lime Village,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,LIMEVTC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405351,61.356388899999999,-155.43555559999999,NA
Manokotak Power Company,Manokotak,Manokotak,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,MANOPC,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1405927,58.981388899999999,-159.05833329999999,NA
Matanuska Electric Association,Palmer,NA,Regulated,Active,Electric Co-op,Yes,PCE Ineligible,MEA,Railbelt,Matanuska Susitna,Cook Inlet,SC,NA,NA,NA,NA
Mcgrath Light & Power,McGrath,McGrath,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,MCGRLP,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1406131,62.9563889,-155.59583330000001,NA
Metlakatla Power & Light,Centennial,Metlakatla,Regulated,Active,Private Electric Utility,No,PCE Ineligible,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423661,55.129166699999999,-131.5722222,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,Regulated,Active,Private Electric Utility,No,PCE Ineligible,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423661,55.129166699999999,-131.5722222,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,Regulated,Active,Private Electric Utility,No,PCE Ineligible,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423661,55.129166699999999,-131.5722222,NA
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,Regulated,Active,Electric Co-op,No,PCE Eligible Active,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400376,61.5719444,-159.245,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,Regulated,Active,Electric Co-op,No,PCE Eligible Active,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400824,61.87,-158.1108333,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,Regulated,Active,Electric Co-op,No,PCE Eligible Active,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408580,61.761111100000001,-157.3125,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,Regulated,Active,Electric Co-op,No,PCE Eligible Active,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1409747,61.702500000000001,-157.1697222,NA
Middle Kuskokwim Electric,Stony River,Stony River,Regulated,Active,Electric Co-op,No,PCE Eligible Active,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1410241,61.783055599999997,-156.58805559999999,NA
Minchumina Power Company,Lake Minchumina,Lake Minchumina,Not regulated,NA,Private Electric Utility,No,PCE Ineligible,NA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1405185,63.8827778,-152.31222220000001,NA
Naknek Electric Association,Naknek,"Naknek, King Salmon, South Naknek",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,NAKNEA,Bristol Bay,Bristol Bay,Bristol Bay,SW,NA,NA,NA,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.
Napakiak Ircinraq,Napakiak,Napakiak,Not regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,NAPAC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406829,60.696666700000002,-161.9519444,Purchases power from Bethel Utilities Corporation
Napaskiak Electric Utility,Napaskiak,Napaskiak,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,NAPAEU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406834,60.708055600000002,-161.76611109999999,NA
Naterkaq Light Plant,Chefornak,Chefornak,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,NATELP,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400188,60.16,-164.2658333,NA
Native Village of Perryville,Perryville,Perryville,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,PERR,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407902,55.913984599999999,-159.16327670000001,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,NELSLEC,Aleutians,Aleutians East,Aleut,SW,1418948,56.000615199999999,-161.206974,NA
New Koliganek Village Council,Koliganek,Koliganek,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,NEWKVC,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1404914,59.728611100000002,-157.28444440000001,NA
"Nikolai, City of",Nikolai,Nikolai,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NIKO,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1407022,63.013333299999999,-154.375,NA
Nome Joint Utility Systems,Snake River,Nome,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,NOME,Bering Straits,Nome (CA),Bering Straits,AN,1407125,64.501111100000003,-165.4063889,NA
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1398235,68.143333299999995,-151.7358333,NA
North Slope Borough Power & Light,Atqasuk,Atqasuk,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1406178,70.469166700000002,-157.39944439999999,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1404349,70.131944399999995,-143.6238889,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1416680,70.217500000000001,-150.97638889999999,NA
North Slope Borough Power & Light,Point Hope,Point Hope,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1408110,68.348611099999999,-166.73472219999999,NA
North Slope Borough Power & Light,Point Lay,Point Lay,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1408115,69.743857000000006,-163.008442,NA
North Slope Borough Power & Light,Wainwright,Wainwright,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NORTSB,North Slope,North Slope,Arctic Slope,AN,1411728,70.636944400000004,-160.03833330000001,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NUNAIEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1409405,62.533611100000002,-164.84111110000001,NA
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,NETCI,Bristol Bay,Dillingham (CA),Bristol Bay,SW,NA,NA,NA,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.
"Ouzinkie, City of",Ouzinkie,Ouzinkie,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,OUZI,Kodiak,Kodiak Island,Koniag,SC,1407684,57.923611100000002,-152.50222220000001,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,PEDRBV,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407862,59.787222200000002,-154.10611109999999,NA
Pelican Utility,Pelican,Pelican,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,NA,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1424201,57.960833299999997,-136.22749999999999,NA
"Petersburg, City of",Blind Slough,Petersburg,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,PETERSBURG,Southeast,Petersburg (CA),Sealaska,SE,1424228,56.811266699999997,-132.95124250000001,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,PILOPEU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1407992,57.564166700000001,-157.5791667,NA
"Platinum, City of",Platinum,Platinum,Not regulated,Active,Public Electric Utility,No,PCE Eligible Inactive,PLAT,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408072,59.013055600000001,-161.81638889999999,NA
Port Heiden Utilities,Port Heiden,Port Heiden,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,PORTHU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1419072,56.932561399999997,-158.6249699,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,PUVUPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1404934,59.953273099999997,-162.8951327,NA
Rampart Village Council,Rampart,Rampart,Not regulated,NA,Public Electric Utility,No,PCE Eligible Inactive,NA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1408519,65.504999999999995,-150.16999999999999,NA
"Ruby, City of",Ruby,Ruby,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,RUBY,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1408878,64.739444399999996,-155.4869444,NA
"Saint George, City of",Saint George,Saint George,Not regulated,Active,Public Electric Utility,No,PCE Eligible Inactive,ST. GEORGE,Aleutians,Aleutians West (CA),Aleut,SW,1419161,56.6,-169.54166670000001,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,STPMEU,Aleutians,Aleutians West (CA),Aleut,SW,1419163,57.122222200000003,-170.27500000000001,NA
"Seward, City of",Seward,Seward,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,SEWARD,Railbelt,Kenai Peninsula,Chugach,SC,1414598,60.1041667,-149.4422222,NA
"Sitka, City & Borough of",Blue Lake,Sitka,Not regulated,Active,Public Electric Utility,No,PCE Ineligible,SITKA,Southeast,Sitka,Sealaska,SE,1414736,57.0530556,-135.33000000000001,NA
"Sitka, City & Borough of",Green Lake,Sitka,Not regulated,Active,Public Electric Utility,No,PCE Ineligible,SITKA,Southeast,Sitka,Sealaska,SE,1414736,57.0530556,-135.33000000000001,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,Not regulated,Active,Public Electric Utility,No,PCE Ineligible,SITKA,Southeast,Sitka,Sealaska,SE,1414736,57.0530556,-135.33000000000001,NA
