(1) Gross generation minus the parasitic station load (i.e. station use); may be negative if the station service load exceeded the gross electrical generation. This may be the case for stand-by generators. Please note that net generation is not defined as electric power sold.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",0,1284.8589999999999,0,0,1284.8589999999999,13.263273,1298.122273,PCE,Provides power to Northway Village via intertie. Data includes Northway Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,0,0,7965,0,7965,40,8005,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",0,1150.4580000000001,0,0,1150.4580000000001,19.968,1170.4260000000002,PCE,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Tok,Tetlin,0,0,0,0,0,0,0,PCE,Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",0,929,0,0,929,38,967,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",0,119,0,0,119,60,179,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",0,10400,0,0,10400,133.76,10533.76,PCE,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,Whale Pass,0,267.04199999999997,0,0,267.04199999999997,10.78,277.82199999999995,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,0,1946.2080000000001,0,0,1946.2080000000001,25.928999999999998,1972.1370000000002,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,Ambler,0,1277.7739999999999,0,0,1277.7739999999999,31.067,1308.8409999999999,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,Anvik,0,405.42,0,0,405.42,18.716000000000001,424.13600000000002,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,0,1176.3320000000001,0,0,1176.3320000000001,52.53,1228.8620000000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,Chevak,0,1657.2670000000001,0,741.62900000000002,2398.8960000000002,98.623000000000005,2497.5190000000002,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,Eek,0,800.57799999999997,0,0,800.57799999999997,12.875,813.45299999999997,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Ekwok,Ekwok,0,261.51549999999997,0,0,261.51549999999997,22.472455,283.987955,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Elim,Elim,0,1159.4449999999999,0,0,1159.4449999999999,15.848000000000001,1175.2929999999999,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,Emmonak,0,3089.884,0,80.325000000000003,3170.2089999999998,49.854999999999997,3220.0639999999999,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Gambell,Gambell,0,1495.8810000000001,0,387.20400000000001,1883.085,110.211,1993.296,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,0,773.07299999999998,0,0,773.07299999999998,14.411,787.48399999999992,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,Grayling,0,569.04700000000003,0,0,569.04700000000003,15.981999999999999,585.029,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,0,594.37199999999996,0,0,594.37199999999996,31.288,625.66,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,0,2711.4679999999998,0,543.096,3254.5639999999999,68.617000000000004,3323.181,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,Huslia,0,1005.8,0,0,1005.8,25.233000000000001,1031.0329999999999,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",0,1472.2059999999999,0,0,1472.2059999999999,36.787999999999997,1508.9939999999999,PCE,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,Kaltag,0,727.03800000000001,0,0,727.03800000000001,18.457000000000001,745.495,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",0,2286.42,0,496.85,2783.27,77.314999999999998,2860.585,PCE,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,Kiana,0,1511.732,0,0,1511.732,43.881999999999998,1555.614,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,Kivalina,0,1212.085,0,0,1212.085,37.752000000000002,1249.837,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,Kotlik,0,1966.4570000000001,0,0,1966.4570000000001,44.615000000000002,2011.0720000000001,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,Koyuk,0,1315.9179999999999,0,0,1315.9179999999999,17.131,1333.049,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,0,0,0,0,0,0,0,PCE,"Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Marshall,Marshall,0,1644.1759999999999,0,0,1644.1759999999999,34.667999999999999,1678.8439999999998,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,0,708.83100000000002,0,238.70599999999999,947.53700000000003,81.438000000000002,1028.9750000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,Minto,0,652.66300000000001,0,0,652.66300000000001,19.199000000000002,671.86199999999997,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,0,2796.866,0,0,2796.866,42.1,2838.9659999999999,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,0,1466.3779999999999,0,0,1466.3779999999999,35.78,1502.1579999999999,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,Nightmute,0,0,0,0,0,0,0,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,Noatak,0,1800.64,0,0,1800.64,39.457999999999998,1840.0980000000002,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,Noorvik,0,2001.4739999999999,0,0,2001.4739999999999,32.654000000000003,2034.1279999999999,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,Nulato,0,1110.2139999999999,0,0,1110.2139999999999,19.234000000000002,1129.4479999999999,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,0,0,0,0,0,0,0,PCE,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,0,788.01900000000001,0,0,788.01900000000001,30.751000000000001,818.77,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,0,1750.671,0,0,1750.671,19.63,1770.3010000000002,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,Pitkas Point,0,0,0,0,0,0,0,PCE,"Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.",Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,0,1415.165,0,409.24,1824.405,42.753,1867.1579999999999,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,0,1123.7860000000001,0,0,1123.7860000000001,17.751999999999999,1141.538,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",0,3172.4340000000002,0,0,3172.4340000000002,47.848999999999997,3220.2830000000004,PCE,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,0,1734.962,0,0,1734.962,45.811999999999998,1780.7739999999999,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,Savoonga,0,1753.6369999999999,0,359.92399999999998,2113.5609999999997,33.889000000000003,2147.4499999999998,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,0,1735.5519999999999,0,0,1735.5519999999999,31.4,1766.952,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,Selawik,0,2745.7550000000001,0,107.907,2853.6620000000003,51.783999999999999,2905.4460000000004,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,Shageluk,0,369.01499999999999,0,0,369.01499999999999,12.250999999999999,381.26599999999996,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,0,903.83900000000006,0,8.2000000000000003E-2,903.92100000000005,22.062999999999999,925.98400000000004,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,0,1593.91,0,0,1593.91,46.843000000000004,1640.7530000000002,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",0,1527.3440000000001,0,0,1527.3440000000001,42.13,1569.4740000000002,PCE,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,Stebbins,0,1354.2349999999999,0,0,1354.2349999999999,33.317,1387.5519999999999,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,Teller,0,837.98900000000003,0,0,837.98900000000003,44.378999999999998,882.36800000000005,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,Togiak,0,3044.7559999999999,0,0,3044.7559999999999,34.622999999999998,3079.3789999999999,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",0,2592.1080000000002,0,559.97299999999996,3152.0810000000001,140.43100000000001,3292.5120000000002,PCE,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,Tununak,0,0,0,0,0,0,0,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,Wales,0,582.09500000000003,0,0,582.09500000000003,35.036999999999999,617.13200000000006,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,Karluk,0,252.608,0,0,252.608,3.2810000000000001,255.88900000000001,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,91339,0,0,0,91339,2837,94176,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,0,0,66088,0,66088,0,66088,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,1083003,0,0,0,1083003,18195,1101198,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,Aniak,0,2618.598,0,0,2618.598,34.101999999999997,2652.7,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Atka, City of",Atka,Atka,0,444.322,0,0,444.322,27.303999999999998,471.62599999999998,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,0,796.81399999999996,0,0,796.81399999999996,21.849,818.66300000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,209150,0,0,0,209150,15339,224489,EIA,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Fairbanks North Star,Doyon,YU
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,0,0,0,955.14800000000002,955.14800000000002,0,955.14800000000002,PCE,"Banner Wind, LLC. is an independent power proucer, who sells all its power to Nome Joint Utility Systems.",Bering Straits,Nome (CA),Bering Straits,AN
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,50211,0,0,0,50211,993,51204,EIA,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,Beaver,0,318.02999999999997,0,0,318.02999999999997,NA,NA,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",0,41800,0,0,41800,635.6,42435.6,PCE,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Buckland, City of",Buckland,Buckland,0,1592.204,0,0,1592.204,33.616,1625.82,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,0,304.16500000000002,0,0,304.16500000000002,27.405000000000001,331.57000000000005,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Chenega Ira Council,Chenega Bay,Chenega Bay,0,308.27600000000001,0,0,308.27600000000001,12.419,320.69499999999999,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,0,506.53100000000001,0,0,506.53100000000001,17.363,523.89400000000001,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,0,199.04300000000001,0,0,199.04300000000001,7.1349999999999998,206.178,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Chignik, City of",Chignik,Chignik,0,868.08199999999999,0,0,868.08199999999999,33.249000000000002,901.33100000000002,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chitina Electric Inc,Chitina,Chitina,0,519.23599999999999,0,0,519.23599999999999,40.692,559.928,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Chugach Electric Assn Inc,Beluga,NA,2281306,0,0,0,2281306,18554,2299860,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,Bernice Lake,NA,41995,0,0,0,41995,950,42945,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Chugach Electric Assn Inc,Cooper Lake,NA,0,0,28759,0,28759,1044,29803,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,International,NA,21789,0,0,0,21789,980,22769,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Circle Electric Utility,Circle,Circle,0,389.51,0,0,389.51,4.6100000000000003,394.12,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Copper Valley Elec Assn Inc,Glennallen,Glennallen,0,15113,0,0,15113,888,16001,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Copper Valley Elec Assn Inc,Solomon Gulch,"Glennallen, Valdez",0,0,46189,0,46189,449,46638,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez,Valdez,47,7291,0,0,7338,835,8173,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,17519,0,0,0,17519,304,17823,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Orca,"Cordova, Eyak",0,9068,0,0,9068,518.41800000000001,9586.4179999999997,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",0,0,16759.928,0,16759.928,NA,NA,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Diomede Joint Utilities,Diomede,Diomede,0,438.73590000000002,0,0,438.73590000000002,38.558110999999997,477.29401100000001,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
