1) Data before 2001 from the Alaska Energy Statistics Report 2003,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
1972,"2,g",533639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"1,a",650100,11600,1.784340870635287E-2,369800,0.56883556375942168,126300,0.19427780341485926,11600,1.784340870635287E-2,130800,0.20119981541301338
1974,"1,b",724200,12100,1.6708091687379176E-2,438700,0.60577188621927647,129600,0.17895608947804473,12300,1.6984258492129246E-2,131500,0.18157967412317039
1975,"1,b",763500,14700,1.9253438113948921E-2,451500,0.59135559921414538,136900,0.17930582842174198,20400,2.6719056974459726E-2,140000,0.183366077275704
1976,"1,c",971700,18200,1.8730060718328702E-2,556900,0.57311927549655239,139700,0.14376865287640217,23400,2.4081506637851188E-2,233500,0.24030050427086549
1977,"2,g",1038270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"2,g",1132590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"2,g",1257835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"1,c",1283054,27576,2.1492470309121828E-2,750087,0.58461062433849242,176732,0.13774322826630836,28887,2.251425115388752E-2,299772,0.23363942593218992
1981,"1,c",1373734,34769,2.5309848922717208E-2,836094,0.6086287447205937,175502,0.12775544610528675,29867,2.174147251214573E-2,297502,0.21656448773925666
1982,"1,c",1412504,38374,2.7167356694211133E-2,848355,0.60060360891013409,192802,0.13649660461138516,32196,2.2793563770438879E-2,300777,0.21293886601383075
1983,"1,c",1447752,41104,2.8391602981726154E-2,848255,0.58591181362553812,215747,0.14902207007830071,38494,2.6588808027894279E-2,304152,0.2100857052865408
1984,"1,c",1605485,43789,2.7274624178986413E-2,947908,0.59041847167678307,272392,0.16966337275029042,39884,2.4842337362230106E-2,301512,0.18780119403171006
1985,"1,c",1601714,48696,3.0402431395367711E-2,926507,0.57844721342262106,279995,0.17480961020506783,41215,2.5731809798753086E-2,305301,0.19060893517819036
1986,"1,c",1683641,47975,2.8494791941987632E-2,1009062,0.59933323077782019,289487,0.17194104919041531,42253,2.5096205188635819E-2,294864,0.17513472290114104
1987,"1,c",1655373,51337,3.1012345858002999E-2,983122,0.59389756870505928,288238,0.1741226901731513,45447,2.7454235389848692E-2,287229,0.17351315987393778
1988,"1,c",1603984,52784,3.2908058933256192E-2,939109,0.58548526668595202,291911,0.18199121686999373,48910,3.0492822871051081E-2,271270,0.16912263463974703
1989,"1,c",1610966,51967,3.2258284780684383E-2,939494,0.58318673392237952,317846,0.19730149487946982,52283,3.2454440379250708E-2,249376,0.15479904603821559
1990,"1,c",1604767,58285,3.631991435516807E-2,939487,0.58543514416734643,309318,0.19274947702688303,53327,3.3230369268560482E-2,244350,0.15226509518204201
1991,"1,c",1733158,64115,3.6993165077852108E-2,1054479,0.60841481272913378,314006,0.18117563430454697,55092,3.1787061537378591E-2,245466,0.1416293263510886
1992,"1,c",1739890,67227,3.8638649569800392E-2,1054499,0.60607222295662366,314011,0.18047750145124117,57832,3.3238882917885612E-2,246321,0.14157274310444914
1993,"1,c",1734468,62323,3.5932055246911447E-2,1046065,0.60310423714937378,316936,0.18272807569813915,62323,3.5932055246911447E-2,246821,0.14230357665866422
1994,"1,d",1771065,70107,3.9584656689618955E-2,1047945,0.59170329716865278,341471,0.19280545886232295,62912,3.5522129340255719E-2,248630,0.14038445793914961
1995,"1,d",1777575,72336,4.069364161849711E-2,1047575,0.58932815774299252,344093,0.19357439207909652,64132,3.6078365188529318E-2,249439,0.14032544337088448
1996,"1,e",2078865,82394,3.9634127276181957E-2,1274326,0.61299122357632652,351316,0.16899413862853047,60279,2.8996110858569461E-2,310550,0.1493843996603916
1997,"1,e",1960366,64829,3.3069845120758064E-2,1219884,0.62227359584893838,343139,0.17503823265655494,47986,2.4478082154046746E-2,284528,0.14514024421970184
1998,"1,e",2124813,86440,4.068122700680013E-2,1276954,0.60097241498428333,380294,0.17897763238459102,64772,3.0483623735359299E-2,316353,0.14888510188896623
1999,"1,e",2156743,96177,4.4593630302729628E-2,1292639,0.59934772015024507,381064,0.17668493649915637,66451,3.0810810560182644E-2,320412,0.1485629024876863
2000,"1,e",2194477,98247,4.4770120625552239E-2,1322809,0.60279009531656058,385189,0.17552656054267143,66680,3.038537200435457E-2,321552,0.14652785151086112
2001,"1,e",2258905,106952,4.7346833974868358E-2,1351937,0.59849218979992513,415746,0.18404758057554435,69141,3.0608192907625599E-2,315129,0.13950520274203651
2002,"2,f",1939400,65900,3.3979581313808398E-2,1241400,0.64009487470351656,350399.99999999994,0.18067443539238937,45500.000000000007,2.3460864184799427E-2,236200,0.12179024440548623
2003,"2,f",1946399.9999999998,70600,3.6272092067406496E-2,1241400,0.63779284833538852,353199.99999999988,0.18146321413892311,45800.000000000015,2.353062063296343E-2,235400,0.12094122482531855
2004,"2,f",1876000,73700,3.9285714285714285E-2,1172500,0.625,349299.99999999988,0.18619402985074621,45100,2.4040511727078891E-2,235400,0.12547974413646054
2005,"2,f",1871300,77800.000000000015,4.1575375407470749E-2,1162400,0.62117244696200502,351099.99999999994,0.18762357719232617,44400,2.3726820926628547E-2,235600,0.1259017795115695
2006,"2,f",1883400,71700,3.8069448869066581E-2,1161200,0.61654454709567807,364900,0.19374535414675587,45600,2.4211532335138577E-2,240000,0.12742911755336095
2007,"2,f",2002000,82600.000000000015,4.1258741258741266E-2,1210100.0000000002,0.60444555444555459,365900,0.18276723276723278,43900.000000000007,2.1928071928071932E-2,299500,0.14960039960039961
2008,"2,f",2028800.0000000002,94700.000000000015,4.6677839116719244E-2,1209500,0.59616522082018919,369500,0.18212736593059936,50400.000000000007,2.4842271293375396E-2,304700.00000000006,0.15018730283911674
2009,3,2178327,109881,5.044283984911356E-2,1222761,0.56133032368418512,409983,0.18821003458158486,87784,4.0298816477048673E-2,347918,0.15971798540806775
2010,3,2202400,111351,5.0558935706501995E-2,1230861,0.55887259353432617,410733,0.18649337086814385,98288,4.4627678895750089E-2,351167,0.15944742099527787
2011,3,2207517.5,104952,4.7542997960378572E-2,1230196,0.55727576338579421,414357,0.18770270224358357,101725,4.608117489442326E-2,356287.5,0.16139736151582038
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Figure 3.2    Installed Capacity by Region (kW), 2011",NA,NA,NA,NA,NA,NA,NA,NA
