"(1) The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine. 
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.

If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Provides power to Evansville via intertie. Data includes Evansville's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,Chistochina,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Receives power from Slana via intertie.,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,"Craig, Klawock",1,0,1,0,0,EIA-F923,PCE Eligible Active,"Part of the Alaska Power Company's grid on Prince of Wales Island. Provides to Hollis, Hydaburg, Klawock, Thorne Bay and Kaasan.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Viking,Craig,1,0,1,0,0,EIA-F923,PCE Eligible Active,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Black Bear Lake,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",1,0,0,1,0,EIA-F923,PCE Eligible Active,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,South Fork,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",1,0,0,1,0,EIA-F923,PCE Eligible Active,Receives power from Craig via intertie.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Goat Lake,"Haines, Covenant Life, Skagway",1,0,0,1,0,EIA-F923,PCE Eligible Active,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Haines,Haines,1,0,0.95605242868157281,4.3947571318427137E-2,0,"EIA-F923, AEA-Hydro Report",PCE Eligible Active,Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Skagway,Skagway,1,0,0.77272727272727271,0.22727272727272727,0,"EIA-F923, AEA-Hydro Report",PCE Eligible Active,Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,Healy Lake,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,Hollis,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Hydaburg,Hydaburg,1,0,1,0,0,EIA-F923,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",1,0,1,0,0,EIA-F923,PCE Eligible Active,Provides power to Northway Village via intertie. Data includes Northway Village's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,1,0,0,1,0,EIA-F923,PCE Eligible Active,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,ALASPCA,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",1,0,1,0,0,EIA-F923,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",1,0,1,0,0,EIA-F923,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",1,0,1,0,0,EIA-F923,PCE Eligible Active,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,Whale Pass,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,Ambler,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,Anvik,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,Chevak,1,0,0,0,1,AEA-Wind Report,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Chevak,Chevak,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,Eek,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Ekwok,Ekwok,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,EKWO,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Elim,Elim,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,Emmonak,1,0,0.82608695652173914,0,0.17391304347826086,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Gambell,Gambell,1,0,0.84210526315789469,0,0.15789473684210525,"EIA-F923, AEA-Wind Report",PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,Grayling,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,1,0,0.84210526315789469,0,0.15789473684210525,"EIA-F923, AEA Wind Report",PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,Huslia,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",1,0,1,0,0,EIA-F923,PCE Eligible Active,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,Kaltag,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",1,0,0.84210526315789469,0,0.15789473684210525,"EIA-F923, AEA Wind Report",PCE Eligible Active,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,Kiana,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,Kivalina,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,Kotlik,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,Koyuk,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Marshall,Marshall,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,1,0,0.77876106194690264,0,0.22123893805309736,"AEA-Village Assessment, AEA Wind Report",PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,Minto,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,Nightmute,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,Noatak,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,Noorvik,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,Nulato,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,1,0,0.7857142857142857,0,0.21428571428571427,"EIA-F923, AEA Wind Report",PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",1,0,1,0,0,EIA-F923,PCE Eligible Active,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,Savoonga,1,0,0.89473684210526316,0,0.10526315789473684,"EIA-F923, AEA Wind Report",PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,Selawik,1,0,0.86021505376344087,0,0.13978494623655913,"EIA-F923, AEA Wind Report",PCE Eligible Active,0,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,Shageluk,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",1,0,1,0,0,EIA-F923,PCE Eligible Active,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,Stebbins,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,Teller,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,Togiak,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",1,0,0.80952380952380953,0,0.19047619047619047,"EIA-F923, AEA Wind Report",PCE Eligible Active,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,Tununak,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,Wales,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Wales,Wales,1,0,0,0,1,AEA-Wind Report,PCE Eligible Active,0,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,Karluk,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ALUTPC,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,1,1,0,0,0,EIA-F923,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,AWWU Conduit,Anchorage,1,0,0,1,0,AEA-Hydro Report,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,1,0,0,1,0,EIA-F923,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,1,1,0,0,0,EIA-F923,PCE Ineligible,0,ML&P,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,Aniak,1,0,1,0,0,EIA-F923,PCE Eligible Active,0,ANIALPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Arctic Village Electric Company,Arctic Village,Arctic Village,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Inactive,0,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Atka, City of",Atka,Atka,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ATKA,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,ATMATU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,1,1,0,0,0,EIA-F923,PCE Ineligible,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.,AURORA,Railbelt,Fairbanks North Star,Doyon,YU
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,1,0,0,0,1,AEA-Wind Report,PCE Eligible Active,"Banner Wind, LLC. is an independent power proucer, who sells all its power to Nome Joint Utility Systems.",0,Bering Straits,Nome (CA),Bering Straits,AN
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,1,0.85221674876847286,0.14778325123152711,0,0,EIA-F923,PCE Ineligible,0,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,Beaver,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,BEAVJU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",1,0,1,0,0,EIA-F923,PCE Eligible Active,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.,BETHUC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Birch Creek Village Electric,Birch Creek,Birch Creek,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Inactive,0,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Buckland, City of",Buckland,Buckland,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,BUCK,Northwest Arctic,Northwest Arctic,NANA,AN
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHALVC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Chenega Ira Council,Chenega Bay,Chenega Bay,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHENVC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHIGLPU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHIGLEU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Chignik, City of",Chignik,Chignik,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHIG,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chitina Electric Inc,Chitina,Chitina,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CHITE,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Chugach Electric Assn Inc,Beluga,NA,1,1,0,0,0,EIA-F923,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,Bernice Lake,NA,1,1,0,0,0,EIA-F923,PCE Ineligible,0,CEA,Railbelt,Kenai Peninsula,Cook Inlet,SC
Chugach Electric Assn Inc,Cooper Lake,NA,1,0,0,1,0,EIA-F923,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Chugach Electric Assn Inc,International,NA,1,1,0,0,0,EIA-F923,PCE Ineligible,0,CEA,Railbelt,Anchorage,Cook Inlet,SC
Circle Electric Utility,Circle,Circle,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,CIRCU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
