"Sales, Revenue, and Customers by Customer Type by Certified Utilities in Alaska (MWh, $000, Accounts), 1963-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
1977,NA,418000,NA,5802.6403123474865,NA,NA,NA,2607.4031234748659,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,411600,NA,6112.6403123474865,NA,NA,NA,2753.4031234748659,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,413700,NA,6422.6403123474865,NA,NA,NA,2899.4031234748659,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,1,419800,2825885,6731.5030967127204,145643,144558,1277257,3042.5369223439734,65561,123894,1444117,3440.0119104335399,71556,18679,NA,NA,NA
1981,1,434300,2912588,6706.3965001151282,179361,151815,1290616,2971.7154040985492,76704,129795,1501272,3456.7626064932074,89867,19320,NA,NA,NA
1982,1,464300,3243776,6986.3794960155074,220130,164087,1460183,3144.9127719147104,100168,140769,1694845,3650.3230669825543,112052,20996,NA,NA,NA
1983,1,499100,3404361,6820.9997996393504,263916,179286,1516594,3038.6575836505708,121690,154639,1757507,3521.3524343818872,126179,21778,NA,NA,NA
1984,1,524000,3638000,6942.7480916030536,299075,198765,1588764,3031.9923664122139,134421,170470,1901883,3629.5477099236641,147733,24678,NA,NA,NA
1985,1,543900,3804018,6993.965802537231,312853.8,201037,1659526,3051.1601397315685,142454.29999999999,171889,2144492,3942.8056628056629,170399.5,29148,NA,NA,NA
1986,1,550700,4041658,7339.1283820591971,351620,490615,1610969,2925.311421826766,148852,190401,2169522,3939.5714545124388,172254,29822,261167,30514,4071
1987,1,541300,3932791,7265.4553851838164,356165,226616,1542405,2849.4457786809535,150996,192404,2198897,4062.2519859597264,179972,30496,191489,25197,3716
1988,1,535000,4019398,7512.8934579439256,366322,227020,1578933,2951.2766355140188,154076,191698,2207325,4125.8411214953267,180297,30855,233140,31949,4467
1989,1,538900,4144099,7689.922063462609,381926,228552,1636796,3037.2907775097419,159560,193042,2237907,4152.7314900723695,188288,31117,269396,34078,4393
1990,1,553171,4235451,7656.6757837992227,402043,229897,1646617,2976.6871365274028,166009,193443,2307933,4172.1872621666716,201350,31817,280901,34784,4637
1991,1,569054,4252707,7473.2925170546205,418382,233394,1613758,2835.8609200532815,170879,195941,2425317,4262.0155556414684,221318,32708,213632,26185,4745
1992,1,586722,4326067,7373.2824063184953,432219,237518,1640914,2796.7487157461287,177586,199250,2467751,4205.9970480056991,226936,33477,217402,27697,4791
1993,1,596906,4368172,7318.0232733462217,441048,241929,1628395,2728.0593594301281,180749,203218,2538044,4251.9994773046346,238638,34598,201734,21660,4113
1994,1,600622,4550653,7576.5672919073895,465995,245246,1689011,2812.1031197658426,191397,206279,2635784,4388.4240004528638,248265,34962,225858,26333,4005
1995,1,601581,4637935,7709.5769314522895,472891,250815,1711770,2845.452233365083,193033,210870,2702302,4492.0002460184078,249684,34968,223863,30174,4977
1996,"1,c",605212,4779562,7897.3351486751753,489489,256103,1766184,2918.2897893630661,200660,215712,2834072,4682.7756224265213,264912,36194,179306,23917,4197
1997,"1,c",609655,4840529,7939.7839761832511,487620,254991,1725834,2830.837112793301,197457,215076,2936355,4816.4207625624331,263860,35008,178340,26303,4907
1998,"1,c",617082,5094584,8255.9270891064716,508097,265185,1767992,2865.0843810060901,203284,222927,3124911,5064.012562349898,277217,36935,201681,27596,5323
1999,"1,c",622000,5292615,8509.0273311897108,517414,269831,1865743,2999.586816720257,208179,227247,3229036,5191.3762057877811,281217,37009,197836,28018,5575
2000,"1,c",628346,5309970,8450.7102774585983,535246,273530,1854968,2952.1442008065619,212474,230534,3273104,5209.0790742679992,296990,38928,181898,25782,4068
2001,1,632716,5419835.608,8565.9847514524681,639625.00299999991,272161.09999999998,1885745.4720000001,2980.3979542164257,221223.15,237110.1,3282876.2390000001,5188.546265623123,298096.52,37371.699999999997,191183.35800000001,27431.933000000001,5256.3
2002,"2,d",641729,5465489,8516.8178467857924,571871,284821,1932217,3010.9547799772176,232769,239822,3326091,5183.0149486777127,310014,39523,207181,29088,5476
2003,"2,d",649466,5563682,8566.5485183212058,584243,290842,1987009,3059.4503792346327,238065,246921,3576673,5507.0981390865727,346178,43921,NA,NA,NA
2004,"2,d",659653,5788484,8775.0438488114214,636008,296358,2061905,3125.7418673150883,256461,251198,3726579,5649.3019814963318,379547,45160,NA,NA,NA
2005,"2,d",667146,5912571,8862.484373735284,693022,302674,2061652,3090.2561058598867,274152,256717,3850919,5772.2282678753973,418870,45957,NA,NA,NA
2006,"2,d",674583,6182291,9164.6113228468548,794064,308575,2120254,3143.0587488863489,314378,261502,4062037,6021.5525739605064,479686,47073,NA,NA,NA
2007,"2,d",680169,6326610,9301.5265323765125,840471,312845,2114456,3108.7215089191068,320973,265449,4212154,6192.8050234574057,519498,47396,NA,NA,NA
2008,"2,d",686818,6324855,9208.924343858198,931674.39999999991,317020,2129297,3100.2347055551836,352363.50000000006,268638,4195558,6108.6896383030144,579310.9,48382,NA,NA,NA
2009,3,697828,6287118.5960000018,9009.5533512556121,964742.9837857997,321849.28116883122,2123746.4499999997,3043.3666318920991,366328.59942450002,271509.69336219336,4050063.6309999982,5803.8135916013662,550973.69085829996,46736.398629148607,113308.51499999998,47440.693502999973,3592.1816017316005
2010,3,714046,6192915,8672.9916559997528,924112.8235733998,324034.95075757575,2096447,2936.0111253336618,342382,273316,2722607,3812.9294191130543,367542,46150,1373861,216626.41525749996,4447.9242424242429
2011,3,723136,6265694.0550545007,8664.6136481305039,1022202.6014984425,325299.79477414,2138377.9916480002,2957.0896645278344,379620.94076715526,274894.01247000002,2751363.3368310002,3804.7660977063792,403782.37149754027,45975.620185,1375952.7265755001,238799.28923374691,4430.16211914
2012,3,731191,6356032,8692.710933258204,1061044,327822,2159549,2953.467698590382,392312,276885,2768704,3786.5673948393783,405973,46566,1427775,262754,4373
2013,3,735662,6209437,8440.6113133477065,1049386,330248,2102047,2857.3543284823736,386713,278795,2724924,3704.043432989607,419523,46889,1382474,243158,4577
1) Data before 2001 from the Alaska Energy Statistis Report 2003.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a) ""Other"" category for cost/kWh not listed before 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b) Total sales, revenue, and customers may exceed the sum of Residential and Commercial/Industrial. This is due to the addition of accounts which do not fit into these two classes. These figures do not include sale for resale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c)Data from 1996-2000 from EIA historical tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Utility data file,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3)Values for 2009 and fordward are based on data from EIA and PCE. Data not consistent with prior years due to changes in methodology.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*Industrial sales, revenue and rates are included under the commercial category unitl 2009; in 2010 they're included under the 'other' category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
