Sales Reporting ID,OPERATOR_AEA Operator ID,EIA operator Number,PCE Reporting ID,EIA Sales reporting frequency,PCE Sales reporting frequency,Reporting Name,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities included in reporting,CPCN
SR-52,AEA-042,9416,332060,A,M,Deering,Ipnatchiaq Electric Company,130-0000,Deering_grid,Deering,1412894,66.0755556,-162.7172222,Northwest Arctic,Deering,369
SR-60,AEA-031,5721,331960,A,M,Elfin Cove,Elfin Cove Utility Commission,112-0000,Elfin Cove_grid,Elfin Cove,1401787,58.1944444,-136.3433333,Southeast,Elfin Cove,701
SR-1,AEA-133,213,NA,M,N/A,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,222-0000,Juneau_grid,Juneau,1404263,58.301944399999996,-134.4197222,Southeast,"Juneau, Douglas, Greens Creek (Industrial)",1
SR-192,AEA-103,4329,NA,A,M,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",216-0000,CopperValley_grid,Valdez,1412465,61.1308333,-146.3483333,Copper River/Chugach,"In addition to Valdez, the CVEA service area includes 14 other communities.",2
SR-8,AEA-107,11824,NA,M,N/A,Matanuska Electric Assn Inc,Matanuska Electric Assn Inc,215-1985,Railbelt_grid,Wasilla,1411788,61.5813889,-149.4394444,Railbelt,"In addition to Wasilla, the MEA service area includes 28 other communities.",5
SR-184,AEA-098,40548,332850,A,M,Unalakleet,Unalakleet Valley Electric Cooperative,194-0000,Unalakleet_grid,Unalakleet,1411517,63.8730556,-160.7880556,Bering Straits,Unalakleet,8
SR-106,AEA-054,NA,332190,N/A,M,Lime Village,Lime Village Electric Utility,141-0000,Lime Village_grid,Lime Village,1405351,61.3563889,-155.4355556,Lower Yukon-Kuskokwim,Lime Village,13
SR-172,AEA-087,18480,332610,A,M,Tatitlek,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,Tatitlek,1415193,60.8647222,-146.6786111,Copper River/Chugach,Tatitlek,16
SR-89,AEA-043,9897,332070,A,M,King Cove,"King Cove, City of",131-0000,King Cove_grid,King Cove,1418792,55.0616667,-162.3102778,Aleutians,King Cove,17
SR-118,AEA-061,NA,332300,N/A,M,Napaskiak,Napaskiak Electric Utility,153-0000,Napaskiak_grid,Napaskiak,1406834,60.7080556,-161.7661111,Lower Yukon-Kuskokwim,Napaskiak,18
SR-77,AEA-038,9000,332030,A,M,Hughes,Hughes Power & Light,120-0000,Hughes_grid,Hughes,1403596,66.0488889,-154.2555556,Yukon-Koyukuk/Upper Tanana,Hughes,22
SR-150,AEA-080,NA,332530,N/A,M,Ruby,"Ruby, City of",178-0000,Ruby_grid,Ruby,1408878,64.7394444,-155.4869444,Yukon-Koyukuk/Upper Tanana,Ruby,24
SR-111,AEA-057,12119,332220,A,M,McGrath,Mcgrath Light & Power,143-0000,McGrath_grid,McGrath,1406131,62.9563889,-155.5958333,Yukon-Koyukuk/Upper Tanana,McGrath,43
SR-109,AEA-056,26317,332210,A,M,Manokotak,Manokotak Power Company,142-0000,Manokotak_grid,Manokotak,1405927,58.9813889,-159.0583333,Bristol Bay,Manokotak,44
SR-135,AEA-070,14234,332440,A,M,Ouzinkie,"Ouzinkie, City of",170-0000,Ouzinkie_grid,Ouzinkie,1407684,57.9236111,-152.5022222,Kodiak,Ouzinkie,45
SR-27,AEA-013,NA,331790,N/A,M,Beaver,Beaver Joint Utilities,097-0000,Beaver_grid,Beaver,1398776,66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,Beaver,61
SR-156,AEA-155,NA,332540,N/A,M,Sand Point,TDX Corporation,187-0000,Sand Point_grid,Sand Point,1419182,55.3397222,-160.4972222,Aleutians,Sand Point,91
SR-9,AEA-137,26754,NA,M,N/A,Paxson Inn and Lodge,Paxson Inn and Lodge,226_0000,Paxson_grid,Paxson,1866966,63.0897222,-145.6130556,Copper River/Chugach,Paxson,91
SR-190,AEA-101,20535,332890,A,M,White Mountain,"White Mountain, City of",198-0000,White Mountain_grid,White Mountain,1411989,64.6813889,-163.4055556,Bering Straits,White Mountain,92
SR-183,AEA-095,NA,332730,N/A,M,Twin Hills,Twin Hills Village Council,192-0000,Twin Hills_grid,Twin Hills,1416737,59.0791667,-160.275,Bristol Bay,Twin Hills,100
SR-145,AEA-085,NA,332590,N/A,M,Port Alsworth,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,Port Alsworth,1408208,60.2025,-154.3127778,Bristol Bay,Port Alsworth,106
SR-138,AEA-073,14832,332470,A,M,Perryville,Native Village of Perryville,155-0000,Perryville_grid,Perryville,1407902,55.9139846,-159.1632767,Bristol Bay,Perryville,108
SR-199,AEA-111,16955,NA,A,NA,"Seward, City of","Seward, City of",215-1985,Railbelt_grid,Seward,1414598,60.1041667,-149.4422222,Railbelt,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point.",108
SR-200,AEA-135,21015,NA,A,NA,"Wrangell, City of","Wrangell, City of",217-2009,SEAPA_grid,Wrangell,1415843,56.4708333,-132.3766667,Southeast,Wrangell,111
SR-2,AEA-109,599,NA,M,N/A,Anchorage Mun Light and Power,Anchorage Mun Light and Power,215-1985,Railbelt_grid,Anchorage,1398242,61.2180556,-149.9002778,Railbelt,Anchorage,121
SR-211,AEA-112,49803,NA,A,N/A,Alaska Electric & Energy Coop,Alaska Electric & Energy Coop,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,NA,121
SR-181,AEA-094,19267,332720,A,M,Tuntutuliak,Tuntutuliak Community,191-0000,Tuntutuliak_grid,Tuntutuliak,1411324,60.3430556,-162.6630556,Lower Yukon-Kuskokwim,Tuntutuliak,150
SR-6,AEA-131,10210,NA,M,N/A,Ketchikan Public Utilities,Ketchikan Public Utilities,217-2009,SEAPA_grid,Ketchikan,1423039,55.3422222,-131.6461111,Southeast,"Ketchikan, Saxman",160
SR-4,AEA-104,7353,NA,M,N/A,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,Fairbanks,1401958,64.8377778,-147.7163889,Railbelt,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",169
SR-198,AEA-110,14856,NA,A,NA,"Petersburg, City of","Petersburg, City of",217-2009,SEAPA_grid,Petersburg,1424228,56.8112667,-132.9512425,Southeast,Petersburg,212
SR-39,AEA-023,NA,331870,N/A,M,Chignik Lagoon,Chignik Lagoon Power Utility,102-0000,Chignik Lagoon_grid,Chignik Lagoon,1400274,56.3084393,-158.5302391,Bristol Bay,Chignik Lagoon,212
SR-23,AEA-010,NA,331770,N/A,M,Arctic Village,Arctic Village Electric Company,094-0000,Arctic Village_grid,Arctic Village,1398382,68.1269444,-145.5377778,Yukon-Koyukuk/Upper Tanana,Arctic Village,214
SR-34,AEA-019,NA,331840,N/A,M,Chalkyitsik,Chalkyitsik Village Council,100-0000,Chalkyitsik_grid,Chalkyitsik,1400128,66.6544444,-143.7222222,Yukon-Koyukuk/Upper Tanana,Chalkyitsik,227
SR-80,AEA-039,9192,332040,A,M,Igiugig,Igiugig Electric Company,121-0000,Igiugig_grid,Igiugig,1403706,59.3277778,-155.8947222,Bristol Bay,Igiugig,227
SR-124,AEA-065,NA,332330,N/A,M,Nikolai,"Nikolai, City of",158-0000,Nikolai_grid,Nikolai,1407022,63.0133333,-154.375,Yukon-Koyukuk/Upper Tanana,Nikolai,230
SR-130,AEA-067,26616,332380,A,M,Nuiqsut,North Slope Borough Power & Light,163-0000,Nuiqsut_grid,Nuiqsut,1416680,70.2175,-150.9763889,North Slope,Nuiqsut,240
SR-143,AEA-067,26616,332390,A,M,Point Hope,North Slope Borough Power & Light,164-0000,Point Hope_grid,Point Hope,1408110,68.3486111,-166.7347222,North Slope,Point Hope,240
SR-144,AEA-067,26616,332400,A,M,Point Lay,North Slope Borough Power & Light,165-0000,Point Lay_grid,Point Lay,1408115,69.743857,-163.008442,North Slope,Point Lay,240
SR-187,AEA-067,26616,332410,A,M,Wainwright,North Slope Borough Power & Light,166-0000,Wainwright_grid,Wainwright,1411728,70.6369444,-160.0383333,North Slope,Wainwright,240
SR-19,AEA-067,26616,332350,A,M,Anaktuvuk Pass,North Slope Borough Power & Light,160-0000,Anaktuvuk Pass_grid,Anaktuvuk Pass,1398235,68.1433333,-151.7358333,North Slope,Anaktuvuk Pass,240
SR-26,AEA-067,26616,332360,A,M,Atqasuk,North Slope Borough Power & Light,161-0000,Atqasuk_grid,Atqasuk,1406178,70.4691667,-157.3994444,North Slope,Atqasuk,240
SR-83,AEA-067,26616,332370,A,M,Kaktovik,North Slope Borough Power & Light,162-0000,Kaktovik_grid,Kaktovik,1404349,70.1319444,-143.6238889,North Slope,Kaktovik,240
SR-90,AEA-044,NA,332080,N/A,M,Kipnuk,Kipnuk Light Plant,132-0000,Kipnuk_grid,Kipnuk,1404781,59.9388889,-164.0413889,Lower Yukon-Kuskokwim,Kipnuk,242
SR-171,AEA-086,18474,332600,A,M,Tanana,Tanana Power Company Inc,184-0000,Tanana_grid,Tanana,1410629,65.1719444,-152.0788889,Yukon-Koyukuk/Upper Tanana,Tanana,256
SR-58,AEA-029,5553,331940,A,M,Egegik,Egegik Light & Power Co,111-0000,Egegik_grid,Egegik,1401686,58.2155556,-157.3758333,Bristol Bay,Egegik,264
SR-58,AEA-029,57351,NA,A,M,Egegik,Egegik Light & Power Co,111-0000,Egegik_grid,Egegik,1401686,58.2155556,-157.3758333,Bristol Bay,Egegik,264
SR-100,AEA-006,221,331420,A,M,Koyuk,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,Koyuk,1404981,64.9319444,-161.1569444,Bering Straits,Koyuk,274
SR-107,AEA-006,221,331430,A,M,Lower Kalskag,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,Lower Kalskag,1405763,61.5122222,-160.3580556,Lower Yukon-Kuskokwim,Lower Kalskag,274
SR-110,AEA-006,221,331440,A,M,Marshall,Alaska Village Electric Cooperative,061-0000,Marshall_grid,Marshall,1405984,61.8777778,-162.0811111,Lower Yukon-Kuskokwim,Marshall,274
SR-112,AEA-006,221,331450,A,M,Mekoryuk,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,Mekoryuk,1406211,60.3880556,-166.185,Lower Yukon-Kuskokwim,Mekoryuk,274
SR-114,AEA-006,221,331460,A,M,Minto,Alaska Village Electric Cooperative,063-0000,Minto_grid,Minto,1406419,65.150411,-149.349708,Yukon-Koyukuk/Upper Tanana,Minto,274
SR-115,AEA-006,221,331470,A,M,Mountain Village,Alaska Village Electric Cooperative,075-2020,Mountain Village_grid,Mountain Village,1406655,62.0855556,-163.7294444,Lower Yukon-Kuskokwim,Mountain Village,274
SR-121,AEA-006,221,331480,A,M,New Stuyahok,Alaska Village Electric Cooperative,065-2016,New_Stuyahok_grid,New Stuyahok,1406972,59.4527778,-157.3119444,Bristol Bay,New Stuyahok,274
SR-123,AEA-006,221,331490,A,M,Nightmute,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Nightmute,1407008,60.4794444,-164.7238889,Lower Yukon-Kuskokwim,Nightmute,274
SR-126,AEA-006,221,331500,A,M,Noatak,Alaska Village Electric Cooperative,066-0000,Noatak_grid,Noatak,1413638,67.5711111,-162.9652778,Northwest Arctic,Noatak,274
SR-128,AEA-006,221,331510,A,M,Noorvik,Alaska Village Electric Cooperative,067-0000,Noorvik_grid,Noorvik,1413646,66.8383333,-161.0327778,Northwest Arctic,Noorvik,274
SR-131,AEA-006,221,331520,A,M,Nulato,Alaska Village Electric Cooperative,068-0000,Nulato_grid,Nulato,1407321,64.7194444,-158.1030556,Yukon-Koyukuk/Upper Tanana,Nulato,274
SR-133,AEA-006,221,331530,A,M,Nunapitchuk,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,Nunapitchuk,1407339,60.8969444,-162.4594444,Lower Yukon-Kuskokwim,Nunapitchuk,274
SR-134,AEA-006,221,331540,A,M,Old Harbor,Alaska Village Electric Cooperative,069-0000,Old Harbor_grid,Old Harbor,1407483,57.2027778,-153.3038889,Kodiak,Old Harbor,274
SR-140,AEA-006,221,331550,A,M,Pilot Station,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,Pilot Station,1407993,61.9388889,-162.875,Lower Yukon-Kuskokwim,Pilot Station,274
SR-141,AEA-006,221,331560,A,M,Pitkas Point,Alaska Village Electric Cooperative,075-1985,Saint Mary's_grid,Pitkas Point,1408054,62.0327778,-163.2877778,Lower Yukon-Kuskokwim,Pitkas Point,274
SR-147,AEA-006,221,331570,A,M,Quinhagak,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,Quinhagak,1408462,59.7488889,-161.9158333,Lower Yukon-Kuskokwim,Quinhagak,274
SR-151,AEA-006,221,331580,A,M,Russian Mission,Alaska Village Electric Cooperative,072-0000,Russian Mission_grid,Russian Mission,1408925,61.785,-161.3202778,Lower Yukon-Kuskokwim,Russian Mission,274
SR-153,AEA-006,221,331660,A,M,"Saint Mary's, Andreafsky",Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,Saint Mary's,1398261,62.0530556,-163.1658333,Lower Yukon-Kuskokwim,"Saint Mary's, Andreafsky",274
SR-154,AEA-006,221,331670,A,M,Saint Michael,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Saint Michael,1408977,63.4780556,-162.0391667,Bering Straits,Saint Michael,274
SR-157,AEA-006,221,331590,A,M,Savoonga,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,Savoonga,1409106,63.6941667,-170.4788889,Bering Straits,Savoonga,274
SR-158,AEA-006,221,331600,A,M,Scammon Bay,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,Scammon Bay,1409133,61.8427778,-165.5816667,Lower Yukon-Kuskokwim,Scammon Bay,274
SR-159,AEA-006,221,331610,A,M,Selawik,Alaska Village Electric Cooperative,078-0000,Selawik_grid,Selawik,1413930,66.6038889,-160.0069444,Northwest Arctic,Selawik,274
SR-16,AEA-006,221,331240,A,M,Alakanuk,Alaska Village Electric Cooperative,045-2016,Emmonak_grid,Alakanuk,1398042,62.6888889,-164.6152778,Lower Yukon-Kuskokwim,Alakanuk,274
SR-160,AEA-006,221,331620,A,M,Shageluk,Alaska Village Electric Cooperative,079-0000,Shageluk_grid,Shageluk,1409306,62.6822222,-159.5619444,Yukon-Koyukuk/Upper Tanana,Shageluk,274
SR-161,AEA-006,221,331630,A,M,Shaktoolik,Alaska Village Electric Cooperative,080-0000,Shaktoolik_grid,Shaktoolik,1669434,64.3338889,-161.1538889,Bering Straits,Shaktoolik,274
SR-162,AEA-006,221,331640,A,M,Shishmaref,Alaska Village Electric Cooperative,081-0000,Shishmaref_grid,Shishmaref,1409434,66.2566667,-166.0719444,Bering Straits,Shishmaref,274
SR-163,AEA-006,221,331650,A,M,Shungnak,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,Shungnak,1413983,66.8880556,-157.1363889,Northwest Arctic,Shungnak,274
SR-167,AEA-006,221,331680,A,M,Stebbins,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Stebbins,1410158,63.5222222,-162.2880556,Bering Straits,Stebbins,274
SR-177,AEA-006,221,331690,A,M,Togiak,Alaska Village Electric Cooperative,086-0000,Togiak_grid,Togiak,1411039,59.0619444,-160.3763889,Bristol Bay,Togiak,274
SR-179,AEA-006,221,331700,A,M,Toksook Bay,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Toksook Bay,1411060,60.5337752,-165.1036627,Lower Yukon-Kuskokwim,Toksook Bay,274
SR-18,AEA-006,221,331250,A,M,Ambler,Alaska Village Electric Cooperative,035-0000,Ambler_grid,Ambler,1412509,67.0861111,-157.8513889,Northwest Arctic,Ambler,274
SR-182,AEA-006,221,331710,A,M,Tununak,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Tununak,1410644,60.5855556,-165.2558333,Lower Yukon-Kuskokwim,Tununak,274
SR-188,AEA-006,221,331730,A,M,Wales,Alaska Village Electric Cooperative,090-0000,Wales_grid,Wales,1404755,65.6091667,-168.0875,Bering Straits,Wales,274
SR-191,AEA-102,221,332900,A,M,Yakutat,Alaska Village Electric Cooperative,091-0000,Yakutat_grid,Yakutat,1415858,59.5469444,-139.7272222,Southeast,Yakutat,274
SR-22,AEA-006,221,331260,A,M,Anvik,Alaska Village Electric Cooperative,036-0000,Anvik_grid,Anvik,1398335,62.6561111,-160.2066667,Yukon-Koyukuk/Upper Tanana,Anvik,274
SR-31,AEA-006,221,331270,A,M,Brevig Mission,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,Brevig Mission,1420670,65.3347222,-166.4891667,Bering Straits,Brevig Mission,274
SR-37,AEA-006,221,331280,A,M,Chevak,Alaska Village Electric Cooperative,040-0000,Chevak_grid,Chevak,1400219,61.5277778,-165.5863889,Lower Yukon-Kuskokwim,Chevak,274
SR-57,AEA-006,221,331290,A,M,Eek,Alaska Village Electric Cooperative,041-0000,Eek_grid,Eek,1401666,60.2188889,-162.0244444,Lower Yukon-Kuskokwim,Eek,274
SR-61,AEA-006,221,331300,A,M,Elim,Alaska Village Electric Cooperative,043-0000,Elim_grid,Elim,1401788,64.6175,-162.2605556,Bering Straits,Elim,274
SR-62,AEA-006,221,331310,A,M,Emmonak,Alaska Village Electric Cooperative,045-2016,Emmonak_grid,Emmonak,1401837,62.7777778,-164.5230556,Lower Yukon-Kuskokwim,Emmonak,274
SR-66,AEA-006,221,331320,A,M,Gambell,Alaska Village Electric Cooperative,046-0000,Gambell_grid,Gambell,1402463,63.7797222,-171.7411111,Bering Straits,Gambell,274
SR-68,AEA-006,221,331330,A,M,Goodnews Bay,Alaska Village Electric Cooperative,047-0000,Goodnews Bay_grid,Goodnews Bay,1415910,59.1188889,-161.5875,Lower Yukon-Kuskokwim,Goodnews Bay,274
SR-69,AEA-006,221,331340,A,M,Grayling,Alaska Village Electric Cooperative,048-0000,Grayling_grid,Grayling,1402921,62.9036111,-160.0647222,Yukon-Koyukuk/Upper Tanana,Grayling,274
SR-74,AEA-006,221,331350,A,M,Holy Cross,Alaska Village Electric Cooperative,049-0000,Holy Cross_grid,Holy Cross,1403447,62.1994444,-159.7713889,Yukon-Koyukuk/Upper Tanana,Holy Cross,274
SR-76,AEA-006,221,331360,A,M,Hooper Bay,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,Hooper Bay,1403493,61.5311111,-166.0966667,Lower Yukon-Kuskokwim,Hooper Bay,274
SR-78,AEA-006,221,331370,A,M,Huslia,Alaska Village Electric Cooperative,051-0000,Huslia_grid,Huslia,1403644,65.6986111,-156.3997222,Yukon-Koyukuk/Upper Tanana,Huslia,274
SR-84,AEA-006,221,331720,A,M,Kalskag,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,Kalskag,1404378,61.5372222,-160.3052778,Lower Yukon-Kuskokwim,Kalskag,274
SR-85,AEA-006,221,331380,A,M,Kaltag,Alaska Village Electric Cooperative,054-0000,Kaltag_grid,Kaltag,1404379,64.3272222,-158.7219444,Yukon-Koyukuk/Upper Tanana,Kaltag,274
SR-87,AEA-006,221,331390,A,M,Kasigluk,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,Kasigluk,1404483,60.8955556,-162.5180556,Lower Yukon-Kuskokwim,Kasigluk,274
SR-88,AEA-006,221,331400,A,M,Kiana,Alaska Village Electric Cooperative,057-0000,Kiana_grid,Kiana,1413311,66.975,-160.4227778,Northwest Arctic,Kiana,274
SR-91,AEA-006,221,331410,A,M,Kivalina,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,Kivalina,1413348,67.7269444,-164.5333333,Northwest Arctic,Kivalina,274
SR-125,AEA-096,NA,332740,N/A,M,Nikolski,Umnak Power Company,193-0000,Nikolski_grid,Nikolski,1418954,52.9380556,-168.8677778,Aleutians,Nikolski,280
SR-24,AEA-008,653,331750,A,M,Atka,Andreanof Electric Corp,095-0000,Atka_grid,Atka,1418170,52.1961111,-174.2005556,Aleutians,Atka,281
SR-98,AEA-047,9898,332120,A,M,Kotlik,Kotlik Joint Utility,059-0000,Kotlik_grid,Kotlik,1404964,63.0341667,-163.5533333,Lower Yukon-Kuskokwim,Kotlik,285
SR-108,AEA-055,11591,332200,A,M,Manley Hot Springs,Manley Utilities,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,289
SR-148,AEA-079,NA,332520,N/A,M,Rampart,Rampart Village Council,177-0000,Rampart_grid,Rampart,1408519,65.505,-150.17,Yukon-Koyukuk/Upper Tanana,Rampart,289
SR-137,AEA-072,29297,332460,A,M,Pelican,Pelican Utility,172-0000,Pelican_grid,Pelican,1424201,57.9608333,-136.2275,Southeast,Pelican,291
SR-99,AEA-048,10451,332130,A,M,Kotzebue,Kotzebue Electric Association,135-0000,Kotzebue_grid,Kotzebue,1413378,66.8983333,-162.5966667,Northwest Arctic,Kotzebue,291
SR-3,AEA-132,3522,NA,M,N/A,Chugach Electric Assn Inc,Chugach Electric Assn Inc,215-1985,Railbelt_grid,Anchorage,1398242,61.2180556,-149.9002778,Railbelt,"In addition to Anchorage, the CEA service area includes eight other communities.",293
SR-25,AEA-012,878,331780,A,M,Atmautluak,Atmautluak Tribal Utilities,096-0000,Atmautluak_grid,Atmautluak,1699811,60.8669444,-162.2730556,Lower Yukon-Kuskokwim,Atmautluak,319
SR-38,AEA-021,3421,331860,A,M,Chignik,"Chignik, City of",104-0000,Chignik_grid,Chignik,1400269,56.2952778,-158.4022222,Bristol Bay,Chignik,330
SR-5,AEA-105,19558,NA,M,N/A,Homer Electric Assn Inc,Homer Electric Assn Inc,215-1985,Railbelt_grid,Homer,1413141,59.6425,-151.5483333,Railbelt,"In addition to Homer, the HEA service area includes 29 other communities",337
SR-146,AEA-077,NA,332500,N/A,M,Port Heiden,Port Heiden Utilities,175-0000,Port Heiden_grid,Port Heiden,1419072,56.9325614,-158.6249699,Bristol Bay,Port Heiden,339
SR-33,AEA-018,6111,331830,A,M,Central,Central Electric Inc.,116-0000,Central_grid,Central,1400106,65.5725,-144.8030556,Yukon-Koyukuk/Upper Tanana,Central,340
SR-105,AEA-053,NA,332180,N/A,M,Levelock,Levelock Electrical Coop,140-0000,Levelock_grid,Levelock,1405300,59.1141667,-156.8588889,Bristol Bay,Levelock,343
SR-40,AEA-022,NA,331880,N/A,M,Chignik Lake,Chignik Lake Electric Utility,103-0000,Chignik Lake_grid,Chignik Lake,1893911,56.2555556,-158.7625,Bristol Bay,Chignik Lake,344
SR-204,AEA-140,288,NA,A,N/A,Alaska Electric G & T Coop Inc,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,NA,345
SR-15,AEA-004,24486,331040,A,M,Akutan,"Akutan, City of",004-0000,Akutan_grid,Akutan,1418123,54.135555600000004,-165.7730556,Aleutians,Akutan,353
SR-46,AEA-026,NA,331910,N/A,M,Clark's Point,"Clark's Point, City of",107-0000,Clark's Point_grid,Clark's Point,1400426,58.8441667,-158.5508333,Bristol Bay,Clark's Point,357
SR-193,AEA-130,17271,NA,A,M,"Sitka, City & Borough of","Sitka, City & Borough of",219-0000,Sitka_grid,Sitka,1414736,57.0530556,-135.33,Southeast,Sitka,360
SR-139,AEA-074,NA,332480,N/A,M,Pilot Point,Pilot Point Electric Utility,173-0000,Pilot Point_grid,Pilot Point,1407992,57.5641667,-157.5791667,Bristol Bay,Pilot Point,363
SR-54,AEA-028,NA,331930,N/A,M,Diomede,Diomede Joint Utilities,110-0000,Diomede_grid,Diomede,1401213,65.7537652,-168.92315,Bering Straits,Diomede,364
SR-120,AEA-063,13477,332320,A,M,Nelson Lagoon,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,Nelson Lagoon,1418948,56.0006152,-161.206974,Aleutians,Nelson Lagoon,365
SR-45,AEA-025,NA,331900,N/A,M,Circle,Circle Electric Utility,106-0000,Circle_grid,Circle,1400404,65.8255556,-144.0605556,Yukon-Koyukuk/Upper Tanana,Circle,369
SR-194,AEA-134,1276,NA,A,M,Barrow Utilities & Electric Cooperative Inc.,Barrow Utilities & Electric Cooperative Inc.,221-0000,Utqiagvik_grid,Utqiagvik,1398635,71.2905556,-156.7886111,North Slope,Utqiagvik,373
SR-210,AEA-127,19511,NA,A,N/A,University of Alaska,University of Alaska,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,University of Alaska,375
SR-24,AEA-011,56256,331750,A,M,Atka,"Atka, City of",095-0000,Atka_grid,Atka,1418170,52.1961111,-174.2005556,Aleutians,Atka,376
SR-185,AEA-097,19454,332860,A,M,Unalaska,"Unalaska, City of",195-0000,Unalaska_grid,Unalaska,1419424,53.8736111,-166.5366667,Aleutians,Unalaska,383
SR-94,AEA-045,NA,332090,N/A,M,Kobuk,Kobuk Valley Electric Company,149-1980,Shungnak_grid,Kobuk,1413362,66.9072222,-156.8811111,Northwest Arctic,Kobuk,394
SR-103,AEA-051,10491,332160,A,M,Kwigillingok,Kwigillingok Power Company,138-0000,Kwigillingok_grid,Kwigillingok,1405122,59.864444399999996,-163.1341667,Lower Yukon-Kuskokwim,Kwigillingok,395
SR-122,AEA-099,NA,332870,N/A,M,Newtok,Ungusraq Power Company,196-0000,Newtok_grid,Newtok,1406985,60.9427778,-164.6294444,Lower Yukon-Kuskokwim,Newtok,399
