AEA Reporting ID,Community Name,Source,Number of monthly records,Communities reported,Notes
SR-141,Pitkas Point,PCE,12,Pitkas Point,Did not report any commercial sales.
SR-143,Point Hope,PCE,12,Point Hope,NA
SR-144,Point Lay,PCE,12,Point Lay,NA
SR-145,Port Alsworth,PCE,12,Port Alsworth,NA
SR-146,Port Heiden,PCE,12,Port Heiden,NA
SR-147,Quinhagak,PCE,12,Quinhagak,NA
SR-148,Rampart,PCE,9,Rampart,NA
SR-149,Red Devil,PCE,12,Red Devil,NA
SR-15,Akutan,PCE,12,Akutan,NA
SR-150,Ruby,PCE,11,Ruby,NA
SR-151,Russian Mission,PCE,12,Russian Mission,NA
SR-152,Saint George,PCE,12,Saint George,NA
SR-153,Saint Mary's,PCE,12,"Saint Mary's, Andreafsky",NA
SR-154,Saint Michael,PCE,12,Saint Michael,NA
SR-155,Saint Paul,PCE,12,Saint Paul,NA
SR-156,Sand Point,PCE,12,Sand Point,NA
SR-157,Savoonga,PCE,12,Savoonga,NA
SR-158,Scammon Bay,PCE,12,Scammon Bay,NA
SR-159,Selawik,PCE,12,Selawik,NA
SR-16,Alakanuk,PCE,12,Alakanuk,NA
SR-160,Shageluk,PCE,12,Shageluk,NA
SR-161,Shaktoolik,PCE,12,Shaktoolik,NA
SR-162,Shishmaref,PCE,12,Shishmaref,NA
SR-163,Shungnak,PCE,12,Shungnak,NA
SR-164,Skagway,PCE,12,Skagway,NA
SR-165,Slana,PCE,12,Slana,NA
SR-166,Sleetmute,PCE,12,Sleetmute,NA
SR-167,Stebbins,PCE,12,Stebbins,NA
SR-168,Stevens Village,PCE,10,Stevens Village,NA
SR-169,Stony River,PCE,12,Stony River,NA
SR-17,Allakaket,PCE,12,"Allakaket, Alatna",NA
SR-170,Takotna,PCE,100,Takotna,NA
SR-171,Tanana,PCE,12,Tanana,NA
SR-172,Tatitlek,PCE,12,Tatitlek,NA
SR-173,Teller,PCE,12,Teller,NA
SR-174,Tenakee Springs,PCE,12,Tenakee Springs,NA
SR-175,Tetlin,PCE,12,Tetlin,NA
SR-176,Thorne Bay,PCE,12,"Thorne Bay, Kasaan",NA
SR-177,Togiak,PCE,12,Togiak,NA
SR-178,Tok,PCE,12,"Tok, Tanacross",NA
SR-179,Toksook Bay,PCE,12,Toksook Bay,NA
SR-18,Ambler,PCE,12,Ambler,NA
SR-180,Tuluksak,PCE,11,Tuluksak,NA
SR-181,Tuntutuliak,PCE,12,Tuntutuliak,NA
SR-182,Tununak,PCE,12,Tununak,Did not report any commercial sales.
SR-183,Twin Hills,PCE,12,Twin Hills,NA
SR-184,Unalakleet,PCE,12,Unalakleet,NA
SR-185,Unalaska,PCE,9,Unalaska,NA
SR-186,Venetie,PCE,12,Venetie,NA
SR-187,Wainwright,PCE,12,Wainwright,NA
SR-188,Wales,PCE,12,Wales,NA
SR-189,Whale Pass,PCE,12,Whale Pass,NA
SR-19,Anaktuvuk Pass,PCE,12,Anaktuvuk Pass,NA
SR-190,White Mountain,PCE,12,White Mountain,NA
SR-191,Yakutat,PCE,12,Yakutat,NA
SR-192,Valdez,EIA861,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
SR-193,Sitka,EIA861,12,Sitka,NA
SR-194,Utqiagvik,EIA861,12,Utqiagvik,NA
SR-198,Petersburg,EIA861,12,Petersburg,NA
SR-2,Anchorage,EIA861,12,Anchorage,NA
SR-20,Angoon,PCE,12,Angoon,NA
SR-200,Wrangell,EIA861,12,Wrangell,NA
SR-21,Aniak,PCE,12,Aniak,NA
SR-22,Anvik,PCE,12,Anvik,Did not report any commercial sales.
SR-23,Arctic Village,PCE,10,Arctic Village,NA
SR-24,Atka,PCE,12,Atka,NA
SR-25,Atmautluak,PCE,12,Atmautluak,NA
SR-26,Atqasuk,PCE,12,Atqasuk,NA
SR-27,Beaver,PCE,11,Beaver,NA
SR-28,Bethel,PCE,12,"Bethel, Oscarville",NA
SR-29,Bettles,PCE,12,"Bettles, Evansville",NA
SR-3,Anchorage,EIA861,12,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
SR-30,Birch Creek,PCE,12,Birch Creek,NA
SR-31,Brevig Mission,PCE,12,Brevig Mission,NA
SR-32,Buckland,PCE,8,Buckland,NA
SR-33,Central,PCE,12,Central,NA
SR-34,Chalkyitsik,PCE,11,Chalkyitsik,NA
SR-35,Chefornak,PCE,12,Chefornak,NA
SR-36,Chenega Bay,PCE,12,Chenega Bay,NA
SR-37,Chevak,PCE,12,Chevak,NA
SR-38,Chignik,PCE,12,Chignik,NA
SR-39,Chignik Lagoon,PCE,6,Chignik Lagoon,NA
SR-4,Fairbanks,EIA861,12,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
SR-40,Chignik Lake,PCE,12,Chignik Lake,NA
SR-41,Chilkat Valley,PCE,12,Chilkat Valley,NA
SR-42,Chistochina,PCE,12,Chistochina,NA
SR-43,Chitina,PCE,12,Chitina,NA
SR-44,Chuathbaluk,PCE,4,Chuathbaluk,NA
SR-45,Circle,PCE,12,Circle,NA
SR-46,Clark's Point,PCE,3,Clark's Point,NA
SR-47,Coffman Cove,PCE,12,Coffman Cove,NA
SR-48,Cold Bay,PCE,12,Cold Bay,NA
SR-49,Cordova,PCE,12,"Cordova, Eyak",NA
SR-5,Homer,EIA861,12,"In addition to Homer, the HEA service area includes 29 other communities",NA
SR-50,Craig,PCE,12,Craig,NA
SR-51,Crooked Creek,PCE,3,Crooked Creek,NA
SR-52,Deering,PCE,11,Deering,NA
SR-53,Dillingham,PCE,12,"Dillingham, Aleknagik",NA
SR-54,Diomede,PCE,8,Diomede,NA
SR-55,Dot Lake,PCE,12,"Dot Lake, Dot Lake Village",NA
SR-56,Eagle,PCE,12,"Eagle, Eagle Village",NA
SR-57,Eek,PCE,12,Eek,NA
SR-58,Egegik,PCE,12,Egegik,NA
SR-59,Ekwok,PCE,12,Ekwok,Did not report any commercial sales.
SR-6,Ketchikan,EIA861,12,"Ketchikan, Saxman",NA
SR-60,Elfin Cove,PCE,12,Elfin Cove,NA
SR-61,Elim,PCE,12,Elim,NA
SR-62,Emmonak,PCE,12,Emmonak,NA
SR-63,False Pass,PCE,6,False Pass,NA
SR-64,Fort Yukon,PCE,12,Fort Yukon,NA
SR-65,Galena,PCE,12,Galena,NA
SR-66,Gambell,PCE,12,Gambell,NA
SR-67,Golovin,PCE,12,Golovin,NA
SR-68,Goodnews Bay,PCE,12,Goodnews Bay,NA
SR-69,Grayling,PCE,12,Grayling,NA
SR-7,Kodiak,EIA861,12,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
SR-70,Gustavus,PCE,12,Gustavus,NA
SR-71,Haines,PCE,12,"Haines, Covenant Life",NA
SR-72,Healy Lake,PCE,12,Healy Lake,NA
SR-73,Hollis,PCE,12,Hollis,NA
SR-74,Holy Cross,PCE,12,Holy Cross,Did not report any commercial sales.
SR-75,Hoonah,PCE,12,Hoonah,NA
SR-76,Hooper Bay,PCE,12,Hooper Bay,NA
SR-77,Hughes,PCE,12,Hughes,NA
SR-78,Huslia,PCE,12,Huslia,Did not report any commercial sales.
SR-79,Hydaburg,PCE,12,Hydaburg,NA
SR-8,Wasilla,EIA861,12,"In addition to Wasilla, the MEA service area includes 28 other communities.",NA
SR-80,Igiugig,PCE,12,Igiugig,NA
SR-81,Iliamna,PCE,12,"Iliamna, Newhalen, Nondalton",NA
SR-82,Kake,PCE,12,Kake,NA
SR-83,Kaktovik,PCE,12,Kaktovik,NA
SR-84,Kalskag,PCE,12,Kalskag,NA
SR-85,Kaltag,PCE,12,Kaltag,NA
SR-86,Karluk,PCE,12,Karluk,NA
SR-87,Kasigluk,PCE,12,Kasigluk,NA
SR-88,Kiana,PCE,12,Kiana,NA
SR-90,Kipnuk,PCE,12,Kipnuk,NA
SR-91,Kivalina,PCE,12,Kivalina,NA
SR-92,Klawock,PCE,12,Klawock,NA
SR-93,Klukwan,PCE,12,Klukwan,NA
SR-94,Kobuk,PCE,12,Kobuk,NA
SR-95,Kokhanok,PCE,12,Kokhanok,NA
SR-96,Koliganek,PCE,12,Koliganek,NA
SR-97,Kongiganak,PCE,12,Kongiganak,NA
SR-98,Kotlik,PCE,12,Kotlik,NA
SR-99,Kotzebue,PCE,12,Kotzebue,NA
SR-89,King Cove,NA,12,King Cove,Annual FY 18/FY19 PCE report. Did not submit monthly PCE reports to AEA.
SR-138,Perryville,NA,9,Perryville,Annual FY19 PCE report. Did not submit monthly PCE reports to AEA.
SR-137,Pelican,NA,6,Pelican,Annual FY19 PCE report. Did not submit monthly PCE reports to AEA.
