"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
SR-192,0,10,"Copper Valley Elec Assn, Inc",Valdez,CopperValley_grid,Copper River/Chugach,0.26354844595827503,0,0.26354844595827503,0,No,EIA861,12,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
SR-172,332610,586,Tatitlek Village Ira Council,Tatitlek,Tatitlek_grid,Copper River/Chugach,0.92,0.55396666666666672,0.36603333333333338,0.60213768115942035,Yes,PCE,12,Tatitlek,NA
SR-43,331890,368,Chitina Electric Inc,Chitina,Chitina_grid,Copper River/Chugach,0.61666666666666681,0.33350833333333346,0.28315833333333335,0.54082432432432437,Yes,PCE,12,Chitina,NA
SR-49,331920,160,Cordova Electric Cooperative,Cordova,Cordova_grid,Copper River/Chugach,0.36945833333333339,7.7308333333333423E-2,0.29214999999999997,0.20924777264012653,Yes,PCE,12,"Cordova, Eyak",NA
SR-113,331160,2,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,0.56738333333333335,0.25863333333333366,0.30874999999999969,0.45583526716211908,Yes,PCE,12,Mentasta Lake,NA
SR-165,331195,2,Alaska Power & Telephone Company,Slana,Slana_grid,Copper River/Chugach,0.56746666666666667,0.25863333333333366,0.30883333333333302,0.45576832706766973,Yes,PCE,12,Slana,NA
SR-42,331070,2,Alaska Power & Telephone Company,Chistochina,Slana_grid,Copper River/Chugach,0.56740000000000002,0.25863333333333377,0.30876666666666625,0.45582187757020404,Yes,PCE,12,Chistochina,NA
SR-36,331850,686,Chenega Ira Council,Chenega Bay,Chenega_grid,Copper River/Chugach,0.66500000000000004,0.35371666666666662,0.31128333333333341,0.53190476190476177,Yes,PCE,12,Chenega Bay,NA
SR-135,332440,357,"Ouzinkie, City of",Ouzinkie,Ouzinkie_grid,Kodiak,0.39229999999999993,0.14042500000000013,0.25187499999999979,0.35795309711955176,Yes,PCE,12,Ouzinkie,NA
SR-134,331540,169,Alaska Village Electric Cooperative,Old Harbor,Old Harbor_grid,Kodiak,0.4817249999999999,0.26161666666666716,0.22010833333333277,0.54308301762762412,Yes,PCE,8,Old Harbor,NA
SR-104,332170,353,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,0.41000000000000009,1.7500000000005289E-3,0.40824999999999956,4.2682926829281185E-3,Yes,PCE,12,Larsen Bay,NA
SR-7,0,16,Kodiak Electric Assn Inc,Kodiak,Kodiak_grid,Kodiak,0.17205160721177704,0,0.17205160721177704,0,No,EIA861,12,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
SR-86,331740,683,Alutiiq Power Company,Karluk,Karluk_grid,Kodiak,0.70000000000000007,0.40406666666666774,0.29593333333333233,0.57723809523809677,Yes,PCE,12,Karluk,NA
SR-12,331010,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,0.79999999999999993,0.36727499999999996,0.43272499999999997,0.45909374999999997,Yes,PCE,12,Akhiok,NA
SR-106,332190,570,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,1.7723166666666665,0.78818333333333401,0.98413333333333253,0.44471924693668402,Yes,PCE,12,Lime Village,NA
SR-118,332300,625,Napaskiak Electric Utility,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,0.70000000000000007,0.32125000000000098,0.37874999999999909,0.4589285714285728,Yes,PCE,12,Napaskiak,NA
SR-181,332720,344,Tuntutuliak Community,Tuntutuliak,Tuntutuliak_grid,Lower Yukon-Kuskokwim,0.65000000000000013,0.23303333333333343,0.41696666666666671,0.35851282051282057,Yes,PCE,12,Tuntutuliak,NA
SR-90,332080,446,Kipnuk Light Plant,Kipnuk,Kipnuk_grid,Lower Yukon-Kuskokwim,0.44587500000000002,0.2259333333333339,0.21994166666666612,0.50671899822446631,Yes,PCE,12,Kipnuk,NA
SR-107,331430,169,Alaska Village Electric Cooperative,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,0.51111666666666655,0.28951666666666731,0.22159999999999927,0.5664394952228794,Yes,PCE,12,Lower Kalskag,NA
SR-110,331440,169,Alaska Village Electric Cooperative,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,0.46554999999999996,0.24624166666666694,0.21930833333333302,0.5289263595030973,Yes,PCE,12,Marshall,NA
SR-112,331450,169,Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk_grid,Lower Yukon-Kuskokwim,0.55686666666666673,0.3092166666666667,0.24765000000000004,0.55527954028492754,Yes,PCE,12,Mekoryuk,NA
SR-115,331470,169,Alaska Village Electric Cooperative,Mountain Village,Mountain Village_grid,Lower Yukon-Kuskokwim,0.49061666666666653,0.27005833333333384,0.22055833333333266,0.55044671671705792,Yes,PCE,12,Mountain Village,NA
SR-123,331490,169,Alaska Village Electric Cooperative,Nightmute,Toksook Bay_grid,Lower Yukon-Kuskokwim,0.50931666666666664,0.26595833333333418,0.24335833333333243,0.52218658987532485,Yes,PCE,12,Nightmute,NA
SR-133,331530,169,Alaska Village Electric Cooperative,Nunapitchuk,Kasigluk_grid,Lower Yukon-Kuskokwim,0.48769166666666663,0.25438333333333352,0.23330833333333312,0.52160688959896151,Yes,PCE,6,Nunapitchuk,NA
SR-140,331550,169,Alaska Village Electric Cooperative,Pilot Station,Pilot Station_grid,Lower Yukon-Kuskokwim,0.5048999999999999,0.28364166666666746,0.22125833333333247,0.56177790981712716,Yes,PCE,3,Pilot Station,NA
SR-141,331560,169,Alaska Village Electric Cooperative,Pitkas Point,Saint Mary's_grid,Lower Yukon-Kuskokwim,0.50055833333333333,0.27946666666666686,0.22109166666666644,0.55830988729252373,Yes,PCE,3,Pitkas Point,NA
SR-147,331570,169,Alaska Village Electric Cooperative,Quinhagak,Quinhagak_grid,Lower Yukon-Kuskokwim,0.48620833333333335,0.24288333333333334,0.24332500000000001,0.49954580512468932,Yes,PCE,3,Quinhagak,NA
SR-151,331580,169,Alaska Village Electric Cooperative,Russian Mission,Russian Mission_grid,Lower Yukon-Kuskokwim,0.49240833333333334,0.27175833333333421,0.22064999999999915,0.55189629203405211,Yes,PCE,3,Russian Mission,NA
SR-153,331660,169,Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's_grid,Lower Yukon-Kuskokwim,0.50055833333333333,0.27946666666666686,0.22109166666666644,0.55830988729252373,Yes,PCE,3,"Saint Mary's, Andreafsky",NA
SR-158,331600,169,Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay_grid,Lower Yukon-Kuskokwim,0.51100000000000001,0.28939999999999999,0.22160000000000002,0.56634050880626219,Yes,PCE,12,Scammon Bay,NA
SR-16,331240,169,Alaska Village Electric Cooperative,Alakanuk,Emmonak_grid,Lower Yukon-Kuskokwim,0.46864999999999996,0.24034166666666718,0.22830833333333278,0.51283829439169359,Yes,PCE,12,Alakanuk,NA
SR-179,331700,169,Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay_grid,Lower Yukon-Kuskokwim,0.50931666666666664,0.26595833333333418,0.24335833333333243,0.52218658987532485,Yes,PCE,12,Toksook Bay,NA
SR-182,331710,169,Alaska Village Electric Cooperative,Tununak,Toksook Bay_grid,Lower Yukon-Kuskokwim,0.50931666666666664,0.26595833333333418,0.24335833333333243,0.52218658987532485,Yes,PCE,12,Tununak,NA
SR-37,331280,169,Alaska Village Electric Cooperative,Chevak,Chevak_grid,Lower Yukon-Kuskokwim,0.52631666666666677,0.26552500000000068,0.26079166666666609,0.50449665917223585,Yes,PCE,12,Chevak,NA
SR-57,331290,169,Alaska Village Electric Cooperative,Eek,Eek_grid,Lower Yukon-Kuskokwim,0.50351666666666672,0.28229166666666727,0.22122499999999942,0.56064016417861162,Yes,PCE,12,Eek,NA
SR-62,331310,169,Alaska Village Electric Cooperative,Emmonak,Emmonak_grid,Lower Yukon-Kuskokwim,0.46864999999999996,0.24034166666666718,0.22830833333333278,0.51283829439169359,Yes,PCE,12,Emmonak,NA
SR-68,331330,169,Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay_grid,Lower Yukon-Kuskokwim,0.51129999999999998,0.28969999999999996,0.22160000000000002,0.56659495403872473,Yes,PCE,12,Goodnews Bay,NA
SR-76,331360,169,Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay_grid,Lower Yukon-Kuskokwim,0.49122500000000008,0.25457500000000011,0.23664999999999994,0.5182452033182352,Yes,PCE,12,Hooper Bay,NA
SR-84,331720,169,Alaska Village Electric Cooperative,Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,0.51111666666666655,0.28951666666666731,0.22159999999999927,0.5664394952228794,Yes,PCE,12,Kalskag,NA
SR-87,331390,169,Alaska Village Electric Cooperative,Kasigluk,Kasigluk_grid,Lower Yukon-Kuskokwim,0.48769166666666663,0.25438333333333352,0.23330833333333312,0.52160688959896151,Yes,PCE,12,Kasigluk,NA
SR-98,332120,285,Kotlik Joint Utility,Kotlik,Kotlik_grid,Lower Yukon-Kuskokwim,0.4770166666666667,0.25715000000000043,0.21986666666666629,0.53907969672618095,Yes,PCE,6,Kotlik,NA
SR-25,331780,337,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,0.70000000000000007,0.24609166666666732,0.45390833333333275,0.35155952380952471,Yes,PCE,12,Atmautluak,NA
SR-103,332160,376,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,0.67,0.30295,0.36705000000000004,0.45216417910447759,Yes,PCE,6,Kwigillingok,NA
SR-122,332870,375,Ungusraq Power Company,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,0.79999999999999993,0.42811666666666653,0.3718833333333334,0.53514583333333321,Yes,PCE,6,Newtok,NA
SR-97,332510,395,Puvurnaq Power Company,Kongiganak,Kongiganak_grid,Lower Yukon-Kuskokwim,0.65000000000000013,0.21590833333333342,0.43409166666666671,0.33216666666666672,Yes,PCE,12,Kongiganak,NA
SR-21,331760,5,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,0.58176666666666665,0.30256666666666682,0.27919999999999984,0.52008250730533456,Yes,PCE,12,Aniak,NA
SR-149,332250,343,Middle Kuskokwim Electric,Red Devil,Red Devil_grid,Lower Yukon-Kuskokwim,1.1147166666666668,0.70790000000000042,0.40681666666666644,0.63504926513463844,Yes,PCE,6,Red Devil,NA
SR-166,332260,343,Middle Kuskokwim Electric,Sleetmute,Sleetmute_grid,Lower Yukon-Kuskokwim,1.1142083333333337,0.70790000000000064,0.4063083333333331,0.63533899255824422,Yes,PCE,12,Sleetmute,NA
SR-169,332270,343,Middle Kuskokwim Electric,Stony River,Stony River_grid,Lower Yukon-Kuskokwim,1.1142250000000002,0.70790000000000042,0.40632499999999977,0.63532948910677844,Yes,PCE,12,Stony River,NA
SR-44,332230,343,Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk_grid,Lower Yukon-Kuskokwim,1.1130583333333335,0.70790000000000042,0.40515833333333301,0.63599541802990289,Yes,PCE,12,Chuathbaluk,NA
SR-51,332240,343,Middle Kuskokwim Electric,Crooked Creek,Crooked Creek_grid,Lower Yukon-Kuskokwim,1.1217250000000003,0.70790000000000064,0.41382499999999961,0.63108159308208378,Yes,PCE,12,Crooked Creek,NA
SR-28,331800,43,Bethel Utilities Corp,Bethel,Bethel_grid,Lower Yukon-Kuskokwim,0.28173333333333328,5.7550000000000018E-2,0.22418333333333326,0.20427117841930914,Yes,PCE,12,"Bethel, Oscarville",NA
SR-132,332420,408,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,0.39259166666666667,0.19372500000000004,0.19886666666666664,0.4934516354991404,Yes,PCE,12,Nunam Iqua,NA
SR-117,332290,319,Napakiak Ircinraq,Napakiak,Bethel_grid,Lower Yukon-Kuskokwim,0.76663846153846171,0.35068461538461609,0.41595384615384562,0.45743154430430633,Yes,PCE,12,Napakiak,NA
SR-14,331030,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,0.56333333333333346,0.212175,0.35115833333333346,0.37664201183431945,Yes,PCE,12,Akiak,NA
SR-35,332310,365,Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak_grid,Lower Yukon-Kuskokwim,0.49000000000000016,0.21766666666666729,0.27233333333333287,0.44421768707483106,Yes,PCE,12,Chefornak,NA
SR-102,332150,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,0.5234333333333332,0.20979999999999993,0.31363333333333326,0.40081513086671333,Yes,PCE,12,Kwethluk,NA
SR-13,331020,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,0.59999999999999987,0.2604250000000003,0.33957499999999957,0.43404166666666727,Yes,PCE,12,Akiachak,NA
SR-180,332710,664,Tuluksak Traditional,Tuluksak,Tuluksak_grid,Lower Yukon-Kuskokwim,0.76750000000000007,0.30160000000000015,0.46589999999999993,0.39296416938110762,Yes,PCE,12,Tuluksak,NA
SR-130,332380,254,North Slope Borough Power & Light,Nuiqsut,Nuiqsut_grid,North Slope,8.5833333333333331E-2,2.0166666666666666E-3,8.3816666666666664E-2,2.349514563106796E-2,Yes,PCE,12,Nuiqsut,NA
SR-143,332390,254,North Slope Borough Power & Light,Point Hope,Point Hope_grid,North Slope,0.21344166666666664,2.0166666666666666E-3,0.21142499999999997,9.4483270214344283E-3,Yes,PCE,12,Point Hope,NA
SR-144,332400,254,North Slope Borough Power & Light,Point Lay,Point Lay_grid,North Slope,0.19041818181818179,9.0909090908752876E-6,0.19040909090909092,4.77418122790166E-5,Yes,PCE,12,Point Lay,NA
SR-187,332410,254,North Slope Borough Power & Light,Wainwright,Wainwright_grid,North Slope,0.17740833333333331,2.0166666666666666E-3,0.17539166666666664,1.1367372821644982E-2,Yes,PCE,12,Wainwright,NA
SR-19,332350,254,North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass_grid,North Slope,0.17883333333333332,1.5774999999999983E-2,0.16305833333333333,8.821062441752088E-2,Yes,PCE,12,Anaktuvuk Pass,NA
SR-26,332360,254,North Slope Borough Power & Light,Atqasuk,Atqasuk_grid,North Slope,0.21014999999999998,4.0333333333332777E-3,0.2061166666666667,1.919264017765062E-2,Yes,PCE,12,Atqasuk,NA
SR-83,332370,254,North Slope Borough Power & Light,Kaktovik,Kaktovik_grid,North Slope,0.21089999999999998,2.0166666666666666E-3,0.20888333333333331,9.5621937727200894E-3,Yes,PCE,12,Kaktovik,NA
SR-194,0,214,Barrow Utilities & Electric Cooperative Inc.,Utqiagvik,Utqiagvik_grid,North Slope,0.13217112870230366,0,0.13217112870230366,0,No,EIA861,12,Utqiagvik,NA
SR-10,0,227,TDX North Slope Generating Co,Deadhorse,Deadhorse_grid,North Slope,0,0,0,0,No,EIA861,12,Deadhorse,NA
SR-126,331500,169,Alaska Village Electric Cooperative,Noatak,Noatak_grid,Northwest Arctic,0.77378333333333327,0.5390916666666673,0.23469166666666594,0.69669588816852346,Yes,PCE,12,Noatak,NA
SR-128,331510,169,Alaska Village Electric Cooperative,Noorvik,Noorvik_grid,Northwest Arctic,0.51094166666666674,0.28936666666666677,0.22157499999999997,0.56633992791088361,Yes,PCE,12,Noorvik,NA
SR-159,331610,169,Alaska Village Electric Cooperative,Selawik,Selawik_grid,Northwest Arctic,0.51964166666666667,0.29364999999999997,0.22599166666666667,0.56510095097583268,Yes,PCE,12,Selawik,NA
SR-163,331650,169,Alaska Village Electric Cooperative,Shungnak,Shungnak_grid,Northwest Arctic,0.57030833333333331,0.3457750000000005,0.22453333333333281,0.60629484051025118,Yes,PCE,12,Shungnak,NA
SR-18,331250,169,Alaska Village Electric Cooperative,Ambler,Ambler_grid,Northwest Arctic,0.52850833333333336,0.30605833333333421,0.22244999999999918,0.57909840589079487,Yes,PCE,12,Ambler,NA
SR-88,331400,169,Alaska Village Electric Cooperative,Kiana,Kiana_grid,Northwest Arctic,0.5121,0.2904416666666666,0.22165833333333337,0.56715810714053227,Yes,PCE,12,Kiana,NA
SR-91,331410,169,Alaska Village Electric Cooperative,Kivalina,Kivalina_grid,Northwest Arctic,0.52508333333333335,0.30281666666666684,0.22226666666666653,0.57670211077606759,Yes,PCE,12,Kivalina,NA
SR-99,332130,17,Kotzebue Electric Association,Kotzebue,Kotzebue_grid,Northwest Arctic,0.37909999999999999,0.18331666666666693,0.19578333333333306,0.4835575485799708,Yes,PCE,12,Kotzebue,NA
SR-52,332060,369,Ipnatchiaq Electric Company,Deering,Deering_grid,Northwest Arctic,0.69469999999999976,0.257566666666667,0.43713333333333276,0.3707595604817433,Yes,PCE,12,Deering,NA
SR-94,332090,407,Kobuk Valley Electric Company,Kobuk,Shungnak_grid,Northwest Arctic,0.57030833333333331,0.34660833333333385,0.22369999999999943,0.60775603840028147,Yes,PCE,12,Kobuk,NA
SR-32,331820,432,"Buckland, City of",Buckland,Buckland_grid,Northwest Arctic,0.47413333333333335,0.13770000000000016,0.3364333333333332,0.29042463442069771,Yes,PCE,6,Buckland,NA
