"Reporter ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Source","Number of monthly records","Communities reported","Notes"
"SR-38","331860","297","Chignik, City of","Chignik","Chignik_grid","Bristol Bay","0.42008333333333336","0.25513333333333332","0.16495000000000004","0.60733981352906163","Yes","PCE","12","Chignik",NA
"SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","0.65000000000000013","0.39240000000000014","0.2576","0.60369230769230775","Yes","PCE","12","Port Heiden",NA
"SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","0.84999999999999976","0.41745833333333315","0.4325416666666666","0.49112745098039207","Yes","PCE","12","Levelock",NA
"SR-40","331880","437","Chignik Lake Electric Utility","Chignik Lake","Chignik Lake_grid","Bristol Bay","0.84999999999999976","0.47344999999999976","0.37655","0.55699999999999983","Yes","PCE","12","Chignik Lake",NA
"SR-46","331910","360","Clark's Point, City of","Clark's Point","Clark's Point_grid","Bristol Bay","0.88658333333333328","0.29621666666666657","0.59036666666666671","0.33411034871698458","Yes","PCE","11","Clark's Point",NA
"SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","0.59999999999999987","0.33594999999999986","0.26405000000000001","0.55991666666666651","Yes","PCE","12","Pilot Point",NA
"SR-81","332050","280","I-N-N Electric Coop, Inc","Iliamna","Newhalen_grid","Bristol Bay","0.56700000000000006","0.31564999999999999","0.25135000000000007","0.55670194003527329","Yes","PCE","12","Iliamna, Newhalen, Nondalton",NA
"SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","0.88500000000000012","0.37172500000000019","0.51327499999999993","0.42002824858757076","Yes","PCE","12","Pedro Bay",NA
"SR-95","332100","660","Kokhanok Village Council","Kokhanok","Kokhanok_grid","Bristol Bay","0.90000000000000024","0.56620000000000026","0.33379999999999993","0.62911111111111118","Yes","PCE","12","Kokhanok",NA
"SR-59","331950","688","City of Ekwok","Ekwok","New_Stuyahok_grid","Bristol Bay","0.6825500000000001","0.45705833333333346","0.22549166666666665","0.6696334822845702","Yes","PCE","12","Ekwok",NA
"SR-96","332110","661","New Koliganek Village Council","Koliganek","Koliganek_grid","Bristol Bay","0.5","0.26479999999999992","0.23520000000000005","0.52959999999999985","Yes","PCE","12","Koliganek",NA
"SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","0.48958333333333343","0.31031666666666674","0.17926666666666669","0.63383829787234047","Yes","PCE","12","Naknek, South Naknek, King Salmon",NA
"SR-53","332430","45","Nushagak Electric Cooperative","Dillingham","Dillingham_grid","Bristol Bay","0.42796666666666666","0.18806666666666666","0.2399","0.43944232416854895","Yes","PCE","12","Dillingham, Aleknagik",NA
"SR-192","0","10","Copper Valley Elec Assn, Inc","Valdez","CopperValley_grid","Copper River/Chugach","0.23488443759630201","0","0.23488443759630201","0","No","EIA861","12","In addition to Valdez, the CVEA service area includes 14 other communities.",NA
"SR-172","332610","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","0.92","0.46095833333333325","0.45904166666666679","0.5010416666666665","Yes","PCE","12","Tatitlek",NA
"SR-43","331890","368","Chitina Electric Inc","Chitina","Chitina_grid","Copper River/Chugach","0.56868333333333332","0.24417499999999992","0.3245083333333334","0.42936901028691993","Yes","PCE","6","Chitina",NA
"SR-49","331920","160","Cordova Electric Cooperative","Cordova","Cordova_grid","Copper River/Chugach","0.34923333333333334","8.0200000000000049E-2","0.26903333333333329","0.229645890999332","Yes","PCE","12","Cordova, Eyak",NA
"SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","0.55379999999999996","0.24792500000000001","0.30587499999999995","0.44767966775009033","Yes","PCE","6","Mentasta Lake",NA
"SR-165","331195","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","0.55379999999999996","0.2479249999999999","0.30587500000000006","0.4476796677500901","Yes","PCE","12","Slana",NA
"SR-42","331070","2","Alaska Power & Telephone Company","Chistochina","Slana_grid","Copper River/Chugach","0.55379999999999996","0.24792500000000001","0.30587499999999995","0.44767966775009033","Yes","PCE","12","Chistochina",NA
"SR-36","331850","686","Chenega Ira Council","Chenega Bay","Chenega_grid","Copper River/Chugach","0.66500000000000004","0.37160833333333332","0.29339166666666672","0.55880952380952376","Yes","PCE","6","Chenega Bay",NA
"SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","0.37982500000000002","0.16293333333333332","0.2168916666666667","0.42896948155949005","Yes","PCE","6","Ouzinkie",NA
"SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","0.48337500000000005","0.26782500000000009","0.21554999999999999","0.55407292474786674","Yes","PCE","12","Old Harbor",NA
"SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","0.41000000000000003","6.6000000000000503E-3","0.40339999999999998","1.6097560975609878E-2","Yes","PCE","12","Larsen Bay",NA
"SR-7","0","16","Kodiak Electric Assn Inc","Kodiak","Kodiak_grid","Kodiak","0.17401378671146384","0","0.17401378671146384","0","No","EIA861","12","The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
"SR-86","331740","683","Alutiiq Power Company","Karluk","Karluk_grid","Kodiak","0.70000000000000007","0.46515000000000006","0.23485","0.66449999999999998","Yes","PCE","12","Karluk",NA
"SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","0.79999999999999993","0.40524166666666639","0.39475833333333354","0.50655208333333301","Yes","PCE","12","Akhiok",NA
"SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1.7266833333333327","0.79564999999999941","0.93103333333333327","0.46079671045646259","Yes","PCE","12","Lime Village",NA
"SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","0.70000000000000007","0.22598888888888896","0.47401111111111111","0.32284126984126993","Yes","PCE","12","Napaskiak",NA
"SR-181","332720","344","Tuntutuliak Community","Tuntutuliak","Tuntutuliak_grid","Lower Yukon-Kuskokwim","0.65000000000000013","0.28140000000000004","0.36860000000000009","0.43292307692307691","Yes","PCE","12","Tuntutuliak",NA
"SR-90","332080","446","Kipnuk Light Plant","Kipnuk","Kipnuk_grid","Lower Yukon-Kuskokwim","0.29444999999999999","8.9691666666666642E-2","0.20475833333333335","0.30460746023659924","Yes","PCE","12","Kipnuk",NA
"SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.56484166666666658","0.34521666666666662","0.21962499999999999","0.6111742228648146","Yes","PCE","12","Lower Kalskag",NA
"SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","0.50096666666666667","0.28457500000000002","0.21639166666666668","0.5680517665846031","Yes","PCE","12","Marshall",NA
"SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","0.56263333333333332","0.32501666666666662","0.23761666666666667","0.5776704781088926","Yes","PCE","12","Mekoryuk",NA
"SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","0.54422499999999996","0.32565833333333338","0.2185666666666666","0.59838914664584208","Yes","PCE","12","Mountain Village",NA
"SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.52648333333333308","0.29443333333333299","0.23205000000000006","0.55924530691063312","Yes","PCE","12","Nightmute",NA
"SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","0.51936666666666675","0.29250000000000009","0.22686666666666669","0.56318593158333874","Yes","PCE","12","Nunapitchuk",NA
"SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","0.49043333333333333","0.27455833333333329","0.21587500000000004","0.55982804322707802","Yes","PCE","12","Pilot Station",NA
"SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","0.5172416666666666","0.30003333333333326","0.21720833333333334","0.58006412218659875","Yes","PCE","12","Pitkas Point",NA
"SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","0.48361666666666675","0.2532916666666668","0.23032499999999997","0.52374470138194873","Yes","PCE","12","Quinhagak",NA
"SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","0.47340833333333326","0.25836666666666652","0.21504166666666671","0.54575859458888532","Yes","PCE","12","Russian Mission",NA
"SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","0.5172416666666666","0.30003333333333326","0.21720833333333334","0.58006412218659875","Yes","PCE","12","Saint Mary's, Andreafsky",NA
"SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","0.52964166666666668","0.31181666666666674","0.21782499999999996","0.58873137498623296","Yes","PCE","12","Scammon Bay",NA
"SR-16","331240","169","Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim","0.56805000000000005","0.34848750000000006","0.21956249999999999","0.61348032743596514","Yes","PCE","6","Alakanuk",NA
"SR-179","331700","169","Alaska Village Electric Cooperative","Toksook Bay","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.52648333333333308","0.29443333333333299","0.23205000000000006","0.55924530691063312","Yes","PCE","12","Toksook Bay",NA
"SR-182","331710","169","Alaska Village Electric Cooperative","Tununak","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.52648333333333308","0.29443333333333299","0.23205000000000006","0.55924530691063312","Yes","PCE","12","Tununak",NA
"SR-37","331280","169","Alaska Village Electric Cooperative","Chevak","Chevak_grid","Lower Yukon-Kuskokwim","0.50585833333333319","0.26624999999999976","0.2396083333333334","0.52633313015831151","Yes","PCE","12","Chevak",NA
"SR-57","331290","169","Alaska Village Electric Cooperative","Eek","Eek_grid","Lower Yukon-Kuskokwim","0.53545000000000009","0.31733333333333336","0.21811666666666671","0.59264792853363213","Yes","PCE","12","Eek",NA
"SR-62","331310","169","Alaska Village Electric Cooperative","Emmonak","Emmonak_grid","Lower Yukon-Kuskokwim","0.51279999999999992","0.28693333333333315","0.22586666666666674","0.55954238169526749","Yes","PCE","6","Emmonak",NA
"SR-68","331330","169","Alaska Village Electric Cooperative","Goodnews Bay","Goodnews Bay_grid","Lower Yukon-Kuskokwim","0.61116666666666652","0.38924166666666649","0.22192500000000001","0.63688301063539665","Yes","PCE","6","Goodnews Bay",NA
"SR-76","331360","169","Alaska Village Electric Cooperative","Hooper Bay","Hooper Bay_grid","Lower Yukon-Kuskokwim","0.4953999999999999","0.27063333333333317","0.2247666666666667","0.54629255820212597","Yes","PCE","12","Hooper Bay",NA
"SR-84","331720","169","Alaska Village Electric Cooperative","Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.56484166666666658","0.34521666666666662","0.21962499999999999","0.6111742228648146","Yes","PCE","12","Kalskag",NA
"SR-87","331390","169","Alaska Village Electric Cooperative","Kasigluk","Kasigluk_grid","Lower Yukon-Kuskokwim","0.51936666666666675","0.29250000000000009","0.22686666666666669","0.56318593158333874","Yes","PCE","12","Kasigluk",NA
"SR-98","332120","285","Kotlik Joint Utility","Kotlik","Kotlik_grid","Lower Yukon-Kuskokwim","0.47566666666666663","0.26054166666666656","0.21512500000000004","0.54774001401541683","Yes","PCE","12","Kotlik",NA
"SR-25","331780","337","Atmautluak Tribal Utilities","Atmautluak","Atmautluak_grid","Lower Yukon-Kuskokwim","0.79930000000000001","0.26900000000000002","0.53029999999999999","0.33654447641686475","Yes","PCE","12","Atmautluak",NA
"SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","0.67","0.28089999999999998","0.38910000000000006","0.41925373134328353","Yes","PCE","4","Kwigillingok",NA
"SR-122","332870","375","Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim","0.79999999999999993","0.43731666666666652","0.36268333333333341","0.54664583333333316","Yes","PCE","7","Newtok",NA
"SR-97","332510","395","Puvurnaq Power Company","Kongiganak","Kongiganak_grid","Lower Yukon-Kuskokwim","0.65000000000000013","0.23165833333333335","0.41834166666666678","0.35639743589743583","Yes","PCE","6","Kongiganak",NA
"SR-21","331760","5","Aniak Light & Power","Aniak","Aniak_grid","Lower Yukon-Kuskokwim","0.57749166666666663","0.31134166666666657","0.26615000000000005","0.53912754873807689","Yes","PCE","12","Aniak",NA
"SR-149","332250","343","Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim","1.0807499999999999","0.65189999999999992","0.42885000000000001","0.60319222761970859","Yes","PCE","3","Red Devil",NA
"SR-166","332260","343","Middle Kuskokwim Electric","Sleetmute","Sleetmute_grid","Lower Yukon-Kuskokwim","1.080758333333333","0.6518999999999997","0.42885833333333329","0.603187576624438","Yes","PCE","12","Sleetmute",NA
"SR-169","332270","343","Middle Kuskokwim Electric","Stony River","Stony River_grid","Lower Yukon-Kuskokwim","1.0923999999999998","0.65189999999999992","0.44049999999999995","0.59675942878066646","Yes","PCE","12","Stony River",NA
"SR-44","332230","343","Middle Kuskokwim Electric","Chuathbaluk","Chuathbaluk_grid","Lower Yukon-Kuskokwim","1.0807749999999998","0.65257499999999991","0.42819999999999997","0.6038028266753025","Yes","PCE","12","Chuathbaluk",NA
"SR-51","332240","343","Middle Kuskokwim Electric","Crooked Creek","Crooked Creek_grid","Lower Yukon-Kuskokwim","1.0807666666666664","0.6518999999999997","0.42886666666666667","0.60318292570089116","Yes","PCE","12","Crooked Creek",NA
"SR-28","331800","43","Bethel Utilities Corp","Bethel","Bethel_grid","Lower Yukon-Kuskokwim","0.33354999999999996","0.1381333333333333","0.19541666666666666","0.41413081497026927","Yes","PCE","12","Bethel, Oscarville",NA
"SR-132","332420","408","Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim","0.42333333333333328","0.22750833333333326","0.19582500000000003","0.53742125984251954","Yes","PCE","12","Nunam Iqua",NA
"SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","0.82791666666666652","0.44045833333333329","0.38745833333333324","0.53200805234021142","Yes","PCE","12","Napakiak",NA
"SR-14","331030","635","Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","0.63","0.24095000000000005","0.38904999999999995","0.38246031746031756","Yes","PCE","12","Akiak",NA
"SR-35","332310","365","Naterkaq Light Plant (City of Chefornak)","Chefornak","Chefornak_grid","Lower Yukon-Kuskokwim","0.49000000000000016","0.22509166666666686","0.2649083333333333","0.45937074829931995","Yes","PCE","6","Chefornak",NA
"SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","0.51999999999999991","0.24527499999999997","0.27472499999999994","0.47168269230769233","Yes","PCE","12","Kwethluk",NA
"SR-13","331020","412","Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","0.60499999999999987","0.29043333333333327","0.31456666666666661","0.48005509641873279","Yes","PCE","12","Akiachak",NA
"SR-180","332710","664","Tuluksak Traditional","Tuluksak","Tuluksak_grid","Lower Yukon-Kuskokwim","0.9600000000000003","0.36769166666666697","0.59230833333333333","0.383012152777778","Yes","PCE","12","Tuluksak",NA
"SR-130","332380","254","North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope","7.9999999999999988E-2","0","7.9999999999999988E-2","0","Yes","PCE","12","Nuiqsut",NA
"SR-143","332390","254","North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope","0.14999999999999997","0","0.14999999999999997","0","Yes","PCE","12","Point Hope",NA
"SR-144","332400","254","North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope","0.14999999999999997","8.3333333333324155E-6","0.14999166666666663","5.5555555555549446E-5","Yes","PCE","12","Point Lay",NA
"SR-187","332410","254","North Slope Borough Power & Light","Wainwright","Wainwright_grid","North Slope","0.14999999999999997","0","0.14999999999999997","0","Yes","PCE","12","Wainwright",NA
"SR-19","332350","254","North Slope Borough Power & Light","Anaktuvuk Pass","Anaktuvuk Pass_grid","North Slope","0.14999999999999997","0","0.14999999999999997","0","Yes","PCE","6","Anaktuvuk Pass",NA
"SR-26","332360","254","North Slope Borough Power & Light","Atqasuk","Atqasuk_grid","North Slope","0.14999999999999997","0","0.14999999999999997","0","Yes","PCE","12","Atqasuk",NA
"SR-83","332370","254","North Slope Borough Power & Light","Kaktovik","Kaktovik_grid","North Slope","0.14999999999999997","0","0.14999999999999997","0","Yes","PCE","12","Kaktovik",NA
"SR-194","0","214","Barrow Utilities & Electric Cooperative Inc.","Utqiagvik","Utqiagvik_grid","North Slope","0.13181614550667503","0","0.13181614550667503","0","No","EIA861","12","Utqiagvik",NA
"SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope","0","0","0","0","No","EIA861","12","Deadhorse",NA
"SR-126","331500","169","Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic","0.82219999999999993","0.58975833333333316","0.23244166666666674","0.71729303494689034","Yes","PCE","12","Noatak",NA
"SR-128","331510","169","Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic","0.59918333333333318","0.37786666666666646","0.22131666666666669","0.63063614363995424","Yes","PCE","12","Noorvik",NA
"SR-159","331610","169","Alaska Village Electric Cooperative","Selawik","Selawik_grid","Northwest Arctic","0.56350000000000011","0.34269166666666673","0.22080833333333336","0.60814847678201711","Yes","PCE","12","Selawik",NA
"SR-163","331650","169","Alaska Village Electric Cooperative","Shungnak","Shungnak_grid","Northwest Arctic","0.71204999999999996","0.48508333333333331","0.22696666666666665","0.68124897596142597","Yes","PCE","12","Shungnak",NA
"SR-18","331250","169","Alaska Village Electric Cooperative","Ambler","Ambler_grid","Northwest Arctic","0.64320833333333338","0.41970000000000007","0.22350833333333331","0.65251020275960359","Yes","PCE","12","Ambler",NA
"SR-88","331400","169","Alaska Village Electric Cooperative","Kiana","Kiana_grid","Northwest Arctic","0.58952500000000008","0.36870000000000003","0.22082500000000002","0.62541876934820406","Yes","PCE","6","Kiana",NA
"SR-91","331410","169","Alaska Village Electric Cooperative","Kivalina","Kivalina_grid","Northwest Arctic","0.54829166666666662","0.32950833333333329","0.2187833333333333","0.60097271829166343","Yes","PCE","6","Kivalina",NA
"SR-99","332130","17","Kotzebue Electric Association","Kotzebue","Kotzebue_grid","Northwest Arctic","0.40411666666666674","0.20699166666666674","0.19712499999999999","0.51220769579741832","Yes","PCE","12","Kotzebue",NA
"SR-52","332060","369","Ipnatchiaq Electric Company","Deering","Deering_grid","Northwest Arctic","0.69219999999999982","0.29316666666666646","0.39903333333333335","0.42352884522777601","Yes","PCE","6","Deering",NA
"SR-94","332090","407","Kobuk Valley Electric Company","Kobuk","Shungnak_grid","Northwest Arctic","0.71204999999999996","0.48508333333333331","0.22696666666666665","0.68124897596142597","Yes","PCE","12","Kobuk",NA
"SR-32","331820","432","Buckland, City of","Buckland","Buckland_grid","Northwest Arctic","0.47410000000000002","0.16577500000000001","0.30832500000000002","0.34966251845602192","Yes","PCE","3","Buckland",NA
"SR-8","0","18","Matanuska Electric Assn Inc","Wasilla","Railbelt_grid","Railbelt","0.19645199531422078","0","0.19645199531422078","0","No","EIA861","12","In addition to Wasilla, the MEA service area includes 28 other communities.",NA
