"Utility Name","Community Name","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","source","Notes"
"Alaska Village Electric Cooperative","Nightmute","5291","3036","0.56999999999999995","10250","5917","0.56999999999999995","13400","7733","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Noatak","6829","5545","0.81","23000","18700","0.81","50786","41214","0.81","pce",NA
"Alaska Village Electric Cooperative","Noorvik","6019","3903","0.65","15636","10091","0.65","42700","27650","0.65","pce",NA
"Alaska Village Electric Cooperative","Nulato","4241","2616","0.62","5667","3556","0.62","17963","11074","0.62","pce",NA
"Alaska Village Electric Cooperative","Nunapitchuk","4888","2821","0.57999999999999996","10650","6150","0.57999999999999996","21875","12625","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Old Harbor","4072","2536","0.62","10571","6571","0.62","17529","10941","0.62","pce",NA
"Alaska Village Electric Cooperative","Pilot Station","5540","3353","0.6","25100","15200","0.6","35650","21600","0.6","pce",NA
"Alaska Village Electric Cooperative","Pitkas Point","4467","2600","0.57999999999999996","4800","2800","0.57999999999999996","24857","14571","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Quinhagak","4949","2705","0.55000000000000004","22300","12200","0.55000000000000004","29647","16176","0.55000000000000004","pce",NA
"Alaska Village Electric Cooperative","Russian Mission","5386","3271","0.61","8273","5000","0.61","37071","22429","0.61","pce",NA
"Alaska Village Electric Cooperative","Saint Mary's, Andreafsky","4877","2850","0.57999999999999996","22743","13286","0.57999999999999996","42148","24630","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Saint Michael","6745","4284","0.64","32000","20385","0.64","35667","22667","0.64","pce",NA
"Alaska Village Electric Cooperative","Savoonga","5247","2819","0.54","20824","11235","0.54","39273","21136","0.54","pce",NA
"Alaska Village Electric Cooperative","Scammon Bay","4780","3171","0.66","9381","6238","0.66","37333","24762","0.66","pce",NA
"Alaska Village Electric Cooperative","Selawik","6010","3881","0.65","17217","11130","0.65","44314","28600","0.65","pce",NA
"Alaska Village Electric Cooperative","Shageluk","2973","1946","0.66","16333","10667","0.66","11909","7818","0.66","pce",NA
"Alaska Village Electric Cooperative","Shaktoolik","6691","3985","0.6","24900","14800","0.6","14375","8563","0.6","pce",NA
"Alaska Village Electric Cooperative","Shishmaref","5041","3088","0.61","20211","12368","0.61","19292","11833","0.61","pce",NA
"Alaska Village Electric Cooperative","Shungnak","6770","6016","0.89","31429","27929","0.89","30077","26692","0.89","pce",NA
"Alaska Village Electric Cooperative","Stebbins","4359","2683","0.61","19000","11692","0.61","27500","16889","0.61","pce",NA
"Alaska Village Electric Cooperative","Teller","3580","2395","0.67","12545","8455","0.67","18263","12263","0.67","pce",NA
"Alaska Village Electric Cooperative","Togiak","5046","3131","0.62","28111","17444","0.62","27419","17000","0.62","pce",NA
"Alaska Village Electric Cooperative","Toksook Bay","5331","3059","0.56999999999999995","17867","10267","0.56999999999999995","26609","15261","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Tununak","4902","2815","0.56999999999999995","15091","8636","0.56999999999999995","18800","10800","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Wales","4471","3137","0.7","10727","7545","0.7","17667","12417","0.7","pce",NA
"Alutiiq Power Company","Karluk","7786","5071","0.65","10300","6700","0.65","0","0","0.65","pce",NA
"Anchorage Municipal Light & Power","Anchorage","6005","705","0.12","151312","13283","0.09",NA,NA,NA,"eia",NA
"Aniak Light & Power","Aniak","5672","4317","0.76","29037","22111","0.76","53667","40778","0.76","pce",NA
"Atka, City of","Atka","5467","4167","0.76","14714","11143","0.76","4773","3636","0.76","pce",NA
"Atmautluak Tribal Utilities","Atmautluak","4123","3301","0.8","25429","20286","0.8","4900","3900","0.8","pce",NA
"Barrow Utilities & Electric Cooperative Inc.","Barrow","7825","927","0.12","95172","9823","0.1",NA,NA,NA,"eia",NA
"Beaver Joint Utilities","Beaver","2974","2538","0.86","11000","9429","0.86","10250","8750","0.86","pce",NA
"Bethel Utilities Corporation","Bethel, Oscarville","6389","3585","0.56000000000000005","29723","15833","0.53",NA,NA,NA,"eia",NA
"Buckland, City of","Buckland","6692","3176","0.47","46941","22294","0.47","0","0","0.47","pce",NA
"Chalkyitsik Village Council","Chalkyitsik","1190","1143","0.95","8833","8500","0.95","17000","16167","0.95","pce",NA
"Chenega Ira Council","Chenega Bay","4400","2320","0.53","10273","5364","0.53","5778","3000","0.53","pce",NA
"Chignik, City of","Chignik","3895","2000","0.51","17645","9000","0.51","10909","5545","0.51","pce",NA
"Chignik Lagoon Power Utility","Chignik Lagoon","4463","3352","0.75","17375","13000","0.75","6778","5111","0.75","pce",NA
"Chignik Lake Electric Utility","Chignik Lake","3737","3211","0.86","29000","25000","0.86","11273","9636","0.86","pce",NA
"Chitina Electric Inc","Chitina","3288","2192","0.67","9231","6154","0.67","12667","8500","0.67","pce",NA
"Chugach Electric Assn Inc","Anchorage","7910","1095","0.14000000000000001","62395","7320","0.12","7829142","843143","0.11","eia","In addition to Anchorage, CEA serves eight communities."
"Circle Electric Utility","Circle","3737","2974","0.79","10444","8222","0.79","24000","19000","0.79","pce",NA
"Copper Valley Elec Assn Inc","Valdez","5872","1765","0.3","82505","22151","0.27",NA,NA,NA,"eia","In addition to Valdez, the CVEA service area includes 14 communities."
"Cordova Electric Cooperative","Cordova, Eyak","5379","2268","0.42","20177","6917","0.34","1600800","380400","0.24","eia",NA
"Diomede Joint Utilities","Diomede","3867","2311","0.6","24333","14583","0.6","6667","4000","0.6","pce",NA
"Egegik Light & Power Co","Egegik","3651","3140","0.86","18286","15714","0.86","7550","6500","0.86","pce",NA
"Elfin Cove Utility Commission","Elfin Cove","1907","1488","0.78","5241","4069","0.78","1714","1286","0.78","pce",NA
"False Pass, City of","False Pass","3520","1480","0.42","24385","10231","0.42","6923","2923","0.42","pce",NA
"Galena, City of","Galena","4558","2767","0.61","18966","11513","0.61","28860","17520","0.61","pce",NA
"G & K Inc","Cold Bay","6308","4513","0.72","42250","30208","0.72","25321","18125","0.72","pce",NA
"Gold Country Energy","Central","2007","1547","0.77","8429","6429","0.77","15714","12143","0.77","pce",NA
"Golden Valley Elec Assn Inc","Fairbanks","7932","1921","0.24","21665","4895","0.23","1724840","324339","0.19","eia","In addition to Fairbanks, the GVEA service are includes 25 communities."
"Golovin Power Utilities","Golovin","4537","2722","0.6","12185","7296","0.6","10929","6571","0.6","pce",NA
"Gustavus Electric Co","Gustavus","2139","944","0.44","4901","2165","0.44","10467","4600","0.44","pce",NA
"Gwitchyaa Zhee Utilities Company","Fort Yukon","4333","2809","0.65","14929","9686","0.65","18194","11806","0.65","pce",NA
"Homer Electric Assn Inc","Homer","6979","1414","0.2","46408","8163","0.18","5525043","482348","0.09","eia","In addition to Homer, HEA serves 24 communities."
"Hughes Power & Light","Hughes","4486","3189","0.71","8750","6125","0.71","19000","13400","0.71","pce",NA
"Igiugig Electric Company","Igiugig","3692","3000","0.81","9300","7600","0.81","6867","5533","0.81","pce",NA
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton","4807","2904","0.6","22190","13393","0.6","23440","14160","0.6","pce",NA
"Inside Passage Electric","Angoon","4660","2954","0.63","18360","11640","0.63","19133","12133","0.63","pce",NA
"Inside Passage Electric","Chilkat Valley","3320","2099","0.63","16160","10200","0.63","2533","1600","0.63","pce",NA
"Inside Passage Electric","Hoonah","4863","3085","0.63","29847","18932","0.63","17698","11233","0.63","pce",NA
"Inside Passage Electric","Kake","4726","2996","0.63","26660","16900","0.63","14238","9048","0.63","pce",NA
"Inside Passage Electric","Klukwan","4413","2804","0.63","11000","7000","0.63","0","0","0.63","pce",NA
"Ipnatchiaq Electric Company","Deering","5350","3775","0.7","39000","27429","0.7","13167","9250","0.7","pce",NA
"Ketchikan Public Utilities","Ketchikan, Petersburg, Wrangell","11836","1205","0.1","59726","5809","0.1","1881000","157454","0.08","eia",NA
"King Cove, City of","King Cove","7692","2308","0.3","9086","2727","0.3","35667","10697","0.3","pce",NA
"Kipnuk Light Plant","Kipnuk","4951","2809","0.56999999999999995","10069","5724","0.56999999999999995","16429","9357","0.56999999999999995","pce",NA
"Kobuk Valley Electric Company","Kobuk","5243","4486","0.86","18400","15800","0.86","25286","21714","0.86","pce",NA
"Kodiak Electric Assn Inc","Kodiak","7511","1392","0.19","21425","3850","0.18","853333","144804","0.17","eia","The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
"Kokhanok Village Council","Kokhanok","3481","3148","0.9","7625","6875","0.9","11286","10143","0.9","pce",NA
"Kotzebue Electric Association","Kotzebue","7536","3246","0.43","99224","42738","0.43","31409","13527","0.43","pce",NA
"Koyukuk, City of","Koyukuk","1690","1603","0.95","14000","13400","0.95","10700","10200","0.95","pce",NA
"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","3893","2023","0.52","21625","11250","0.52","9111","4778","0.52","pce",NA
"Kwigillingok Power Company","Kwigillingok","5367","3278","0.61","33000","20083","0.61","6875","4188","0.61","pce",NA
"Larsen Bay Utility Company","Larsen Bay","3431","1510","0.44","8788","3879","0.44","16700","7300","0.44","pce",NA
"Levelock Electrical Coop","Levelock","4257","2971","0.7","10583","7417","0.7","5308","3692","0.7","pce",NA
"Lime Village Electric Utility","Lime Village","1118","1941","1.7","19000","32000","1.7","2571","4429","1.7","pce",NA
"Manokotak Power Company","Manokotak","3800","2090","0.55000000000000004","8048","4429","0.55000000000000004","22667","12458","0.55000000000000004","pce",NA
"Matanuska Electric Association","Palmer, Wasilla","8491","1293","0.15","72243","9215","0.13",NA,NA,NA,"eia","MEA services 29 communities including Palmer and Wasilla."
"Mcgrath Light & Power","McGrath","3962","2330","0.59","15000","8814","0.59","18154","10673","0.59","pce",NA
"Middle Kuskokwim Electric","Chuathbaluk","3114","3543","1.1399999999999999","21800","24800","1.1399999999999999","5300","6000","1.1399999999999999","pce",NA
"Middle Kuskokwim Electric","Crooked Creek","3219","3750","1.1599999999999999","9625","11125","1.1599999999999999","7000","8125","1.1599999999999999","pce",NA
"Middle Kuskokwim Electric","Red Devil","3588","4118","1.1499999999999999","5333","6000","1.1499999999999999","1750","2000","1.1499999999999999","pce",NA
"Middle Kuskokwim Electric","Sleetmute","3333","3879","1.1599999999999999","8286","9714","1.1599999999999999","9500","11000","1.1599999999999999","pce",NA
"Middle Kuskokwim Electric","Stony River","2375","2750","1.1599999999999999","8167","9500","1.1599999999999999","6500","7500","1.1599999999999999","pce",NA
"Naknek Electric Association","Naknek, South Naknek, King Salmon","4003","2223","0.56000000000000005","41490","23042","0.56000000000000005","34380","19093","0.56000000000000005","pce",NA
"Napakiak Ircinraq","Napakiak","3436","2851","0.83","13938","11563","0.83","6300","5200","0.83","pce",NA
"Napaskiak Electric Utility","Napaskiak","3879","2710","0.7","25714","18000","0.7","6231","4308","0.7","pce",NA
"Naterkaq Light Plant (City of Chefornak)","Chefornak","4525","3141","0.69","22100","15300","0.69","17875","12375","0.69","pce",NA
"Native Village of Perryville","Perryville","2563","2438","0.95","16111","15333","0.95","12889","12222","0.95","pce",NA
"Nelson Lagoon Electrical Coop","Nelson Lagoon","4194","3516","0.84","7526","6316","0.84","7333","6111","0.84","pce",NA
"New Koliganek Village Council","Koliganek","3686","1843","0.5","10000","5000","0.5","12870","6435","0.5","pce",NA
"Nikolai, City of","Nikolai","4421","3816","0.87","12500","10833","0.87","9538","8308","0.87","pce",NA
"Nome Joint Utility Systems","Nome","5739","2094","0.36","58617","21390","0.36","54715","19967","0.36","pce",NA
"North Slope Borough Power & Light","Anaktuvuk Pass","7149","1074","0.15","49443","7410","0.15","15400","2400","0.15","pce",NA
"North Slope Borough Power & Light","Atqasuk","10407","1559","0.15","51418","7709","0.15","19250","3000","0.15","pce",NA
"North Slope Borough Power & Light","Kaktovik","9077","1359","0.15","84306","12653","0.15","89000","13300","0.15","pce",NA
"North Slope Borough Power & Light","Nuiqsut","8829","705","0.08","69308","5538","0.08","23167","1833","0.08","pce",NA
"North Slope Borough Power & Light","Point Hope","9044","1355","0.15","44461","6671","0.15","24625","3750","0.15","pce",NA
"North Slope Borough Power & Light","Point Lay","7930","1193","0.15","60000","9000","0.15","34333","5000","0.15","pce",NA
"North Slope Borough Power & Light","Wainwright","8549","1282","0.15","57901","8690","0.15","22667","3333","0.15","pce",NA
"Nunam Iqua Electric Company","Nunam Iqua","4625","2450","0.53","82200","43600","0.53","28375","15000","0.53","pce",NA
"Nushagak Electric Cooperative","Dillingham, Aleknagik","5768","2662","0.46","27771","12817","0.46","18378","8480","0.46","pce",NA
"Ouzinkie, City of","Ouzinkie","4130","1831","0.44","22636","10091","0.44","13900","6200","0.44","pce",NA
"Pedro Bay Village Council","Pedro Bay","3000","2750","0.91","8400","7600","0.91","6200","5600","0.91","pce",NA
"Pelican Utility","Pelican","4742","3288","0.69","18400","12800","0.69","8931","6172","0.69","pce",NA
"Petersburg, City of","Petersburg","15364","1485","0.1","12641","1437","0.11","510384","56631","0.11","eia",NA
"Pilot Point Electric Utility","Pilot Point","4514","2243","0.5","8867","4400","0.5","7929","3929","0.5","pce",NA
"Port Heiden Utilities","Port Heiden","4255","3196","0.75","6571","4952","0.75","21286","15929","0.75","pce",NA
"Puvurnaq Power Company","Kongiganak","5420","3530","0.65","15111","9833","0.65","11444","7444","0.65","pce",NA
"Ruby, City of","Ruby","1985","1664","0.84","21071","17714","0.84","5455","4591","0.84","pce",NA
"Saint George, City of","Saint George","4381","3762","0.86","8467","7267","0.86","14381","12381","0.86","pce",NA
"Saint Paul Municipal Electric","Saint Paul","5564","3054","0.55000000000000004","43061","23636","0.55000000000000004","35021","19229","0.55000000000000004","pce",NA
"Seward, City of","Seward","7988","1620","0.2","17198","3716","0.22","266658","46254","0.17","eia","The City of Seward services the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of","Sitka","13055","1246","0.1","36087","3476","0.1","331200","31733","0.1","eia",NA
"Takotna Community Assoc Inc","Takotna","3100","3150","1.02","5500","5700","1.02","6778","6889","1.02","pce",NA
"Tanalian Electric Cooperative","Port Alsworth","4239","2925","0.69","10212","7061","0.69","0","0","0.69","pce",NA
"Tanana Power Company Inc","Tanana","3132","2368","0.76","12355","9323","0.76","20111","15222","0.76","pce",NA
"Tatitlek Village Ira Council","Tatitlek","2830","2170","0.77","6500","5000","0.77","15909","12182","0.77","pce",NA
"TDX Adak Generating LLC","Adak","3384","3659","1.08","25119","27186","1.08","26519","28704","1.08","pce",NA
"TDX Corporation","Sand Point","5344","3590","0.67","11157","7503","0.67","16239","10913","0.67","pce",NA
"TDX Manley Generating LLC","Manley Hot Springs","2414","2172","0.9","12400","11200","0.9","6250","5500","0.9","pce",NA
"Tenakee Springs, City of","Tenakee Springs","1921","1444","0.75","2515","1879","0.75","2571","1929","0.75","pce",NA
"Tuluksak Traditional","Tuluksak","3298","1976","0.6","15400","9300","0.6","9500","5750","0.6","pce",NA
"Tuntutuliak Community","Tuntutuliak","4768","3095","0.65","18227","11818","0.65","6154","4000","0.65","pce",NA
"Twin Hills Village Council","Twin Hills","3786","2107","0.55000000000000004","16000","8750","0.55000000000000004","7125","4000","0.55000000000000004","pce",NA
"Umnak Power Company","Nikolski","3867","2333","0.6","9200","5500","0.6","9429","5714","0.6","pce",NA
"Unalakleet Valley Electric Cooperative","Unalakleet","5316","2200","0.41","41659","17227","0.41","25333","10467","0.41","pce",NA
"Unalaska, City of","Dutch Harbor, Unalaska","5844","2912","0.5","46210","20274","0.44","1689000","660750","0.39","eia",NA
"Unalaska, City of","Unalaska","5807","2882","0.5","189355","93956","0.5","47413","23520","0.5","pce",NA
"Ungusraq Power Company","Newtok","4061","3242","0.8","7688","6125","0.8","7500","6000","0.8","pce",NA
"White Mountain, City of","White Mountain","4016","2492","0.62","15350","9500","0.62","11538","7154","0.62","pce",NA
"Wrangell, City of","Wrangell","13053","1371","0.11","25602","2740","0.11",NA,NA,NA,"eia",NA
"Yakutat Power Inc","Yakutat","5007","2666","0.53","34169","18202","0.53","19500","10383","0.53","pce",NA
