"Utility Name","Community Name","Residential Rate ($/kWh)","PCE reimbursment rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent PCE reimbursment","Source","PCE Community","Notes","AEA Energy Region","Census Region","Native Corporation Region","AKEPS Region"
"Alaska Power & Telephone Company","Hollis","0.24022499999999999","8.4058330000000001E-2","0.15616667000000001","0.34991499635758144","PCE","YES","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Hydaburg","0.24023332999999999","8.4058330000000001E-2","0.15617500000000001","0.34990286318721886","PCE","YES","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Klawock","0.24023332999999999","8.4058330000000001E-2","0.15617500000000001","0.34990286318721886","PCE","YES","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Mentasta Lake","0.67206666999999998","0.47995832999999999","0.19210833999999999","0.71415285331736511","PCE","YES","0","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Naukati Bay","0.55281667000000001","0.37011666999999998","0.18270000000000003","0.66951068968307337","PCE","YES","0","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Northway, Northway Village","0.66501666999999998","0.47889166999999999","0.18612499999999998","0.72011979789920155","PCE","YES","Provides power to Northway Village via intertie. Data includes Northway Village's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Slana, Chistochina","0.67160832999999998","0.48381667","0.18779165999999997","0.72038515365049149","PCE","YES","Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Tetlin","0.49043333","0.31230000000000002","0.17813332999999998","0.63678380097046017","PCE","YES","Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Dyon","YU"
"Alaska Power & Telephone Company","Thorne Bay, Kasaan","0.2402","8.4058330000000001E-2","0.15614167000000001","0.34995141548709408","PCE","YES","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Tok, Tanacross","0.49040833","0.31230000000000002","0.17810832999999998","0.63681626288851989","PCE","YES","Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Whale Pass","0.59952499999999997","0.3377","0.26182499999999997","0.56327926274967688","PCE","YES","0","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Village Electric Cooperative","Alakanuk","0.59294999999999998","0.37985000000000002","0.21309999999999996","0.6406105067880935","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Ambler","0.63168332999999999","0.41661667000000002","0.21506665999999997","0.65953405799073406","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Anvik","0.59096667000000003","0.37790833000000001","0.21305834000000001","0.639474862431751","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Brevig Mission","0.53576667","0.32549167000000001","0.21027499999999999","0.60752504443772137","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Chevak","0.48440833","0.2767","0.20770833","0.5712123076000778","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Eek","0.60357499999999997","0.38990833000000003","0.21366666999999995","0.64599814438967829","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Ekwok","0.74070000000000003","0.51876","0.22194000000000003","0.70036452004860261","PCE","YES","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Alaska Village Electric Cooperative","Elim","0.58745000000000003","0.35848332999999999","0.22896667000000004","0.61023632649587189","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Emmonak","0.55097499999999999","0.33993332999999998","0.21104167000000001","0.61696688597486271","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Gambell","0.52198332999999997","0.31240833000000001","0.20957499999999996","0.59850250390180093","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Goodnews Bay","0.58979999999999999","0.37681667000000002","0.21298332999999997","0.63888889454052222","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Grayling","0.55513332999999998","0.34387499999999999","0.21125832999999999","0.61944578251138338","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Holy Cross","0.53326667000000005","0.323125","0.21014167000000006","0.60593511310204318","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Hooper Bay","0.51734999999999998","0.30801666999999999","0.20933332999999998","0.59537386682130089","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Huslia","0.54396666999999999","0.33329166999999998","0.210675","0.6127060505379861","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Kalskag, Lower Kalskag","0.57994999999999997","0.36745833","0.21249166999999997","0.63360346581601867","PCE","YES","Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Kaltag","0.51991666999999997","0.31046667","0.20944999999999997","0.59714698126528631","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Kasigluk, Nunapitchuk","0.53120833000000001","0.32116666999999999","0.21004166000000002","0.60459644900523302","PCE","YES","Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Kiana","0.65162500000000001","0.43556666999999999","0.21605833000000002","0.6684314905045079","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Kivalina","0.63886666999999997","0.42344166999999999","0.21542499999999998","0.66280131658770058","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Kotlik","0.58574999999999999","0.372975","0.21277499999999999","0.63674775928297056","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Koyuk","0.55073333000000002","0.33969167","0.21104166000000002","0.61679882348867465","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Lower Kalskag","0.57994999999999997","0.36745833","0.21249166999999997","0.63360346581601867","PCE","YES","Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Marshall","0.50402499999999995","0.295325","0.20869999999999994","0.58593323743861914","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Mekoryuk","0.54693333","0.33612500000000001","0.21080832999999999","0.61456302178548894","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Minto","0.58937499999999998","0.37645000000000001","0.21292499999999998","0.63872746553552495","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Mountain Village","0.54399167000000004","0.33329999999999999","0.21069167000000005","0.61269320539411931","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","New Stuyahok","0.62085833000000001","0.40630833","0.21455000000000002","0.65443002109676129","PCE","YES","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Alaska Village Electric Cooperative","Nightmute","0.51793999999999996","0.30769999999999997","0.21023999999999998","0.59408425686372934","PCE","YES","Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Noatak","0.73998333000000005","0.51951667000000001","0.22046666000000004","0.70206536949960752","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Noorvik","0.61409166999999998","0.39989166999999998","0.2142","0.65119214204615405","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Nulato","0.53249999999999997","0.32240833000000002","0.21009166999999995","0.60546165258215967","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Nunapitchuk","0.53463000000000005","0.32116666999999999","0.21346333000000006","0.60072698875858066","PCE","YES","Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Old Harbor","0.57622499999999999","0.36396666999999999","0.21225833","0.63163984554644448","PCE","YES","0","Kodiak","Kodiak Island","Koniag","SC"
"Alaska Village Electric Cooperative","Pilot Station","0.53568333000000001","0.32542500000000002","0.21025832999999999","0.60749510349706048","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Pitkas Point","0.49639","0.28547499999999998","0.21091500000000002","0.57510223815951167","PCE","YES","Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Quinhagak","0.53666667000000001","0.32635832999999997","0.21030834000000004","0.60812110802409247","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Russian Mission","0.54639167","0.33558333000000001","0.21080833999999998","0.61418090433186878","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Saint Mary's, Andreafsky, Pitkas Point","0.49364166999999998","0.28547499999999998","0.20816667","0.57830409657272241","PCE","YES","Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Saint Michael","0.55336666999999995","0.34223333","0.21113333999999995","0.61845670972557854","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Savoonga","0.49088333000000001","0.28286666999999999","0.20801666000000002","0.57624012206729447","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Scammon Bay","0.56645000000000001","0.35464167000000002","0.21180832999999999","0.62607762379733434","PCE","YES","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Selawik","0.57445833000000002","0.36225833000000002","0.2122","0.63060854213742534","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Shageluk","0.60007500000000003","0.38659167","0.21348333000000003","0.64423892013498307","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Shaktoolik","0.57519167000000004","0.36294999999999999","0.21224167000000005","0.63100705196234841","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Shishmaref","0.591275","0.37822499999999998","0.21305000000000002","0.63967696926134199","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Shungnak, Kobuk","0.72724999999999995","0.50739999999999996","0.21984999999999999","0.69769680302509451","PCE","YES","Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Stebbins","0.55827499999999997","0.34686666999999999","0.21140832999999998","0.6213186512023644","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Teller","0.62324166999999997","0.40858333000000002","0.21465833999999995","0.65557768305190511","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Togiak","0.56834167000000002","0.35647499999999999","0.21186667000000003","0.62721953855679802","PCE","YES","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Alaska Village Electric Cooperative","Toksook Bay, Nightmute, Tununak","0.51705000000000001","0.30769999999999997","0.20935000000000004","0.59510685620346193","PCE","YES","Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Tununak","0.51793999999999996","0.30769999999999997","0.21023999999999998","0.59408425686372934","PCE","YES","Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Wales","0.64396666999999996","0.42826667000000002","0.21569999999999995","0.6650447763080658","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alutiiq Power Company","Karluk","0.6","0.34909167000000002","0.25090832999999996","0.58181945000000002","PCE","YES","0","Kodiak","Kodiak Island","Koniag","SC"
"Anchorage Municipal Light & Power","Anchorage","0.13022999999999998","0","0.13022999999999998","0","EIA","NO","0","Railbelt","Anchorage","Cook Inlet","SC"
"Aniak Light & Power","Aniak","0.71872499999999995","0.43711666999999998","0.28160832999999996","0.60818347768618042","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Atka, City of","Atka","0.70166667000000005","0.49935000000000002","0.20231667000000003","0.71166270445765933","PCE","YES","0","Aleutians","Aleutians West (CA)","Aleut","SW"
"Atmautluak Tribal Utilities","Atmautluak","0.6986","0.36183333000000001","0.33676666999999999","0.51794063841969651","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Barrow Utilities & Electric Cooperative Inc.","Barrow","0.11588","0","0.11588","0","EIA","NO","0","North Slope","North Slope","Arctic Slope","AN"
"Beaver Joint Utilities","Beaver","0.65","0.49825000000000003","0.15175","0.7665384615384615","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Bethel Utilities Corporation","Bethel, Oscarville","0.51338333000000003","0.34568333000000001","0.16770000000000002","0.67334350338177129","PCE","YES","Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Buckland, City of","Buckland","0.47410000000000002","0.280225","0.19387500000000002","0.5910672853828306","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Chalkyitsik Village Council","Chalkyitsik","0.95","0.50636667000000002","0.44363332999999994","0.53301754736842111","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Chenega Ira Council","Chenega Bay","0.435","0.29594999999999999","0.13905000000000001","0.68034482758620685","PCE","YES","0","Copper River/Chugach","Valdez-Cordova (CA)","Chugach","SC"
"Chignik Lagoon Power Utility","Chignik Lagoon","0.69174999999999998","0.38758333","0.30416666999999997","0.5602939356704012","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Chignik Lake Electric Utility","Chignik Lake","0.67300000000000004","0.44423332999999998","0.22876667000000006","0.66007924219910841","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Chignik, City of","Chignik","0.47556667000000002","0.32815833","0.14740834000000003","0.6900364359007749","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Chitina Electric Inc","Chitina","0.62916667000000004","0.36809999999999998","0.26106667000000006","0.58505959954935305","PCE","YES","0","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","SC"
"Chugach Electric Assn Inc",NA,"0.14230999999999999","0","0.14230999999999999","0","EIA","NO","0","Railbelt","Anchorage","Cook Inlet","SC"
"Circle Electric Utility","Circle","0.77449166999999997","0.51212500000000005","0.26236666999999991","0.66124016543651154","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Copper Valley Elec Assn Inc","Valdez","0.28439999999999999","0","0.28439999999999999","0","EIA","NO","0","Copper River/Chugach","Valdez-Cordova (CA)","Chugach","SC"
"Cordova Electric Cooperative","Cordova, Eyak","0.42116667000000002","0.13869999999999999","0.28246667000000003","0.32932330566423973","PCE","YES",NA,"Copper River/Chugach","Valdez-Cordova (CA)","Chugach","SC"
"Diomede Joint Utilities","Diomede","0.6","0.46095000000000003","0.13904999999999995","0.7682500000000001","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Egegik Light & Power Co","Egegik","0.86","0.53453333000000003","0.32546666999999996","0.6215503837209303","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Elfin Cove Utility Commission","Elfin Cove","0.74601667000000005","0.36607499999999998","0.37994167000000006","0.49070619293265921","PCE","YES","0","Southeast","Hoonah-Angoon (CA)","Sealaska","SE"
"False Pass, City of","False Pass","0.51319166999999999","0.24496667","0.26822499999999999","0.47733952891324211","PCE","YES","0","Aleutians","Aleutians East","Aleut","SW"
"G & K Inc","Cold Bay","0.71516667","0.48702499999999999","0.22814167000000002","0.68099510286182663","PCE","YES","0","Aleutians","Aleutians East","Aleut","SW"
"Gold Country Energy","Central","0.77562500000000001","0.53647500000000004","0.23914999999999997","0.69166800966962128","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Golden Valley Elec Assn Inc",NA,"0.22416","0","0.22416","0","EIA","NO","0","Railbelt","Fairbanks North Star","Doyon","YU"
"Golovin Power Utilities","Golovin","0.57750000000000001","0.33065","0.24685000000000001","0.57255411255411259","PCE","YES","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Gustavus Electric Co","Gustavus","0.44628332999999998","0.17078333000000001","0.27549999999999997","0.38267916034416977","PCE","YES","0","Southeast","Hoonah-Angoon (CA)","Sealaska","SE"
"Gwitchyaa Zhee Utilities Company","Fort Yukon","0.59759167000000002","0.38570832999999999","0.21188334000000003","0.64543792921343768","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Homer Electric Assn Inc",NA,"0.19726071941155365","0","0.19726071941155365","0","EIA","NO","Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA","Railbelt","Anchorage","Cook Inlet","SC"
"Hughes Power & Light","Hughes","0.71","0.50509166999999999","0.20490832999999997","0.71139671830985918","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Igiugig Electric Company","Igiugig","0.80300000000000005","0.41439999999999999","0.38860000000000006","0.51606475716064748","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton","0.59402500000000003","0.26124999999999998","0.33277500000000004","0.43979630486932364","PCE","YES","Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Inside Passage Electric","Angoon","0.62529999999999997","0.39946667000000002","0.22583332999999994","0.63884002878618273","PCE","YES","0","Southeast","Hoonah-Angoon (CA)","Sealaska","SE"
"Inside Passage Electric","Chilkat Valley","0.62075833000000002","0.39946667000000002","0.22129166","0.64351399038012103","PCE","YES","Provides power to Klukwan via intertie. Power is purchased from AP&T.","Southeast","Haines","Sealaska","SE"
"Inside Passage Electric","Hoonah","0.62158332999999999","0.39946667000000002","0.22211665999999997","0.64265988278675368","PCE","YES","0","Southeast","Hoonah-Angoon (CA)","Sealaska","SE"
"Inside Passage Electric","Kake","0.62041667","0.39946667000000002","0.22094999999999998","0.64386836994563668","PCE","YES","0","Southeast","Petersburg (CA)","Sealaska","SE"
"Inside Passage Electric","Klukwan","0.62294167","0.39946667000000002","0.22347499999999998","0.64125854672717597","PCE","YES","Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.","Southeast","Hoonah-Angoon (CA)","Sealaska","SE"
"Ketchikan Public Utilities","Ketchikan","0.10201","0","0.10201","0","EIA","NO","0","Southeast","Ketchikan Gateway","Sealaska","SE"
"King Cove, City of","King Cove","0.28012500000000001","0.12025833","0.15986667000000002","0.4293023828647925","PCE","YES","0","Aleutians","Aleutians East","Aleut","SW"
"Kipnuk Light Plant","Kipnuk","0.57383333000000003","0.31459166999999999","0.25924166000000004","0.54822829827608655","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Kobuk Valley Electric Company","Kobuk","0.87","0.48177500000000001","0.38822499999999999","0.55376436781609195","PCE","YES","Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk.","Northwest Arctic","Northwest Arctic","NANA","AN"
"Kodiak Electric Assn Inc","Kodiak","0.19027000000000002","0","0.19027000000000002","0","EIA","NO","0","Kodiak","Kodiak Island","Koniag","SC"
"Kokhanok Village Council","Kokhanok","0.9","0.52652500000000002","0.373475","0.58502777777777781","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Kotzebue Electric Association","Kotzebue","0.41756666999999997","0.26684999999999998","0.15071667","0.63905962609515743","PCE","YES","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Koyukuk, City of","Koyukuk","0.49166666999999997","0.25533333000000002","0.23633333999999995","0.51932202359781687","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Kwethluk Incorporated","Kwethluk","0.52","0.2742","0.24580000000000002","0.52730769230769226","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Kwigillingok Power Company","Kwigillingok","0.59750000000000003","0.39340000000000003","0.2041","0.65841004184100416","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Larsen Bay Utility Company","Larsen Bay","0.41499999999999998","0.1041","0.31089999999999995","0.2508433734939759","PCE","YES","0","Kodiak","Kodiak Island","Koniag","SC"
"Levelock Electrical Coop","Levelock","0.7","0.39930832999999999","0.30069166999999997","0.57044047142857146","PCE","YES","0","Bristol Bay","Lake and Peninsula","Bristol Bay","SW"
"Manokotak Power Company","Manokotak","0.55000000000000004","0.28505833000000003","0.26494167000000002","0.51828787272727272","PCE","YES","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Matanuska Electric Association",NA,"0.15109999999999998","0","0.15109999999999998","0","EIA","NO","0","Railbelt","Matanuska Susitna","Cook Inlet","SC"
"Mcgrath Light & Power","McGrath","0.50934999999999997","0.33663333000000001","0.17271666999999996","0.66090768626681073","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","SW"
"Metlakatla Power & Light","Metlakatla","9.1306918982850385E-2","0","9.1306918982850385E-2","0","EIA","NO","0","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
