"AEA Reporting ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Source","Number of monthly records","Communities reported","Notes"
"SR-61","331300","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","4709.9896907216489","2904.4936426116833","0.61666666666666659","16341.571428571424","10077.302380952377","0.61666666666666659","18753.32","11564.54733333333","289.11368333333326","PCE","12","Elim","PCE revenue assumes all kWh are at residential rate"
"SR-66","331320","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","4252.7540106951874","2303.5750891265598","0.54166666666666674","16797.63157894737","9098.7171052631602","0.54166666666666674","17489.731707317074","9473.6046747967484","388.41779166666669","PCE","12","Gambell","PCE revenue assumes all kWh are at residential rate"
"SR-54","331930","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","1000.4358974358973","200.08717948717944","0.19999999999999998","4403.2857142857147","880.65714285714273","0.19999999999999998","1268.8333333333333","253.76666666666665","1.5225999999999997","PCE","12","Diomede","PCE revenue assumes all kWh are at residential rate"
"SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","3671.0875000000001","2312.7851250000003","0.63","12490.749999999998","7869.1724999999988","0.63","11602.777777777779","7309.7500000000009","197.36325000000002","PCE","12","Teller","PCE revenue assumes all kWh are at residential rate"
"SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","5336.6351118760767","2099.0764773379237","0.39333333333333337","49631.049122807024","19521.545988304093","0.39333333333333331","45247.753731343284","17797.449800995029","2384.8582733333337","PCE","12","Nome","PCE revenue assumes all kWh are at residential rate"
"SR-67","332000","373","Golovin Power Utilities","Golovin","Golovin_grid","Bering Straits","4195.6964285714284","2471.9644791666674","0.58916666666666684","14235.444444444443","8387.0493518518542","0.58916666666666684","8030.2499999999991","4731.1556250000003","75.698490000000007","PCE","12","Golovin","PCE revenue assumes all kWh are at residential rate"
"SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","3665.7500000000005","2016.1625000000001","0.54999999999999993","8544.8000000000011","4699.6399999999994","0.54999999999999993","19948.409090909092","10971.625","241.37574999999998","PCE","12","Manokotak","PCE revenue assumes all kWh are at residential rate"
"SR-183","332730","729","Twin Hills Village Council","Twin Hills","Twin Hills_grid","Bristol Bay","3308.5666666666666","3308.5666666666666","1","24767.999999999996","24767.999999999996","1","5248.5000000000009","5248.5000000000009","41.988000000000007","PCE","12","Twin Hills","PCE revenue assumes all kWh are at residential rate"
"SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","3773.9999999999995","2481.4049999999997","0.65750000000000008","8014.2553191489369","5269.3728723404265","0.65750000000000008","4586.3333333333321","3015.5141666666668","54.279254999999999","PCE","12","Port Alsworth","PCE revenue assumes all kWh are at residential rate"
"SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","0","0","0","0","0","0","0","0","0","0","0","Perryville",NA
"SR-39","331870","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","4210.454545454546","3108.7189393939398","0.73833333333333329","13895.285714285716","10259.35261904762","0.7383333333333334","8445.1428571428587","6235.3304761904774","43.647313333333344","PCE","12","Chignik Lagoon","PCE revenue assumes all kWh are at residential rate"
"SR-80","332040","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","3245.1724137931037","2628.589655172415","0.81000000000000039","9211.5555555555566","7461.3600000000033","0.81000000000000028","5956.7999999999993","4825.0080000000016","72.375120000000024","PCE","12","Igiugig","PCE revenue assumes all kWh are at residential rate"
"SR-58","331940","320","Egegik Light & Power Co","Egegik","Egegik_grid","Bristol Bay","1985","1707.1000000000004","0.86","21369.266666666666","18377.569333333333","0.85999999999999988","6919.1578947368425","5950.475789473684","113.05904","PCE","12","Egegik","PCE revenue assumes all kWh are at residential rate"
"SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","4870.9464285714284","3093.0509821428564","0.6349999999999999","8903","5653.4049999999988","0.6349999999999999","21876.652173913044","13891.674130434782","319.50850499999996","PCE","6","New Stuyahok","PCE revenue assumes all kWh are at residential rate"
"SR-177","331690","169","Alaska Village Electric Cooperative","Togiak","Togiak_grid","Bristol Bay","4558.80303030303","2902.4379292929293","0.6366666666666666","16098.222222222223","10249.201481481479","0.6366666666666666","20278.9756097561","12910.947804878047","529.34885999999995","PCE","12","Togiak","PCE revenue assumes all kWh are at residential rate"
"SR-38","331860","297","Chignik, City of","Chignik","Chignik_grid","Bristol Bay","3114.772727272727","1713.1249999999998","0.54999999999999993","7556.0333333333328","4155.8183333333327","0.54999999999999993","9715.363636363636","5343.449999999998","58.777949999999983","PCE","5","Chignik","PCE revenue assumes all kWh are at residential rate"
"SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","3165.9230769230767","2374.4423076923072","0.75","5580.0909090909081","4185.0681818181811","0.75","17414.866666666665","13061.149999999998","195.91724999999997","PCE","12","Port Heiden","PCE revenue assumes all kWh are at residential rate"
"SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","4090.5757575757571","2863.4030303030299","0.70000000000000007","9474.6153846153829","6632.2307692307686","0.70000000000000007","4878.1250000000009","3414.6875000000009","54.635000000000012","PCE","12","Levelock","PCE revenue assumes all kWh are at residential rate"
"SR-40","331880","437","Chignik Lake Electric Utility","Chignik Lake","Chignik Lake_grid","Bristol Bay","3281.1951219512193","2799.9531707317065","0.85333333333333317","20066.666666666664","17123.555555555547","0.85333333333333317","13201.400000000001","11265.194666666664","112.65194666666665","PCE","12","Chignik Lake","PCE revenue assumes all kWh are at residential rate"
"SR-46","331910","360","Clark's Point, City of","Clark's Point","Clark's Point_grid","Bristol Bay","1249.8","302.03499999999997","0.24166666666666664","1922.25","464.54375000000005","0.24166666666666667","1139.5","275.37916666666661","2.7537916666666664","PCE","12","Clark's Point","PCE revenue assumes all kWh are at residential rate"
"SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","3005.4042553191493","1652.9723404255319","0.54999999999999993","7984.1250000000009","4391.2687500000002","0.54999999999999993","5628.1428571428578","3095.4785714285717","43.3367","PCE","12","Pilot Point","PCE revenue assumes all kWh are at residential rate"
"SR-81","332050","280","I-N-N Electric Coop, Inc","Iliamna","Newhalen_grid","Bristol Bay","3598.9953917050689","2033.4323963133643","0.56500000000000006","15705.079207920795","8873.3697524752479","0.56500000000000006","27308.458333333336","15429.278958333334","370.30269500000003","PCE","12","Iliamna, Newhalen, Nondalton","PCE revenue assumes all kWh are at residential rate"
"SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","2519.4347826086955","2292.6856521739128","0.91","5207.75","4739.0525000000007","0.91","5225.0000000000009","4754.7500000000009","28.528500000000001","PCE","12","Pedro Bay","PCE revenue assumes all kWh are at residential rate"
"SR-95","332100","660","Kokhanok Village Council","Kokhanok","Kokhanok_grid","Bristol Bay","2962.7777777777778","2666.5000000000009","0.90000000000000024","7433.0000000000009","6689.7000000000025","0.90000000000000036","9882.5000000000018","8894.2500000000036","124.51950000000005","PCE","12","Kokhanok","PCE revenue assumes all kWh are at residential rate"
"SR-59","331950","688","City of Ekwok","Ekwok","New_Stuyahok_grid","Bristol Bay","3444.1666666666665","2379.3451388888884","0.69083333333333319","6875.8076923076924","4750.0371474358972","0.6908333333333333","6619.375","4572.8848958333328","36.583079166666664","PCE","12","Ekwok","PCE revenue assumes all kWh are at residential rate"
"SR-96","332110","661","New Koliganek Village Council","Koliganek","Koliganek_grid","Bristol Bay","4206.231884057971","2103.1159420289855","0.5","4923.7142857142844","2461.8571428571422","0.5","13568.608695652174","6784.304347826087","156.03899999999999","PCE","12","Koliganek","PCE revenue assumes all kWh are at residential rate"
"SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","4040.5569105691061","2515.2466768292684","0.62249999999999994","50676.113924050631","31545.880917721515","0.62249999999999994","28882.580246913582","17979.4062037037","2912.6638049999997","PCE","12","Naknek, South Naknek, King Salmon","PCE revenue assumes all kWh are at residential rate"
"SR-53","332430","45","Nushagak Electric Cooperative","Dillingham","Dillingham_grid","Bristol Bay","5285.0642570281116","2483.980200803212","0.46999999999999992","26978.073604060912","12679.694593908625","0.46999999999999992","14867.707964601768","6987.8227433628308","789.62396999999987","PCE","12","Dillingham, Aleknagik","PCE revenue assumes all kWh are at residential rate"
"SR-192","0","10","Copper Valley Elec Assn, Inc","Valdez","CopperValley_grid","Copper River/Chugach","5457.8109115554043","1444.3239579803455","0.26463429777722586","81934.426229508186","18925.725094577556","0.2309862406501062","0","0","0","EIA861","12","In addition to Valdez, the CVEA service area includes 14 other communities.",NA
"SR-172","332610","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","2243.3174603174602","2063.8520634920633","0.92","5879.1538461538457","5408.8215384615387","0.92000000000000015","15186.9","13971.948","139.71948","PCE","12","Tatitlek","PCE revenue assumes all kWh are at residential rate"
"SR-43","331890","368","Chitina Electric Inc","Chitina","Chitina_grid","Copper River/Chugach","2669.8979591836733","1877.8282312925166","0.70333333333333325","7595.3076923076933","5342.0330769230768","0.70333333333333325","12265.2","8626.5239999999994","43.132619999999996","PCE","12","Chitina","PCE revenue assumes all kWh are at residential rate"
"SR-49","331920","160","Cordova Electric Cooperative","Cordova","Cordova_grid","Copper River/Chugach","4785.7465681098201","1970.1323372052093","0.41166666666666663","20680.171464330411","8513.337252816018","0.41166666666666663","42404.504587155971","17456.521055045872","1902.7607949999999","PCE","12","Cordova, Eyak","PCE revenue assumes all kWh are at residential rate"
"SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","2544.372549019608","1812.8654411764708","0.71250000000000002","7936.1666666666661","5654.5187500000002","0.71250000000000002","12202.124999999998","8694.0140624999985","69.552112499999993","PCE","12","Mentasta Lake","PCE revenue assumes all kWh are at residential rate"
"SR-165","331195","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","3610.8","2572.6950000000006","0.71250000000000002","5399.1538461538457","3846.8971153846151","0.71250000000000002","13352.8","9513.8700000000008","47.56935","PCE","12","Slana","PCE revenue assumes all kWh are at residential rate"
"SR-42","331070","2","Alaska Power & Telephone Company","Chistochina","Slana_grid","Copper River/Chugach","3749.8541666666656","2653.0218229166658","0.70749999999999991","6926.2352941176468","4900.3114705882344","0.70749999999999991","6866.5","4858.048749999999","9.7160974999999983","PCE","12","Chistochina","PCE revenue assumes all kWh are at residential rate"
"SR-36","331850","686","Chenega Ira Council","Chenega Bay","Chenega_grid","Copper River/Chugach","3875.5200000000004","2596.5984000000003","0.67","4655.625","3119.2687499999997","0.67","3711.8666666666663","2486.9506666666666","37.304259999999999","PCE","12","Chenega Bay","PCE revenue assumes all kWh are at residential rate"
"SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","3541.6097560975609","1670.4592682926827","0.47166666666666668","13312.166666666666","6278.9052777777779","0.47166666666666668","10155.999999999998","4790.246666666666","71.853699999999989","PCE","12","Ouzinkie","PCE revenue assumes all kWh are at residential rate"
"SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","3934.8144329896909","2419.9108762886599","0.61499999999999999","4050.65","2491.1497500000005","0.61499999999999999","21336.333333333336","13121.845000000001","196.827675","PCE","12","Old Harbor","PCE revenue assumes all kWh are at residential rate"
"SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","4074.4222222222229","1772.3736666666673","0.43500000000000011","14542.029411764704","6325.7827941176483","0.43500000000000011","10944.555555555557","4760.881666666668","42.847935000000014","PCE","12","Larsen Bay",NA
"SR-7","0","16","Kodiak Electric Assn Inc","Kodiak","Kodiak_grid","Kodiak","7248.6817127188351","1232.862265344864","0.17008089390676831","21472.38095238095","3524.7619047619046","0.16415328661403353","875097.08737864078","134019.41747572814","13804","EIA861","12","The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
"SR-86","331740","683","Alutiiq Power Company","Karluk","Karluk_grid","Kodiak","5461.2142857142862","3822.8500000000013","0.70000000000000007","9504.5","6653.1500000000015","0.70000000000000018","5417.333333333333","3792.1333333333337","11.3764","PCE","12","Karluk","PCE revenue assumes all kWh are at residential rate"
"SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","5613.2727272727261","2525.9727272727273","0.45000000000000012","12168","5475.6000000000022","0.45000000000000012","7927","3567.1500000000005","17.835750000000004","PCE","12","Akhiok","PCE revenue assumes all kWh are at residential rate"
"SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","973.77777777777783","1723.5866666666668","1.7699999999999998","16694","29548.379999999994","1.7699999999999998","1891.8749999999998","3348.6187499999992","26.788949999999993","PCE","12","Lime Village","PCE revenue assumes all kWh are at residential rate"
"SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","3848.9122807017548","2694.2385964912282","0.70000000000000007","13875.294117647059","9712.7058823529424","0.70000000000000007","7445.1428571428569","5211.5999999999995","72.962400000000002","PCE","12","Napaskiak","PCE revenue assumes all kWh are at residential rate"
"SR-181","332720","344","Tuntutuliak Community","Tuntutuliak","Tuntutuliak_grid","Lower Yukon-Kuskokwim","4408.7477477477469","2865.6860360360361","0.65000000000000013","17037.68181818182","11074.493181818183","0.65000000000000013","5627.5","3657.8750000000009","51.210250000000016","PCE","12","Tuntutuliak","PCE revenue assumes all kWh are at residential rate"
"SR-90","332080","446","Kipnuk Light Plant","Kipnuk","Kipnuk_grid","Lower Yukon-Kuskokwim","4701.4712643678158","2875.7332567049798","0.61166666666666647","13555.242424242424","8291.2899494949452","0.61166666666666647","15792.9375","9660.013437499998","154.56021499999997","PCE","12","Kipnuk","PCE revenue assumes all kWh are at residential rate"
"SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","3190.2790697674423","1935.4359689922489","0.6066666666666668","7620.4000000000005","4623.0426666666681","0.6066666666666668","14084.2","8544.4146666666693","85.444146666666697","PCE","12","Lower Kalskag","PCE revenue assumes all kWh are at residential rate"
"SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","4789.7543859649131","2957.6733333333336","0.61750000000000005","12378.157894736843","7643.5125000000007","0.61750000000000005","26573.239999999994","16408.975699999999","410.22439249999996","PCE","12","Marshall","PCE revenue assumes all kWh are at residential rate"
"SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","3351.5268817204301","1932.7138351254478","0.57666666666666655","7975.857142857144","4599.410952380952","0.57666666666666655","16440.454545454548","9480.6621212121227","208.57456666666667","PCE","4","Mekoryuk","PCE revenue assumes all kWh are at residential rate"
"SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","4681.1909547738687","2964.7542713567832","0.63333333333333319","24018.320000000003","15211.602666666666","0.63333333333333319","29001.05","18367.331666666661","734.69326666666643","PCE","12","Mountain Village","PCE revenue assumes all kWh are at residential rate"
"SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","4780.5084745762697","2605.3771186440667","0.54499999999999993","7735.2941176470567","4215.735294117645","0.54499999999999993","10996.133333333335","5992.8926666666666","89.893389999999997","PCE","12","Nightmute","PCE revenue assumes all kWh are at residential rate"
"SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","4345.9432624113479","2426.4849881796695","0.55833333333333346","8963.5833333333321","5004.6673611111109","0.55833333333333346","20868.058823529409","11651.332843137256","198.07265833333335","PCE","12","Nunapitchuk","PCE revenue assumes all kWh are at residential rate"
"SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","4827.5985915492956","2920.6971478873243","0.60500000000000009","15254.833333333332","9229.1741666666676","0.60500000000000009","32900.75","19904.953750000001","398.09907500000003","PCE","12","Pilot Station","PCE revenue assumes all kWh are at residential rate"
"SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","4070.3636363636369","2449.0021212121214","0.60166666666666668","4597.7999999999993","2766.3429999999998","0.60166666666666668","19417.499999999993","11682.862499999997","70.097174999999979","PCE","12","Pitkas Point","PCE revenue assumes all kWh are at residential rate"
"SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","4666.20652173913","2473.0894565217395","0.53000000000000014","17479.033333333333","9263.8876666666692","0.53000000000000014","22184.571428571428","11757.822857142859","329.21904000000006","PCE","12","Quinhagak","PCE revenue assumes all kWh are at residential rate"
"SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","5049.24","3138.9441999999999","0.6216666666666667","6615.875","4112.8689583333335","0.6216666666666667","28779.470588235294","17891.23754901961","304.15103833333336","PCE","12","Russian Mission","PCE revenue assumes all kWh are at residential rate"
"SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","4083.8021390374342","2457.0876203208563","0.60166666666666668","11868.590163934425","7140.9350819672136","0.60166666666666668","31401.085714285713","18892.986571428573","661.25453000000005","PCE","12","Saint Mary's, Andreafsky","PCE revenue assumes all kWh are at residential rate"
"SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","4481.5196850393704","2875.6417979002626","0.64166666666666672","8225.7666666666664","5278.2002777777789","0.64166666666666672","37304.333333333336","23936.947222222221","502.6758916666667","PCE","12","Scammon Bay","PCE revenue assumes all kWh are at residential rate"
"SR-16","331240","169","Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim","4719.144578313254","2902.2739156626512","0.61499999999999999","14453.227272727274","8888.7347727272736","0.61499999999999999","55961.947368421061","34416.597631578945","653.91535499999998","PCE","12","Alakanuk","PCE revenue assumes all kWh are at residential rate"
"SR-179","331700","169","Alaska Village Electric Cooperative","Toksook Bay","Toksook Bay_grid","Lower Yukon-Kuskokwim","4992.231884057971","2729.0867632850245","0.54666666666666675","9995.5333333333328","5464.2248888888889","0.54666666666666675","25925.304347826092","14172.499710144932","325.96749333333344","PCE","12","Toksook Bay","PCE revenue assumes all kWh are at residential rate"
"SR-182","331710","169","Alaska Village Electric Cooperative","Tununak","Toksook Bay_grid","Lower Yukon-Kuskokwim","4161.2708333333339","2274.8280555555561","0.54666666666666675","8948.2857142857138","4891.7295238095239","0.54666666666666675","21269.533333333336","11627.344888888892","174.41017333333338","PCE","12","Tununak","PCE revenue assumes all kWh are at residential rate"
"SR-37","331280","169","Alaska Village Electric Cooperative","Chevak","Chevak_grid","Lower Yukon-Kuskokwim","4500.0269058295971","2377.5142152466374","0.52833333333333343","13200.228571428572","6974.1207619047636","0.52833333333333343","42507.999999999993","22458.393333333337","471.62626000000006","PCE","12","Chevak","PCE revenue assumes all kWh are at residential rate"
"SR-57","331290","169","Alaska Village Electric Cooperative","Eek","Eek_grid","Lower Yukon-Kuskokwim","3386.1874999999995","2189.7345833333338","0.64666666666666683","8316.1052631578932","5377.7480701754394","0.64666666666666683","14851.444444444443","9603.9340740740754","172.87081333333336","PCE","12","Eek","PCE revenue assumes all kWh are at residential rate"
"SR-62","331310","169","Alaska Village Electric Cooperative","Emmonak","Emmonak_grid","Lower Yukon-Kuskokwim","4626.8834080717488","2675.8809043348278","0.57833333333333325","22082.33870967742","12770.95255376344","0.57833333333333325","43686.1875","25265.178437499999","808.48570999999993","PCE","12","Emmonak","PCE revenue assumes all kWh are at residential rate"
"SR-68","331330","169","Alaska Village Electric Cooperative","Goodnews Bay","Goodnews Bay_grid","Lower Yukon-Kuskokwim","4146.3999999999996","2598.4106666666667","0.62666666666666659","9903.4000000000015","6206.130666666666","0.62666666666666659","12853.400000000001","8054.797333333333","120.82195999999999","PCE","12","Goodnews Bay","PCE revenue assumes all kWh are at residential rate"
